doc_no,account_ref,doc_date_text,doc_time,doc_type,junk_note,stated_lines
300204,P:1472,26/10/2024,12:27,INV,,5
300206,P:1481,14/10/2024,09:33,INV,,10
300207,P:1483,28/10/2024,09:30,INV,,7
300208,P:1490,07/10/2024,16:35,INV,,2
300213,P:1562,18/10/2024,12:24,INV,,5
300215,P:1562,05/10/2024,08:59,INV,,8
300216,P:1564,03/10/2024,11:58,INV,,9
300217,P:1573,28/10/2024,16:15,INV,,3
300220,P:1583,06/10/2024,14:48,INV,,9
300221,P:1584,27/10/2024,09:13,INV,,4
300222,P:1584,17/10/2024,12:15,INV,,11
300223,P:1601,15/10/2024,16:43,INV,,8
300224,P:1609,26/10/2024,15:12,INV,,2
300227,P:1610,09/10/2024,12:00,INV,,9
300228,P:1610,08/10/2024,08:11,INV,,13
9300228,P:1610,08/10/2024,13:11,CR,,2
300231,P:1640,26/10/2024,17:10,INV,,4
300232,P:1641,08/10/2024,14:30,INV,,8
300234,P:1668,24/10/2024,11:16,INV,,8
300235,P:1668,16/10/2024,08:23,INV,,5
300236,P:1668,18/10/2024,12:47,INV,,6
300239,P:1671,21/10/2024,15:46,INV,,8
9300239,P:1671,21/10/2024,17:46,CR,,2
300241,P:1701,03/10/2024,13:58,INV,,8
300242,P:1702,20/10/2024,11:36,INV,,13
300244,P:1708,21/10/2024,10:07,INV,,4
300245,P:1711,12/10/2024,12:52,INV,,9
300246,P:1767,11/10/2024,08:22,INV,,5
300247,P:1767,06/10/2024,14:42,INV,,5
300251,P:1817,28/10/2024,11:19,INV,,5
300254,P:1839,07/10/2024,15:52,INV,,6
300255,P:1841,05/10/2024,11:41,INV,,11
300262,P:1872,15/10/2024,10:14,INV,,7
300263,P:1882,04/10/2024,15:40,INV,,6
300266,P:1929,04/10/2024,10:37,INV,,5
300271,P:1944,15/10/2024,13:09,INV,,3
9300271,P:1944,15/10/2024,18:09,CR,,2
300272,P:1951,25/10/2024,14:09,INV,,2
300273,P:1956,18/10/2024,13:11,INV,,6
300277,P:1975,25/10/2024,14:57,INV,,7
300280,P:1999,04/10/2024,13:21,INV,,7
300282,P:2007,24/10/2024,18:14,INV,,9
300283,P:2007,27/10/2024,14:17,INV,,7
300284,P:2010,18/10/2024,17:17,INV,,4
300286,P:2016,06/10/2024,15:06,INV,,5
300287,P:2019,02/10/2024,09:39,INV,,5
300288,P:2024,09/10/2024,14:23,INV,,5
300289,P:2024,13/10/2024,08:28,INV,,3
300295,P:2110,24/10/2024,13:39,INV,,7
300298,P:2118,04/10/2024,09:33,INV,,3
300299,P:2144,05/10/2024,12:04,INV,,7
9300299,P:2144,05/10/2024,16:04,CR,,2
300300,P:2150,11/10/2024,12:09,INV,,5
300301,P:2150,15/10/2024,10:03,INV,,7
300302,P:2152,28/10/2024,08:23,INV,,9
300304,P:2154,20/10/2024,15:27,INV,,9
300305,P:2183,14/10/2024,16:36,INV,,5
300307,P:2183,11/10/2024,14:34,INV,,15
300308,P:2219,20/10/2024,12:00,INV,,3
300312,P:2229,09/10/2024,08:44,INV,,7
300314,P:2240,10/10/2024,13:31,INV,,6
300315,P:2240,08/10/2024,10:32,INV,,12
300316,P:2240,16/10/2024,13:49,INV,,2
300317,P:2252,09/10/2024,20:43,INV,,6
300320,P:2294,05/10/2024,19:51,INV,,4
300323,P:2333,15/10/2024,13:34,INV,,4
300336,P:2399,16/10/2024,08:33,INV,,9
300337,P:2408,02/10/2024,14:53,INV,,7
300338,P:2435,12/10/2024,11:31,INV,,8
300339,P:2454,25/10/2024,09:42,INV,,8
300340,P:2459,03/10/2024,15:51,INV,,5
300341,P:2459,26/10/2024,08:13,INV,,5
300342,P:2468,01/10/2024,13:13,INV,,2
300344,P:2468,08/10/2024,12:15,INV,,15
300346,P:2493,06/10/2024,08:08,INV,,6
300347,P:2506,26/10/2024,12:20,INV,,8
300348,P:2506,28/10/2024,08:40,INV,,15
300351,P:2542,08/10/2024,15:03,INV,,6
300352,P:2565,04/10/2024,11:48,INV,,10
300353,P:2565,16/10/2024,18:42,INV,,2
300354,P:2568,08/10/2024,08:02,INV,,5
300355,P:2568,05/10/2024,14:07,INV,,8
300356,P:2575,10/10/2024,11:42,INV,,11
300357,P:2606,18/10/2024,13:00,INV,,5
300359,P:2609,21/10/2024,17:56,INV,,5
300360,P:2609,04/10/2024,10:10,INV,,8
300361,P:2609,12/10/2024,18:17,INV,,8
300362,P:2630,20/10/2024,08:54,INV,,15
300365,P:2654,08/10/2024,16:45,INV,,11
300371,P:2671,08/10/2024,12:27,INV,,6
300372,P:2683,03/10/2024,18:05,INV,,5
9300372,P:2683,03/10/2024,21:05,CR,,2
300375,P:2693,21/10/2024,17:37,INV,,2
300376,P:2725,11/10/2024,08:58,INV,,6
300377,P:2725,17/10/2024,15:32,INV,,5
300379,P:2729,03/10/2024,08:21,INV,,4
300380,P:2729,05/10/2024,13:24,INV,,8
300381,P:2736,07/10/2024,08:27,INV,,3
300382,P:2736,07/10/2024,11:45,INV,,8
300383,P:2738,11/10/2024,12:04,INV,,12
300384,P:2738,23/10/2024,09:25,INV,,8
300385,P:2752,11/10/2024,12:45,INV,,8
300389,P:2759,06/10/2024,08:39,INV,,5
300391,P:2769,09/10/2024,08:33,INV,,7
9300391,P:2769,09/10/2024,14:33,CR,,2
300395,P:2783,10/10/2024,08:32,INV,,10
300396,P:2789,08/10/2024,11:16,INV,,3
300398,P:2790,12/10/2024,18:08,INV,,7
300399,P:1013,13/11/2024,11:37,INV,,7
300401,P:1013,27/11/2024,12:44,INV,,7
300402,P:1016,12/11/2024,18:15,INV,,2
300405,P:1019,05/11/2024,11:42,INV,,7
300406,P:1019,22/11/2024,10:13,INV,,7
9300406,P:1019,22/11/2024,15:13,CR,,2
300407,P:1019,12/11/2024,15:10,INV,,10
300411,P:1026,09/11/2024,10:09,INV,,10
300414,P:1049,06/11/2024,16:51,INV,,10
300416,P:1074,04/11/2024,13:38,INV,,8
300417,P:1076,09/11/2024,11:50,INV,,6
300419,P:1084,15/11/2024,11:27,INV,,4
300421,P:1099,01/11/2024,10:50,INV,,6
300422,P:1116,27/11/2024,18:26,INV,,5
300423,P:1135,03/11/2024,15:55,INV,,11
300424,P:1136,24/11/2024,14:48,INV,,13
300425,P:1138,05/11/2024,19:34,INV,,4
300426,P:1144,22/11/2024,14:44,INV,,7
300427,P:1144,06/11/2024,09:31,INV,,6
300429,P:1158,03/11/2024,10:31,INV,,12
300430,P:1165,01/11/2024,11:36,INV,,10
300432,P:1165,24/11/2024,14:41,INV,,6
300436,P:1178,23/11/2024,10:16,INV,,2
300442,P:1186,18/11/2024,08:40,INV,,11
300443,P:1193,11/11/2024,14:29,INV,,4
300444,P:1199,01/11/2024,12:14,INV,,8
9300444,P:1199,01/11/2024,14:14,CR,,2
300445,P:1206,06/11/2024,13:15,INV,,2
300446,P:1206,23/11/2024,13:17,INV,,9
300448,P:1226,22/11/2024,11:16,INV,,5
300449,P:1226,02/11/2024,12:35,INV,,3
300450,P:1227,23/11/2024,15:21,INV,,8
300453,P:1241,13/11/2024,11:14,INV,,6
300455,P:1263,14/11/2024,13:48,INV,,5
300456,P:1263,24/11/2024,12:45,INV,,7
300457,P:1267,08/11/2024,09:12,INV,,12
300458,P:1274,16/11/2024,14:17,INV,,6
300459,P:1280,24/11/2024,10:04,INV,,7
300462,P:1289,09/11/2024,09:59,INV,,7
300463,P:1293,04/11/2024,10:12,INV,,5
300464,P:1306,08/11/2024,11:08,INV,,6
300466,P:1306,12/11/2024,12:54,INV,,8
300467,P:1319,11/11/2024,08:04,INV,,9
300468,P:1323,17/11/2024,11:38,INV,,7
300469,P:1324,01/11/2024,16:23,INV,,5
300470,P:1324,24/11/2024,11:25,INV,,8
300471,P:1331,08/11/2024,12:56,INV,,12
300473,P:1348,26/11/2024,15:35,INV,,8
300475,P:1351,17/11/2024,14:09,INV,,9
300476,P:1358,05/11/2024,16:02,INV,,5
300477,P:1383,02/11/2024,10:32,INV,,8
300482,P:1394,18/11/2024,14:37,INV,,6
300483,P:1394,03/11/2024,12:20,INV,,6
300485,P:1419,13/11/2024,09:51,INV,,8
300490,P:1426,26/11/2024,11:21,INV,,7
300491,P:1426,13/11/2024,15:53,INV,,4
300493,P:1432,06/11/2024,12:35,INV,,9
300494,P:1433,18/11/2024,14:48,INV,,5
300496,P:1433,19/11/2024,13:53,INV,,5
300502,P:1455,25/11/2024,17:33,INV,,5
300503,P:1462,10/11/2024,13:23,INV,,5
300504,P:1472,03/11/2024,09:27,INV,,15
300506,P:1492,09/11/2024,10:22,INV,,12
300508,P:1492,14/11/2024,18:11,INV,,9
300509,P:1498,24/11/2024,12:15,INV,,4
300510,P:1498,13/11/2024,12:07,INV,,7
300511,P:1506,19/11/2024,08:28,INV,,15
300512,P:1535,28/11/2024,11:31,INV,,9
300513,P:1535,03/11/2024,15:06,INV,,9
300514,P:1535,19/11/2024,15:20,INV,,9
300515,P:1535,05/11/2024,20:28,INV,,2
300517,P:1539,10/11/2024,10:30,INV,,3
300518,P:1552,22/11/2024,13:33,INV,,6
300519,P:1552,07/11/2024,10:50,INV,,2
300522,P:1563,14/11/2024,08:40,INV,,5
300525,P:1573,03/11/2024,12:03,INV,,9
300528,P:1599,10/11/2024,10:24,INV,,4
300530,P:1601,16/11/2024,13:27,INV,,8
300531,P:1609,25/11/2024,11:41,INV,,4
300532,P:1614,23/11/2024,12:29,INV,,6
300533,P:1620,11/11/2024,11:45,INV,,4
300536,P:1621,24/11/2024,08:29,INV,,5
300537,P:1621,24/11/2024,13:40,INV,,10
300538,P:1623,23/11/2024,09:20,INV,,12
300540,P:1624,24/11/2024,16:11,INV,,5
300541,P:1640,06/11/2024,09:41,INV,,15
300544,P:1671,11/11/2024,12:01,INV,,8
300547,P:1699,17/11/2024,08:19,INV,,12
300551,P:1702,11/11/2024,08:42,INV,,6
300554,P:1708,18/11/2024,14:34,INV,,7
300559,P:1711,18/11/2024,13:14,INV,,9
300561,P:1719,18/11/2024,09:03,INV,,8
300563,P:1733,06/11/2024,15:20,INV,,9
300564,P:1750,08/11/2024,16:19,INV,,12
300565,P:1756,25/11/2024,10:33,INV,,4
300567,P:1762,10/11/2024,16:26,INV,,6
300568,P:1767,28/11/2024,17:31,INV,,3
300569,P:1767,11/11/2024,14:49,INV,,8
300570,P:1767,27/11/2024,14:25,INV,,14
300571,P:1767,16/11/2024,08:32,INV,,8
300574,P:1814,27/11/2024,14:17,INV,,6
300577,P:1838,02/11/2024,09:19,INV,,8
300578,P:1839,17/11/2024,15:58,INV,,5
300579,P:1846,18/11/2024,09:46,INV,,5
300583,P:1851,02/11/2024,14:43,INV,,13
300585,P:1856,21/11/2024,11:24,INV,,5
300586,P:1865,09/11/2024,13:03,INV,,2
300590,P:1888,19/11/2024,18:36,INV,,3
300591,P:1888,05/11/2024,13:59,INV,,5
300593,P:1908,13/11/2024,14:43,INV,,4
300598,P:1914,04/11/2024,11:13,INV,,4
300599,P:1915,10/11/2024,15:08,INV,,7
300601,P:1920,07/11/2024,12:55,INV,,7
300604,P:1929,21/11/2024,15:07,INV,,13
300609,P:1944,22/11/2024,10:28,INV,,4
300613,P:1957,23/11/2024,20:48,INV,,7
300617,P:1989,28/11/2024,08:51,INV,,9
300619,P:1994,11/11/2024,08:32,INV,,6
300620,P:1994,02/11/2024,11:59,INV,,2
300621,P:1995,14/11/2024,16:28,INV,,5
300622,P:2000,13/11/2024,15:17,INV,,5
300624,P:2010,18/11/2024,11:09,INV,,8
300625,P:2026,10/11/2024,16:30,INV,,4
300627,P:2030,04/11/2024,11:27,INV,,8
300628,P:2036,11/11/2024,10:48,INV,,7
300629,P:2036,02/11/2024,14:45,INV,,4
300630,P:2050,09/11/2024,11:14,INV,,8
300633,P:2057,18/11/2024,11:59,INV,,9
300634,P:2057,08/11/2024,12:10,INV,,10
300635,P:2060,17/11/2024,10:32,INV,,4
300637,P:2078,28/11/2024,15:23,INV,,15
300639,P:2090,03/11/2024,15:38,INV,,12
300640,P:2094,04/11/2024,13:04,INV,,5
300645,P:2143,28/11/2024,14:55,INV,,4
300646,P:2149,03/11/2024,11:58,INV,,8
300647,P:2149,08/11/2024,09:07,INV,,7
300648,P:2150,21/11/2024,14:17,INV,,9
300653,P:2180,10/11/2024,11:09,INV,,6
300660,P:2201,12/11/2024,15:50,INV,,3
300661,P:2201,16/11/2024,12:25,INV,,7
300662,P:2219,09/11/2024,10:12,INV,,4
300665,P:2227,21/11/2024,11:49,INV,,4
300667,P:2252,27/11/2024,08:36,INV,,6
300668,P:2264,13/11/2024,15:22,INV,,12
300673,P:2272,11/11/2024,11:02,INV,,4
300674,P:2272,01/11/2024,08:33,INV,,9
300676,P:2276,21/11/2024,14:58,INV,,8
300677,P:2279,25/11/2024,11:45,INV,,7
300679,P:2305,10/11/2024,11:16,INV,,6
300680,P:2307,18/11/2024,12:53,INV,,8
300682,P:2308,28/11/2024,09:57,INV,,9
300683,P:2308,06/11/2024,15:33,INV,,7
300686,P:2319,08/11/2024,15:20,INV,,9
300687,P:2327,01/11/2024,12:57,INV,,7
300689,P:2330,18/11/2024,15:06,INV,,5
300690,P:2333,02/11/2024,10:06,INV,,8
9300690,P:2333,02/11/2024,11:06,CR,,2
300692,P:2333,10/11/2024,14:43,INV,,5
300694,P:2341,18/11/2024,12:21,INV,,14
300695,P:2353,12/11/2024,13:51,INV,,7
300696,P:2360,25/11/2024,11:53,INV,,2
300701,P:2362,02/11/2024,12:28,INV,,8
300702,P:2368,04/11/2024,12:21,INV,,4
300705,P:2381,04/11/2024,14:55,INV,,5
300706,P:2385,17/11/2024,13:36,INV,,9
300710,P:2394,23/11/2024,15:23,INV,,4
300711,P:2395,01/11/2024,14:26,INV,,4
300713,P:2399,27/11/2024,08:45,INV,,4
300715,P:2400,02/11/2024,11:55,INV,,8
300716,P:2400,15/11/2024,08:01,INV,,6
300719,P:2413,28/11/2024,08:03,INV,,14
300720,P:2422,28/11/2024,14:58,INV,,6
300721,P:2422,23/11/2024,13:37,INV,,8
300722,P:2426,26/11/2024,16:12,INV,,5
300724,P:2434,28/11/2024,13:18,INV,,7
300725,P:2434,27/11/2024,11:22,INV,,9
300726,P:2435,25/11/2024,17:11,INV,,7
300732,P:2500,20/11/2024,13:43,INV,,4
300733,P:2506,09/11/2024,11:23,INV,,6
300734,P:2508,02/11/2024,11:08,INV,,7
300736,P:2518,08/11/2024,10:32,INV,,6
300739,P:2530,15/11/2024,10:15,INV,,12
300741,P:2540,15/11/2024,08:25,INV,,7
300742,P:2542,13/11/2024,12:00,INV,,9
300743,P:2542,25/11/2024,09:18,INV,,10
300744,P:2542,25/11/2024,13:55,INV,,8
300745,P:2544,01/11/2024,15:39,INV,,5
300746,P:2546,28/11/2024,16:26,INV,,4
300747,P:2546,18/11/2024,13:56,INV,,5
300748,P:2549,07/11/2024,11:04,INV,,6
300749,P:2549,18/11/2024,16:47,INV,,8
300750,P:2549,01/11/2024,17:07,INV,,3
300754,P:2565,12/11/2024,15:51,INV,,5
300755,P:2565,03/11/2024,14:34,INV,,15
300757,P:2568,24/11/2024,12:54,INV,,7
300760,P:2579,26/11/2024,16:24,INV,,4
300761,P:2579,13/11/2024,14:42,INV,,5
300762,P:2579,05/11/2024,14:49,INV,,4
300763,P:2581,07/11/2024,09:14,INV,,8
300766,P:2606,10/11/2024,08:59,INV,,8
300771,P:2623,26/11/2024,12:29,INV,,6
300772,P:2628,25/11/2024,15:34,INV,,3
300773,P:2636,23/11/2024,08:10,INV,,13
300774,P:2636,27/11/2024,12:57,INV,,5
300779,P:2653,20/11/2024,08:09,INV,,7
300781,P:2656,02/11/2024,17:54,INV,,13
300782,P:2656,17/11/2024,12:28,INV,,5
300785,P:2656,09/11/2024,16:38,INV,,5
300787,P:2662,13/11/2024,19:07,INV,,13
300789,P:2671,07/11/2024,13:03,INV,,5
300790,P:2674,05/11/2024,16:33,INV,,9
300793,P:2678,04/11/2024,10:56,INV,,8
300798,P:2693,28/11/2024,11:42,INV,,9
300799,P:2700,05/11/2024,10:24,INV,,4
300800,P:2706,11/11/2024,09:29,INV,,4
300801,P:2707,04/11/2024,12:03,INV,,3
300802,P:2707,04/11/2024,10:26,INV,,6
300804,P:2716,01/11/2024,12:49,INV,,10
300805,P:2729,14/11/2024,18:48,INV,,7
300806,P:2729,02/11/2024,08:11,INV,,5
300810,P:2747,26/11/2024,12:18,INV,,4
300812,P:2752,06/11/2024,12:17,INV,,9
300814,P:2752,17/11/2024,18:51,INV,,7
300815,P:2754,12/11/2024,14:18,INV,,11
300816,P:2759,03/11/2024,08:50,INV,,9
300817,P:2759,09/11/2024,10:10,INV,,2
300818,P:2760,21/11/2024,13:30,INV,,5
300819,P:2760,24/11/2024,14:15,INV,,6
300821,P:2765,20/11/2024,10:31,INV,,3
300823,P:2769,10/11/2024,20:44,INV,,4
300828,P:2784,04/11/2024,13:57,INV,,15
300831,P:2784,22/11/2024,12:03,INV,,7
300834,P:1002,08/12/2024,11:06,INV,,8
300835,P:1003,19/12/2024,11:14,INV,,7
300836,P:1011,06/12/2024,17:21,INV,,7
300837,P:1016,04/12/2024,10:33,INV,,6
300838,P:1019,16/12/2024,10:50,INV,,9
300839,P:1020,19/12/2024,13:24,INV,,15
300840,P:1021,11/12/2024,11:18,INV,,6
300842,P:1029,15/12/2024,12:21,INV,,9
300843,P:1029,23/12/2024,13:52,INV,,11
300844,P:1041,18/12/2024,08:53,INV,,6
300847,P:1049,23/12/2024,15:52,INV,,7
300848,P:1049,25/12/2024,11:51,INV,,11
300850,P:1056,16/12/2024,14:43,INV,,3
300852,P:1062,09/12/2024,10:04,INV,,4
300854,P:1064,27/12/2024,08:43,INV,,5
300855,P:1074,06/12/2024,08:07,INV,,7
300856,P:1076,09/12/2024,12:02,INV,,10
300857,P:1079,27/12/2024,16:16,INV,,7
300858,P:1080,09/12/2024,14:44,INV,,6
300859,P:1084,27/12/2024,15:18,INV,,4
300862,P:1093,25/12/2024,09:04,INV,,6
300863,P:1099,13/12/2024,17:48,INV,,8
300864,P:1099,01/12/2024,08:52,INV,,3
300866,P:1102,26/12/2024,09:05,INV,,8
300867,P:1102,13/12/2024,17:21,INV,,6
300869,P:1102,12/12/2024,14:42,INV,,7
300871,P:1115,06/12/2024,13:28,INV,,5
300872,P:1115,13/12/2024,10:56,INV,,11
300873,P:1116,20/12/2024,14:28,INV,,12
300874,P:1116,10/12/2024,10:57,INV,,7
300877,P:1138,28/12/2024,15:38,INV,,7
300878,P:1138,15/12/2024,09:44,INV,,6
300881,P:1144,07/12/2024,08:49,INV,,8
300884,P:1145,22/12/2024,11:24,INV,,9
300885,P:1158,02/12/2024,17:19,INV,,7
300887,P:1160,14/12/2024,14:15,INV,,12
300889,P:1177,24/12/2024,11:51,INV,,6
300890,P:1178,03/12/2024,14:44,INV,,4
300891,P:1178,04/12/2024,13:51,INV,,6
300893,P:1178,26/12/2024,18:39,INV,,2
300894,P:1178,17/12/2024,11:28,INV,,3
300896,P:1180,18/12/2024,14:40,INV,,9
300897,P:1181,08/12/2024,11:34,INV,,12
300907,P:1206,08/12/2024,17:08,INV,,11
300912,P:1220,23/12/2024,12:05,INV,,9
300913,P:1220,26/12/2024,11:00,INV,,9
300914,P:1220,25/12/2024,17:11,INV,,3
300915,P:1227,26/12/2024,10:37,INV,,6
300917,P:1227,22/12/2024,11:26,INV,,10
300918,P:1227,01/12/2024,10:52,INV,,14
300921,P:1228,06/12/2024,16:53,INV,,6
300923,P:1228,02/12/2024,13:47,INV,,6
300927,P:1230,01/12/2024,10:16,INV,,3
300928,P:1230,24/12/2024,15:55,INV,,11
300930,P:1230,14/12/2024,08:23,INV,,4
300932,P:1241,02/12/2024,11:37,INV,,6
300933,P:1243,07/12/2024,13:24,INV,,4
300934,P:1260,06/12/2024,08:45,INV,,12
300935,P:1260,16/12/2024,12:51,INV,,4
300938,P:1274,20/12/2024,15:59,INV,,5
300939,P:1274,20/12/2024,12:08,INV,,4
300940,P:1274,05/12/2024,14:07,INV,,9
300941,P:1278,24/12/2024,13:32,INV,,6
300943,P:1278,01/12/2024,10:46,INV,,12
300944,P:1280,03/12/2024,14:01,INV,,3
300952,P:1306,07/12/2024,14:42,INV,,7
300953,P:1306,02/12/2024,14:19,INV,,6
300955,P:1315,17/12/2024,09:40,INV,,7
300958,P:1320,16/12/2024,11:00,INV,,7
300959,P:1320,08/12/2024,12:02,INV,,9
300961,P:1320,11/12/2024,15:50,INV,,4
300963,P:1322,25/12/2024,13:56,INV,,5
300966,P:1323,25/12/2024,12:34,INV,,6
300970,P:1329,26/12/2024,12:13,INV,,10
300972,P:1335,01/12/2024,11:14,INV,,7
300973,P:1336,26/12/2024,11:25,INV,,3
300974,P:1348,13/12/2024,09:44,INV,,5
300975,P:1351,17/12/2024,14:40,INV,,4
300976,P:1356,10/12/2024,14:30,INV,,2
300977,P:1362,02/12/2024,18:05,INV,,6
300978,P:1362,15/12/2024,08:48,INV,,8
300980,P:1364,14/12/2024,18:51,INV,,10
300982,P:1370,11/12/2024,11:46,INV,,5
300984,P:1373,27/12/2024,12:42,INV,,2
300985,P:1373,21/12/2024,11:01,INV,,11
300986,P:1383,06/12/2024,13:08,INV,,4
300988,P:1389,15/12/2024,15:39,INV,,9
300993,P:1418,03/12/2024,10:48,INV,,4
300996,P:1419,12/12/2024,10:11,INV,,2
300997,P:1421,07/12/2024,12:40,INV,,5
301000,P:1444,09/12/2024,13:52,INV,,7
301002,P:1449,08/12/2024,09:57,INV,,9
301004,P:1449,24/12/2024,12:01,INV,,6
301005,P:1451,03/12/2024,13:01,INV,,5
301006,P:1451,28/12/2024,11:24,INV,,9
301007,P:1451,07/12/2024,09:42,INV,,6
301012,P:1461,03/12/2024,08:17,INV,,11
301015,P:1474,10/12/2024,16:19,INV,,15
301016,P:1481,19/12/2024,08:29,INV,,8
301017,P:1481,07/12/2024,15:48,INV,,8
301018,P:1481,13/12/2024,08:12,INV,,11
301019,P:1481,11/12/2024,13:52,INV,,9
