id,name,class,governorate,area,lat,lon,opens_at_hh,closes_at_hh,sales_rep_id,registered_on,status_code,phone_last4
1101,Sunrise Pharmacy - Helwan,,Alexandria,Mandara,31.262175,30.002136,9,23,4,2025-04-01,0,8960
1102,Silver Care Pharmacy - Mandara,,Alexandria,Mandara,31.275306,29.996371,9,2,4,2024-12-18,0,2296
1103,Union Pharm - Maadi,,Alexandria,Mandara,31.270431,30.008593,9,1,4,2025-05-07,0,9857
1104,Better Life Pharmacy,,Alexandria,Mandara,31.26553,30.01862,9,2,4,2025-03-03,0,6595
1105,Blue Wave Pharmacy,,Alexandria,Mandara,31.261148,30.014998,8,23,4,2025-02-09,0,6202
1106,Care 24 Seven,,Alexandria,Mandara,31.257739,30.003175,9,1,4,2024-11-28,0,8696
1107,El Zahraa Pharmacy,,Alexandria,Mandara,31.273019,30.000198,8,23,4,2025-08-21,0,7600
1108,Dr Medhat Pharmacy - Montaza,,Alexandria,Mandara,31.281295,29.998769,9,23,4,2025-07-02,0,3589
1109,El Shifa Pharmacy,,Alexandria,Mandara,31.289236,30.003418,9,23,4,2025-05-11,0,7957
1110,Salamtek Pharmacy,,Alexandria,Mandara,31.271401,30.019702,10,23,4,2024-12-16,0,8907
1111,Nile Care Pharmacy - Mandara,,Alexandria,Mandara,31.258077,29.999917,9,23,4,2025-04-29,1,6246
1112,Ebn Sina Pharmacy - Square,,Alexandria,Mandara,31.287182,29.999874,9,1,4,2025-02-26,1,5138
1113,Sunrise Pharmacy - Marg,,Alexandria,Mandara,31.260362,30.027015,8,23,4,2025-06-02,0,6651
1114,Life Line Pharmacy,,Alexandria,Montaza,31.266226,29.976112,9,23,5,2025-02-28,0,9458
1115,Care 24 Seven - Obour,,Alexandria,Montaza,31.26783,30.007966,9,23,5,2024-09-29,0,4387
1116,City Care Pharmacy - Maadi,,Alexandria,Montaza,31.261867,29.985856,10,23,5,2024-11-19,0,1994
1117,Elite Pharmacy,,Alexandria,Montaza,31.262499,29.976736,9,23,5,2024-11-11,0,1128
1118,Nile Care Pharmacy - Montaza,,Alexandria,Montaza,31.246797,29.981575,9,23,5,2025-01-26,0,6307
1119,El Zahraa Pharmacy - Montaza,,Alexandria,Montaza,31.262033,29.993607,9,23,5,2025-04-10,0,7807
1120,El Nasr Pharmacy,,Alexandria,Montaza,31.262505,29.976838,9,23,5,2025-05-03,1,8574
1121,Silver Care Pharmacy - Montaza,,Alexandria,Montaza,31.255033,29.98243,10,23,5,2025-07-22,0,4323
1122,El Zahraa Pharmacy - Rehab View,,Alexandria,Montaza,31.253224,29.983943,9,1,5,2025-02-14,0,8038
1123,Hope Pharmacy,,Alexandria,Montaza,31.252783,30.010971,9,1,5,2025-07-03,0,6888
1124,Union Pharm - Montaza,,Alexandria,Montaza,31.266598,29.98219,8,23,5,2025-04-23,0,6425
1125,El Faraby Pharmacy,,Alexandria,Montaza,31.25581,29.987976,9,23,5,2025-03-31,0,5305
1126,Life Line Pharmacy,,Alexandria,Montaza,31.259868,29.997342,9,23,5,2025-04-12,0,1791
1127,Blue Wave Pharmacy - Oct City,,Alexandria,Montaza,31.270191,29.998755,10,23,5,2025-09-12,0,9500
1128,Alpha Pharma - Montaza,,Alexandria,Montaza,31.265443,29.986429,9,23,5,2025-07-04,0,6563
1129,Al Amal Pharmacy,,Alexandria,Montaza,31.263184,29.977607,9,1,5,2024-11-10,1,1927
1130,Silver Care Pharmacy - Montaza,,Alexandria,Montaza,31.241613,29.982097,9,23,5,2025-07-06,0,7352
1131,Silver Care Pharmacy,,Alexandria,Montaza,31.266886,29.988657,9,1,5,2024-12-23,0,9874
1132,El Shifa Pharmacy - Marg,,Alexandria,Montaza,31.243697,29.999569,9,2,5,2025-05-30,0,8452
1133,Family Pharmacy - Obour,,Alexandria,Montaza,31.261566,29.992117,10,23,5,2025-04-11,0,8419
1134,Pharma Plus - Montaza,,Alexandria,Montaza,31.251271,29.983754,10,1,5,2025-01-01,0,9703
1135,El Shifa Pharmacy - Oct City,,Alexandria,Montaza,31.266466,29.977492,9,2,5,2024-09-08,0,3222
1136,Dr Medhat Pharmacy - Haram,,Alexandria,Montaza,31.255658,30.007043,9,23,5,2024-09-11,0,3216
1137,Pharma Plus - Banha,,Alexandria,Montaza,31.268916,29.98128,9,23,5,2025-07-13,0,4727
1138,Al Nozha Pharmacy,,Alexandria,Montaza,31.275404,29.993307,10,23,5,2024-11-15,0,2312
1139,Hope Pharmacy - Montaza,,Alexandria,Montaza,31.265273,29.975051,8,1,5,2025-08-07,0,2422
1140,Alpha Pharma,,Alexandria,Montaza,31.255503,30.00012,9,1,5,2025-04-29,1,3679
1141,El Faraby Pharmacy,,Alexandria,Montaza,31.255897,29.988416,9,2,5,2025-05-22,0,3285
1142,El Baraka Pharmacy - Rehab View,,Alexandria,Montaza,31.257194,30.005935,9,23,5,2025-07-01,1,2415
1143,Dr Medhat Pharmacy - Agami,,Alexandria,Montaza,31.268999,29.985467,9,23,5,2025-05-28,0,6383
1144,Family Pharmacy,,Alexandria,Montaza,31.260692,30.000597,8,2,5,2024-10-23,0,6870
1145,Blue Wave Pharmacy,,Alexandria,Montaza,31.255273,29.995538,9,23,5,2024-12-23,0,6522
1146,El Faraby Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.212593,29.932071,8,23,6,2024-10-14,0,5277
1147,Life Line Pharmacy,,Alexandria,Sidi Gaber,31.219539,29.940204,9,23,6,2025-09-06,0,2206
1148,El Hokama Pharmacy - Helwan,,Alexandria,Sidi Gaber,31.225562,29.936662,8,23,6,2025-04-24,0,4305
1149,Silver Care Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.239634,29.941054,9,23,6,2025-07-24,0,6536
1150,Family Pharmacy - Banha,,Alexandria,Sidi Gaber,31.237986,29.934659,8,23,6,2025-08-12,0,3256
1151,Ebn Sina Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.210865,29.936785,9,23,6,2025-09-02,0,9646
1152,Mira Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.210516,29.946559,9,1,6,2025-06-19,0,5809
1153,Misr Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.210458,29.936865,10,23,6,2025-07-15,0,1821
1154,El Baraka Pharmacy,,Alexandria,Sidi Gaber,31.225364,29.949485,10,23,6,2025-04-02,0,5469
1155,El Nasr Pharmacy - Banha,,Alexandria,Sidi Gaber,31.237798,29.952476,9,1,6,2025-05-30,0,3841
1156,El Hokama Pharmacy,,Alexandria,Sidi Gaber,31.227384,29.96264,9,2,6,2025-09-02,0,7078
1157,El Faraby Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.244718,29.964275,9,23,6,2025-05-17,0,4025
1158,Star Care Pharmacy,,Alexandria,Sidi Gaber,31.238757,29.939941,8,1,6,2024-11-27,0,1589
1159,Mira Pharmacy,,Alexandria,Sidi Gaber,31.223018,29.93919,9,23,6,2024-12-02,0,6023
1160,Golden Care Pharmacy,,Alexandria,Sidi Gaber,31.231996,29.94217,10,23,6,2024-12-08,0,6751
1161,El Hokama Pharmacy,,Alexandria,Sidi Gaber,31.21843,29.953788,9,23,6,2025-01-05,0,8002
1162,El Hokama Pharmacy - Square,,Alexandria,Sidi Gaber,31.233131,29.962955,10,23,6,2025-01-25,0,9503
1163,Angel Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.242381,29.962285,10,23,6,2025-08-29,0,2031
1164,Salamtek Pharmacy,,Alexandria,Sidi Gaber,31.241368,29.93438,8,23,6,2025-06-06,0,8736
1165,Care 24 Seven - Square,,Alexandria,Sidi Gaber,31.242097,29.945952,8,1,6,2024-11-16,1,9333
1166,Seha First Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.221562,29.955447,8,23,6,2025-04-27,0,3980
1167,Mira Pharmacy - Smouha,,Alexandria,Sidi Gaber,31.229701,29.943572,9,23,6,2025-05-21,0,3107
1168,El Baraka Pharmacy - Square,,Alexandria,Sidi Gaber,31.243442,29.953053,9,23,6,2025-08-02,0,9613
1169,City Care Pharmacy - Zayed,,Alexandria,Sidi Gaber,31.226935,29.955904,9,23,6,2025-05-23,1,4586
1170,Care 24 Seven,,Alexandria,Sidi Gaber,31.238497,29.954832,10,23,6,2025-07-10,0,3658
1171,Green Leaf Pharmacy - Haram,,Alexandria,Sidi Gaber,31.215475,29.964224,9,23,6,2025-02-12,0,3680
1172,Family Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.239408,29.947362,9,23,6,2025-06-14,1,6315
1173,Pharma Plus - Sidi,,Alexandria,Sidi Gaber,31.218608,29.965673,8,1,6,2025-01-22,0,5285
1174,Angel Pharmacy - Faisal,,Alexandria,Sidi Gaber,31.211718,29.94684,9,1,6,2025-03-26,0,6199
1175,El Tourath Pharmacy - Sidi,,Alexandria,Sidi Gaber,31.213786,29.948069,9,23,6,2024-10-11,0,8420
1176,El Hokama Pharmacy,,Alexandria,Sidi Gaber,31.235314,29.957632,8,23,6,2025-06-19,1,5217
1177,Sunrise Pharmacy,,Alexandria,Sidi Gaber,31.218263,29.933918,10,23,6,2024-11-20,1,9674
1178,El Faraby Pharmacy - Imbaba,,Alexandria,Sidi Gaber,31.240018,29.958672,10,23,6,2024-11-01,0,8613
1179,El Zahraa Pharmacy - Square,,Alexandria,Sidi Gaber,31.245695,29.966829,9,23,6,2025-08-13,0,9491
1180,Al Amal Pharmacy,,Alexandria,Sidi Gaber,31.218524,29.954451,9,1,6,2024-11-16,0,2950
1181,Health Gate Pharmacy,,Alexandria,Sidi Gaber,31.221629,29.937048,9,23,6,2024-10-21,0,6125
1182,Blue Wave Pharmacy,,Alexandria,Sidi Gaber,31.244208,29.944999,9,1,6,2025-07-28,0,4653
1183,Mira Pharmacy - Marg,,Alexandria,Sidi Gaber,31.232692,29.943696,8,23,6,2024-11-28,0,8998
1184,Golden Care Pharmacy - Shubra,,Alexandria,Sidi Gaber,31.243929,29.958893,9,23,6,2025-03-19,1,1570
1185,Mira Pharmacy - Dokki,,Alexandria,Sidi Gaber,31.22317,29.955846,8,23,6,2025-09-07,0,2014
1186,Star Care Pharmacy,,Alexandria,Smouha,31.207602,29.954284,8,23,7,2024-10-14,1,1590
1187,Pharma Plus - Nozha,,Alexandria,Smouha,31.207153,29.961919,10,23,7,2024-11-30,0,8578
1188,El Baraka Pharmacy,,Alexandria,Smouha,31.226392,29.928389,8,23,7,2025-04-21,0,4441
1189,Mira Pharmacy - Smouha,,Alexandria,Smouha,31.193046,29.95512,9,23,7,2024-09-01,0,5138
1190,El Shifa Pharmacy,,Alexandria,Smouha,31.217408,29.930647,10,1,7,2025-03-13,0,8657
1191,Silver Care Pharmacy,,Alexandria,Smouha,31.200896,29.941356,8,23,7,2024-12-16,0,6915
1192,Golden Care Pharmacy - Smouha,,Alexandria,Smouha,31.200527,29.927187,9,23,7,2025-02-13,0,5603
1193,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,31.196543,29.95546,10,23,7,2024-10-12,2,8760
1194,Misr Pharmacy - Helwan,,Alexandria,Smouha,31.204385,29.943101,9,23,7,2025-08-19,0,5954
1195,Misr Pharmacy,,Alexandria,Smouha,31.21953,29.935461,9,23,7,2025-04-20,0,3560
1196,El Zahraa Pharmacy - Agami,,Alexandria,Smouha,31.208483,29.951737,8,23,7,2025-01-20,0,4915
1197,Al Amal Pharmacy - Obour,,Alexandria,Smouha,31.227221,29.931705,9,1,7,2025-06-19,0,2637
1198,Green Leaf Pharmacy - Smouha,,Alexandria,Smouha,31.210611,29.961004,10,23,7,2025-08-01,0,4279
1199,El Tourath Pharmacy,,Alexandria,Smouha,31.195382,29.947557,8,23,7,2024-09-17,0,6079
1200,Family Pharmacy,,Alexandria,Smouha,31.193112,29.930726,9,1,7,2024-09-09,0,7902
1201,Salamtek Pharmacy,,Alexandria,Smouha,31.211338,29.926748,9,23,7,2025-04-23,0,4436
1202,Alpha Pharma,,Alexandria,Smouha,31.203631,29.928785,9,23,7,2025-08-05,0,8212
1203,El Hokama Pharmacy - Smouha,,Alexandria,Smouha,31.208022,29.952448,9,23,7,2024-09-02,0,8596
1204,Dr Medhat Pharmacy - Faisal,,Alexandria,Smouha,31.196309,29.955884,9,1,7,2025-02-14,0,1406
1205,Union Pharm,,Alexandria,Smouha,31.227202,29.939493,10,1,7,2025-07-01,0,9660
1206,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,31.202355,29.955475,9,23,7,2024-09-03,0,2661
1207,Ebn Sina Pharmacy - Smouha,,Alexandria,Smouha,31.207275,29.927858,9,2,7,2025-06-02,0,7174
1208,Elite Pharmacy,,Alexandria,Smouha,31.217396,29.940719,8,1,7,2024-12-26,0,3306
1209,Misr Pharmacy,,Alexandria,Smouha,31.202733,29.958181,9,23,7,2024-10-13,0,2097
1210,Life Line Pharmacy - Smouha,,Alexandria,Smouha,31.205352,29.941094,9,1,7,2025-08-26,0,9536
1211,Golden Care Pharmacy,,Alexandria,Smouha,31.22172,29.953579,9,1,7,2025-01-02,0,5605
1212,El Zahraa Pharmacy - Haram,,Alexandria,Smouha,31.204001,29.929311,9,23,7,2025-03-20,0,3504
1213,Omega Pharmacy,,Alexandria,Smouha,31.207321,29.933997,10,23,7,2024-10-31,0,4215
1214,El Faraby Pharmacy - Rehab View,,Alexandria,Smouha,31.201523,29.932649,8,2,7,2025-09-15,0,5197
1215,Green Leaf Pharmacy,,Alexandria,Smouha,31.220731,29.929358,9,23,7,2025-07-13,0,9436
1216,Nile Care Pharmacy,,Alexandria,Smouha,31.201451,29.955989,8,23,7,2024-09-30,0,8266
1217,Mira Pharmacy,,Alexandria,Smouha,31.215842,29.940502,9,1,7,2025-07-29,0,3918
1218,Care 24 Seven - Obour,,Alexandria,Smouha,31.197047,29.940312,10,23,7,2025-06-03,0,2228
1219,Ebn Sina Pharmacy - Smouha,,Alexandria,Smouha,31.222112,29.942865,8,23,7,2025-07-06,0,1093
1220,Family Pharmacy,,Alexandria,Smouha,31.206127,29.956294,9,2,7,2024-11-19,0,5194
1221,Al Nozha Pharmacy,,Alexandria,Smouha,31.217346,29.958609,9,23,7,2025-03-24,0,5261
1222,Health Gate Pharmacy,,Alexandria,Smouha,31.219913,29.955702,9,23,7,2024-12-16,0,8765
1223,City Care Pharmacy - Smouha,,Alexandria,Smouha,31.209301,29.961566,8,23,7,2025-02-06,0,4746
1224,Family Pharmacy - Smouha,,Alexandria,Smouha,31.214075,29.955774,8,23,7,2024-12-15,0,8981
1225,Al Amal Pharmacy - Banha,,Alexandria,Smouha,31.192056,29.934948,9,2,7,2025-04-26,0,5393
1226,Sunrise Pharmacy,,Alexandria,Smouha,31.198443,29.945194,9,23,7,2024-09-13,0,1884
1227,Better Life Pharmacy - Smouha,,Alexandria,Smouha,31.21634,29.948896,10,23,7,2024-10-04,0,4076
1228,Seha First Pharmacy - Marg,,Alexandria,Smouha,31.201168,29.954604,8,2,7,2024-09-13,0,9332
1229,Pharma Plus - Square,,Alexandria,Smouha,31.22388,29.927856,9,23,7,2024-11-10,0,6481
1230,Misr Pharmacy - Dokki,,Alexandria,Smouha,31.2201,29.959603,9,23,7,2024-09-27,0,5824
1231,Elite Pharmacy,,Alexandria,Smouha,31.205233,29.933303,9,23,7,2025-03-22,1,4828
1232,Seha First Pharmacy - Oct City,,Alexandria,Smouha,31.214941,29.953544,9,23,7,2025-03-15,0,6911
1233,Salamtek Pharmacy - Smouha,,Alexandria,Smouha,31.220638,29.959191,8,2,7,2025-01-04,0,2803
1234,Elite Pharmacy - Smouha,,Alexandria,Smouha,31.218655,29.938499,8,1,7,2024-10-05,1,7018
1235,Seha First Pharmacy,,Alexandria,Smouha,31.194861,29.935253,9,23,7,2025-03-18,1,7119
1236,Hope Pharmacy - Imbaba,,Alexandria,Smouha,31.223233,29.945287,9,23,7,2025-08-23,0,5629
1237,Green Leaf Pharmacy - Agami,,Alexandria,Smouha,31.198238,29.949563,9,1,7,2024-11-29,0,6881
1238,Green Leaf Pharmacy - Smouha,,Alexandria,Smouha,31.224179,29.954632,8,23,7,2025-05-15,0,5941
1239,City Care Pharmacy,,Alexandria,Smouha,31.225271,29.958152,10,1,7,2025-05-19,0,2201
