invoice_no,account_name,branch_code,entry_date,entry_time,account_address,governorate,area,gross_value,total_discount,total_after_discount,line_count,record_state
300387,El Nasr( 2),752,09102024,10:09:53,blk 8 - MHS - metro,,,2445.68,540.02,1905.66,2,CLSD
300390,Blue aWve,750,17-Oct-2024,13:40:30,,,,3403.06,454.92,2948.14,5,
300393,EL GGreen Leaf 011,700,04-Oct-2024,12:34:48,,,,173.52,48.03,125.49,4,CLSD
300397,el Al Nozha Mhandessin (2),738,05102024,11:19:11,Mohandessin 172 Atuostrad,,,3831.78,672.53,3159.25,7,
300400,el METO SMOUHA,701,22112024,08:23:09,,,,4492.26,1184.32,3307.94,2,
300403,PH al nozha msouha,724,25-Nov-2024,08:22:50,Smouah 157 Corniche,,,2734.99,297.41,2437.58,7,
300410,PH/HOPE SMOUHA WH-471,776,23112024,08:53:08,,,,12240.98,1435.53,10805.45,15,CLSD
300412,PY/elite Main Road,758,21-Nov-2024,08:49:24,SMH/173,Giza,Mohandessin,11121.61,1803.30,9318.31,13,
300413,ELL Elite,761,05112024,10:32:52,,,,3289.61,682.97,2606.64,13,
300415,EL ALPHA PAHRMA SMOUHA 04,712,19112024,13:35:29,,Cairo,Nasr City,3493.65,527.61,2966.04,12,
300418,Care 24 Seven Mall,765,15-Nov-2024,08:35:24,SMH/5,,,4337.29,367.82,3969.47,8,CLSD
300420,Fammily Dokki Branch 1,777,11112024,16:18:40,,,,1567.68,237.83,1329.85,6,
300428,PH STARCARE 6th Zone,705,11112024,12:35:43,,Alexandria,Smouha,4206.24,481.90,3724.34,5,
300433,El-Care 24 Seven Square,725,02112024,13:57:15,"Faisal 146, SMH zone",,,6099.44,481.38,5618.06,10,CLSD
300437,PY/AL AMAL,731,10112024,10:48:45,"84 Salah Salem st., near school, SMH",Giza,Faisal,2743.34,337.66,2405.68,7,
300440,El-Health Gate,740,01-Nov-2024,08:18:43,"Abbas 168, SMH zone",,,4100.84,966.61,3134.23,7,
300452,El-Misr Dokki br.2,742,21112024,13:15:19,blk 4 - SMH - school,,,6105.11,1409.40,4695.71,8,
300454,EL el nasr Branch 2,754,11112024,13:19:17,,,,3100.75,619.37,2481.38,9,CLSD
300472,el Silver Care Smouha Mall27,704,22112024,11:39:26,,,,6923.95,507.31,6416.64,10,CLSD
300480,blue wave marg br.2,772,14-Nov-2024,17:55:40,,,,5388.02,590.49,4797.53,8,CLSD
300481,Better Lfe Nozha 04835,716,25112024,15:43:36,"173 Abbas st., near hospital, SMH",,,2591.76,532.91,2058.85,4,
300487,Ph/Care 24 Seven,746,17112024,15:38:28,,,,5088.06,634.05,4454.01,7,CLSD
300488,el El Shifa Station St.,753,11112024,12:56:52,,,,7190.93,1588.71,5602.22,10,CLSD
300492,el Silver Care 011,777,02112024,10:02:29,,,,9451.89,1040.63,8411.26,11,
300500,El-Blue Wave,724,10112024,10:14:12,,,,5867.05,764.24,5102.81,15,CLSD
300501,life line maadi (2),713,04112024,14:49:45,NSC/29,,,4880.03,796.25,4083.78,8,CLSD
300505,PY/El Nasr Maadi606,717,07112024,11:20:24,,Giza,Faisal,2824.75,626.30,2198.45,7,
300507,E-Elite 04,773,18112024,15:39:14,,,,2594.24,622.63,1971.61,8,
300516,PH Star Care Main Road,746,03112024,12:21:13,blk 17 - NSC - police st.,,,2141.73,153.84,1987.89,6,
300521,EL Sunrise OctCity Branch 1,776,17112024,14:48:41,"134 Faisal st., near police st., NSC",,,4619.52,652.78,3966.74,4,
300524,PY/ira Branch 2,773,06112024,12:35:28,Nasr City 16 Haram,,,3016.76,815.09,2201.67,8,CLSD
300527,El-Misr Oct Ciity,777,22112024,14:15:10,"Abbas 227, NSC zone",,,1966.90,264.19,1702.71,8,
300542,PH Unionn Pharm Obour Branch 1,721,24112024,18:08:39,"228 Autostrad st., near market, NSC",,,4597.28,1167.00,3430.28,6,CLSD
300546,PY/NION PHARM NASR 011,715,19-Nov-2024,16:26:26,,,,2418.02,419.11,1998.91,3,
300553,Ph/El Tourath Station St.,762,09112024,08:34:14,,,,3442.67,611.45,2831.22,10,
300555,El-el tourath-A481,774,18112024,10:54:57,"Port Said 64, NSC zone",,,8317.20,1760.02,6557.18,9,
300557,el shifa nsar 011989,737,10112024,13:54:21,"188 Faisal st., near square, NSC",,,3159.18,610.92,2548.26,6,CLSD
300562,Angel Helwan Branch 2,724,08112024,14:28:28,,,,4629.79,607.31,4022.48,7,CLSD
300573,PY/el zahra afaisal-A,745,12112024,10:13:03,,,,9044.31,1041.04,8003.27,8,CLSD
300576,El-Life Liee Nasr903,723,08112024,13:39:22,NSC/197,,,1955.60,250.55,1705.05,8,CLSD
300581,Ph/salmtekbr.2,747,15-Nov-2024,13:36:30,,,,3506.66,771.03,2735.63,7,
300588,EL staar ccare br.2,729,15-Nov-2024,09:40:16,"Horreya 104, NSC zone",,,1776.23,376.43,1399.80,5,CLSD
300589,EL tsaar care br.2,777,13-Nov-2024,14:10:52,,,,1433.69,169.07,1264.62,8,CLSD
300594,sunrise faisal Branch 1,727,23-Nov-2024,13:51:02,,,,3924.97,461.03,3463.94,7,CLSD
300605,El-ebn sina faisal Station St.,726,15112024,09:08:40,"214 Corniche st., near mosque, FSL",,,5189.89,304.97,4884.92,7,
300607,Ebn Sina Faisal Branch 235,746,07112024,13:03:51,"Zayed 226, FSL zone",,,5631.66,594.80,5036.86,8,
300610,DR MEDHAT WH-671,752,19112024,10:56:39,FSL/163,,,2637.92,551.23,2086.69,5,
300614,GLODEN CARE FAISAL (2),762,13-Nov-2024,15:45:49,,,,2635.88,520.29,2115.59,5,CLSD
300623,pharma lus,700,11112024,14:36:29,,,,2090.08,496.54,1593.54,3,
300626,PY/Blue Wave Shbra,735,22112024,10:10:00,,Giza,Mohandessin,7164.96,1376.50,5788.46,7,
300638,PH el zahraa 6th Zone,700,05-Nov-2024,16:04:10,Faisal 12 Horreya,,,5077.26,1454.52,3622.74,7,CLSD
300641,PH/PHARMA PLUSD WH-702,746,13-Nov-2024,16:37:20,,Giza,Mohandessin,1672.28,143.12,1529.16,5,
300642,Ph/pharma plusd okkki Branch 2141,756,05112024,08:19:46,blk 16 - FSL - hospital,,,831.42,106.71,724.71,2,CLSD
300643,nile acre faisal 011987,711,24112024,11:06:19,,,,3543.15,475.48,3067.67,10,
300644,el Metro Faisal Branch 1,712,18112024,11:11:57,"219 Nile st., near bridge, FSL",,,5662.57,658.34,5004.23,10,
300649,Ph/Salamtek  Faisal-A,712,07112024,12:44:36,blk 8 - FSL - school,,,8660.44,1263.14,7397.30,11,
300652,Sunrise Faisal Main Road,720,03112024,12:25:23,Faisal 227 Port Said,,,5603.54,1529.13,4074.41,8,
300657,Sunrise Faisal (2),757,28112024,10:12:16,Faisal 08 Horreya,,,4185.27,751.42,3433.85,8,
300663,Star Care 04,742,12112024,08:24:41,"9th District 184, FSL zone",,,2913.83,635.12,2278.71,5,CLSD
300666,unionpharm banha 011307,721,16112024,13:48:53,,Alexandria,Smouha,3708.85,954.19,2754.66,4,CLSD
300671,PH El Baraka Smouha Mall,743,06112024,13:12:41,Faaisal 168 Haram,,,9107.83,1134.27,7973.56,11,
300678,star care square Branch 2,774,12112024,14:47:59,"Salah Salem 210, FSL zone",,,3152.83,643.20,2509.63,4,
300684,EL AL WH-745,760,03112024,12:36:10,Faiisal 173 Sudan,,,2040.67,378.74,1661.93,4,CLSD
300685,EL LIFEE LINE NOZHA,766,18112024,16:49:58,,,,10456.55,706.96,9749.59,10,
300691,STTAR CARE FAISAL Branch 1,764,26112024,08:43:55,Faisal 5 8Geish,,,3574.55,759.47,2815.08,6,
300698,el green lea fMall,704,08112024,12:28:40,,,,7562.99,643.44,6919.55,5,
300707,SEHA FIRST Main Road,774,17-Nov-2024,10:28:36,MHS/31,,,2617.43,614.73,2002.70,4,
300729,Ph/Silver Care Branch 2,723,13112024,15:29:23,blk 26 - MHS - bridge,,,2514.82,333.75,2181.07,3,
300730,HEALTH GATE MOHANDESSIN 011,719,15112024,11:33:28,Mohandessin 212 Salah Sallem,,,3908.33,363.72,3544.61,7,CLSD
300731,El-SILVER CARE Main Road439,754,02112024,13:02:56,,,,1336.54,269.51,1067.03,4,
300737,Ph/Better Life tSation St.,758,08112024,13:48:39,"Sudan 59, MHS zone",,,3828.58,634.31,3194.27,7,CLSD
300738,Ell-Dr Medhat Haram br.2177,748,04112024,18:26:01,MHS/215,,,1448.28,343.32,1104.96,2,
300740,PH Ebn Sina (2),726,28112024,11:10:50,,,,2361.74,272.67,2089.07,7,
300764,PY/Silver Care Mohanndessin,733,04-Nov-2024,09:42:53,,,,5107.39,375.26,4732.13,5,CLSD
300765,EL el baraka Branch 2429,712,19112024,15:38:02,blk 4 - MHS - market,,,2805.92,476.70,2329.22,7,
300769,PY/Al Amal Mohndessin Branch 1,712,11-Nov-2024,21:19:54,,,,3590.48,434.24,3156.24,8,
300777,Pharma Plus Mohandessin 011,765,10112024,10:53:40,,,,3965.87,423.23,3542.64,8,CLSD
300786,el angel mohandessin Main Road,731,28112024,09:24:11,,Giza,Mohandessin,4556.03,471.47,4084.56,4,CLSD
300788,ANGEL MOOHANDESSIN Branch 2,728,03112024,15:05:58,Mohandessi 25 Sudan,,,7248.74,964.28,6284.46,10,CLSD
300794,El-mira mohandessin50,736,13112024,13:19:48,blk 25 - MHS - gas station,,,8546.86,1799.64,6747.22,9,CLSD
300796,PY/GREEN LEAF MOHANDESSIN 011622,766,16112024,10:55:56,Mohadessin 85 Nasr,,,2020.02,124.95,1895.07,4,CLSD
300807,PH Green Leaf Mall,777,23-Nov-2024,11:11:27,"218 Abbas st., near hospital, MHS",,,9883.72,1397.40,8486.32,12,
300811,el nassr-A,707,09112024,08:49:42,blk 18 - MHS - market,,,1429.83,276.90,1152.93,4,
300825,PH El Shifa,747,14-Nov-2024,13:01:57,MHS/4,,,2571.54,516.74,2054.80,6,
300827,El-El Shifa,721,12112024,11:37:02,blk 5 - MHS - park,Giza,Mohandessin,5306.54,1369.05,3937.49,9,
300832,al nozha moahndessin Branch 2,775,13112024,14:47:21,,,,1274.81,305.79,969.02,4,
300833,El-Silver Care Marg Branch 1392,769,15122024,08:12:47,"Sudan 92, SMH zone",,,2834.55,383.86,2450.69,4,
300849,el metro oct city (2),749,02122024,12:28:34,blk 8 - SMH - metro,,,5721.16,1282.27,4438.89,5,
300861,care 24 seven 011,721,03122024,14:06:02,,,,4124.90,1141.81,2983.09,5,CLSD
300868,EL sliver care smouha379,760,06122024,13:39:35,"Nasr 96, SMH zone",,,2778.26,562.45,2215.81,10,CLSD
300875,ELA L AMAL 6th Zoone,717,17122024,08:37:42,,,,3244.77,806.86,2437.91,5,CLSD
300882,e Family,704,17122024,18:42:43,"84 Autostrad st., near gas station, SMH",,,3245.08,344.09,2900.99,7,CLSD
300888,el El Tourath Smouha Station St.,775,28122024,09:04:40,"213 Geish st., near mosque, SMH",,,3710.01,1001.75,2708.26,4,
300900,MIRAMARG 04,776,15122024,08:11:21,,,,6332.42,788.45,5543.97,12,
300903,Ph/Mira Smouha 011,752,20122024,14:30:46,,Cairo,Nasr City,3123.21,634.37,2488.84,5,CLSD
300904,Ph/EL TOURATH536,761,25-Dec-2024,10:52:47,Smouha 71 Faissal,,,9025.26,1925.50,7099.76,13,
300905,El-EL TOURATHBranch 2894,769,19122024,18:41:26,"9th District 77, SMH zone",,,5508.80,638.07,4870.73,7,CLSD
300906,El-Family Branch 2,746,20122024,08:19:40,SMH/189,,,2288.79,216.85,2071.94,5,CLSD
300908,OMEGA (2),711,03122024,12:14:41,,,,5404.55,801.35,4603.20,9,CLSD
300909,Ph/OMEGA 04,711,16122024,14:04:11,blk 1 - SMH - park,,,3200.59,484.45,2716.14,5,CLSD
300911,PH Family 011,717,16122024,15:20:34,SMH/93,,,1257.94,328.44,929.50,3,CLSD
300920,Ph/seha first marg-A,713,27122024,10:23:49,blk 20 - SMH - mosque,Cairo,Nasr City,4024.41,765.32,3259.09,9,
300922,Ph//seha first marg-A,768,08122024,11:00:07,,,,1375.80,153.18,1222.62,3,CLSD
300925,Pharma Plus Square,765,01122024,12:49:24,,,,4298.52,479.03,3819.49,11,CLSD
300948,EL Metro Montaza br.2,703,02-Dec-2024,13:23:26,blk 13 - SMH - hospital,,,6317.61,514.35,5803.26,14,CLSD
300950,METRO MONTAZA,722,24122024,09:49:00,Somuha 191 Gamet Dewal,,,779.70,208.36,571.34,3,CLSD
300960,EL Metro Smouha t6h Zone,703,25122024,08:31:17,Smouhaa 193 Autostrad,,,3118.98,402.39,2716.59,6,
300964,El Hokama Smouha-AA321,734,28-Dec-2024,11:25:58,"Autostrad 59, SMH zone",,,4615.46,921.55,3693.91,8,CLSD
300989,PH Blue Wave Marg Main Road,725,05122024,09:37:33,Smouha 49 Indusrtial Zone,,,2489.14,232.36,2256.78,4,CLSD
300991,EL HOKAMA MONTAZA 011115,721,11122024,16:00:46,,,,16862.43,4442.49,12419.94,15,
300995,Care 24 Seven Mall,742,07122024,08:00:54,Smouha 69 Salah Salem,,,7416.88,1643.33,5773.55,11,CLSD
301001,PY/TSAR CARE Station St.,730,16122024,11:26:16,,Giza,Mohandessin,2315.81,433.35,1882.46,3,CLSD
301010,El-Faamily Noha br.2,763,06122024,12:33:57,,,,2844.05,415.23,2428.82,4,
301011,EL angel montaza br.2,717,11122024,12:46:19,"127 Tahrir st., near market, NSC",,,2530.08,596.78,1933.30,5,CLSD
301013,El Baraka Nasr Mall,711,09-Dec-2024,13:42:51,,,,8489.09,1286.83,7202.26,11,
301022,Elite825,717,11122024,08:41:29,,,,1877.69,435.73,1441.96,5,
301027,Mira 6th Zone,712,01-Dec-2024,16:06:11,,,,2324.46,337.31,1987.15,4,
301031,EL Misr 6th Zone,775,22122024,09:11:51,"Zayed 18, NSC zone",,,5463.01,1438.67,4024.34,10,CLSD
301032,PY/MISR Branch 13399,745,23122024,08:37:04,,,,6279.00,675.34,5603.66,9,CLSD
301051,EL SALAMTEK NASR Mall470,777,11122024,10:38:46,,,,982.97,127.97,855.00,3,CLSD
301058,Anegl,749,07122024,14:42:17,"151 Geish st., near gas station, NSC",,,4834.20,1187.72,3646.48,5,CLSD
301059,Anggel 011,726,04122024,15:38:51,Nasr City 73 9th Diistrict,,,1715.32,198.12,1517.20,3,CLSD
301066,El-GREEN LEAF NASR Mall,767,18122024,11:31:42,,,,3119.32,324.68,2794.64,7,CLSD
301074,El-HOPE AGAMI,729,10-Dec-2024,11:25:06,blk 27 - NSC - police st.,,,4402.02,1031.60,3370.42,6,
301075,El-city care nasr Station St.,726,21122024,11:02:13,"237 Nile st., near gas station, NSC",,,2652.95,250.77,2402.18,9,CLSD
301081,EL SHIFFA NASR,775,05122024,15:38:46,,,,5013.91,1091.52,3922.39,6,
301088,el Ebn Sina Shubra Braanch 2,775,26122024,13:20:47,,,,3188.56,749.58,2438.98,7,CLSD
301090,EL TOURATH Branch 2,730,13-Dec-2024,11:38:28,,,,2506.72,543.39,1963.33,6,CLSD
301091,El-el tourath-A481,761,06-Dec-2024,08:34:09,,,,9433.19,2090.55,7342.64,7,CLSD
301095,El--Misr Nsr,772,18122024,14:42:46,,,,1927.52,284.96,1642.56,4,CLSD
301111,El-el nasr montaza Staiton St.420,725,01122024,12:02:27,,,,2735.76,282.23,2453.53,6,
301113,ElZahraa 04,765,06122024,12:00:47,NSC/180,,,10039.85,847.31,9192.54,14,
301114,PH Alpha Pharma Nasr,756,08122024,18:00:49,"171 Tahrir st., near park, NSC",,,11563.70,1864.00,9699.70,6,
301129,PY/el zahra afaisal-A,745,07-Dec-2024,11:30:03,,,,2864.40,260.73,2603.67,8,
301136,Al Nozha 04,766,19122024,09:14:53,,,,2109.30,253.08,1856.22,5,
301140,El-family 04,747,12122024,08:44:51,"Gamet Dewal 133, NSC zone",,,3760.70,741.99,3018.71,15,CLSD
301141,Ph/Dr Medhat Station St.,743,26122024,17:02:38,,,,3250.27,462.24,2788.03,8,CLSD
301142,PY/dr edhat-A,718,09122024,13:04:39,,,,3941.42,927.18,3014.24,7,
301143,Phh/Golden Care Nasr Branch 2,768,19122024,12:28:38,"Autostrad 85, NSC zone",Giza,Mohandessin,7736.43,817.08,6919.35,11,
301150,ALPHA PHARMA FAISAL Station St.653,760,14122024,08:44:06,Faisal 186 Coriche,,,2840.64,560.26,2280.38,5,
301151,Ph/ALPHA PHARMA FASAL Main Road,709,18122024,12:29:43,"173 Geish st., near gas station, FSL",,,6531.51,1438.28,5093.23,9,
301155,El-ebn sina faisal 6th Zone276,720,20122024,17:38:37,FSL/211,Giza,Faisal,4500.62,1269.37,3231.25,4,
301163,El-Dr Medhat Noza Branch 1,724,17122024,14:58:22,Faisal 19 Zayed,,,1022.52,157.76,864.76,4,CLSD
301199,Ph/Care 24 Seven (2),709,19122024,15:52:55,,,,5006.69,982.14,4024.55,5,CLSD
301202,El-El Zahraa Mall,723,12122024,09:48:06,"177 Nile st., near metro, FSL",Alexandria,Smouha,1979.88,244.75,1735.13,6,CLSD
301203,Green Leaf Branch 1,735,28122024,19:59:00,FSL/223,,,2452.98,390.84,2062.14,3,CLSD
301205,GREEN LEAF .2,741,22122024,12:06:16,FSL/179,,,2296.95,574.61,1722.34,2,
301206,GREENLEAF b.2,772,09-Dec-2024,12:34:20,"178 Geish st., near gas station, FSL",,,4644.01,450.57,4193.44,6,CLSD
301208,GREEN LEAF b.2,754,25122024,14:40:55,,,,9327.81,1621.41,7706.40,10,CLSD
301212,PY/AL AMAL WH-296,735,17122024,12:25:05,,,,1581.92,275.14,1306.78,5,CLSD
301217,El-Metro Faisal Maain Road,710,28122024,10:11:34,,,,1969.68,268.79,1700.89,4,CLSD
301222,Health Gate Oobur br.2,736,17122024,08:16:13,,,,6223.81,1305.61,4918.20,10,
301227,Life Line Faisal Station St.,770,05122024,08:42:38,,,,3474.90,295.56,3179.34,7,CLSD
301232,EL EL ZARHAA 04,749,05122024,09:32:03,,,,2151.49,401.23,1750.26,4,
301235,STAR CARE OT CITY Main Road,706,17122024,08:55:54,,,,4280.87,623.94,3656.93,8,CLSD
301236,Sunrise Faisal Main Road,709,10122024,14:55:40,,,,6180.20,1382.20,4798.00,6,CLSD
301245,Ph/Hope Faisal 6th Zone,737,06122024,13:35:34,,Giza,Faisal,1887.41,260.44,1626.97,5,CLSD
301246,Ph/Nile Care Maadi  (2),754,02122024,12:35:33,FSL/139,,,3114.78,586.92,2527.86,6,CLSD
301257,unionpharm banha 011307,714,02122024,08:42:59,FSL/216,,,2605.39,360.00,2245.39,4,
301266,EL Star Care Marg br.2117,715,21122024,10:06:39,Faisal 220 Salah aSlem,,,4066.22,698.03,3368.19,8,CLSD
301267,Ph/MISR (2),772,21122024,13:06:28,,,,5719.53,777.11,4942.42,7,CLSD
301277,STAR CARE 04,704,25122024,14:47:50,,,,1350.96,71.95,1279.01,4,
301287,Ph/EB SINA Mall,736,19122024,12:40:34,,,,1315.83,280.63,1035.20,3,
301292,PH ebn sina mohandessin Station St.,768,14122024,09:23:11,,,,8171.65,1291.96,6879.69,15,CLSD
301294,STAR CARE HELWAN356,718,20122024,12:40:39,blk 28 - MHS - school,,,6860.37,1579.43,5280.94,7,
301297,el abraka (2),776,27122024,09:46:39,,,,3964.33,428.66,3535.67,9,CLSD
301299,el abraka (2),712,03122024,08:53:13,"195 Salah Salem st., near gas station, MHS",,,6266.87,812.86,5454.01,9,
301301,Ph/alpha pharma 6th Zone438,740,02122024,15:36:40,,,,426.18,85.64,340.54,3,CLSD
301306,Seha First Main Road,718,14-Dec-2024,12:10:53,blk 11 - MHS - hospital,,,3513.41,923.45,2589.96,7,
301307,el el faraby Main Road,722,20122024,14:47:33,Mohandessin 105Nile,,,3737.24,976.70,2760.54,10,CLSD
301310,Sunrieb r.2,732,17122024,09:04:59,blk 14 - MHS - school,Cairo,Nasr City,109.84,11.72,98.12,2,
301321,EL SEHA FIRST br.2,772,02122024,08:37:25,,,,1691.16,240.43,1450.73,3,
301326,PY/LIFE LINEE WH-410,703,03-Dec-2024,16:45:30,"207 Autostrad st., near hospital, MHS",,,5634.57,494.69,5139.88,6,CLSD
301328,PY/LIFE LINE WH-412,737,01-Dec-2024,12:33:17,,Cairo,Nasr City,3848.49,683.50,3164.99,7,
301332,Ph/metro square 04993,723,03122024,13:36:39,,,,2000.32,196.04,1804.28,6,CLSD
301334,EL msr banha Branch 1,777,14122024,10:02:53,,,,8182.96,901.20,7281.76,6,
