doc_no,qty,unit_price,line_value,vat_flag
300028,2,471.24,796.01,
300028,1,76.30,64.69,
300028,1,7.88,6.73,
300028,1,439.32,371.53,
300028,6,171.07,838.68,
300028,4,135.43,447.94,
300029,2,65.82,97.99,
300029,4,193.25,557.27,
300029,4,72.22,210.25,
300029,5,132.13,490.67,
300029,3,413.28,972.08,
300029,4,426.30,1374.47,
300029,2,19.19,31.18,
300030,4,154.28,553.98,
300030,8,62.59,433.46,
300030,5,172.30,800.26,
300031,5,23.50,82.70,
300031,4,41.09,127.35,
300031,1,325.71,244.87,
300031,3,55.63,132.04,
300031,3,22.20,51.42,
300031,5,327.60,1319.58,
300031,4,346.19,1110.78,
300031,6,134.24,647.43,
300031,2,64.90,103.88,
300031,5,120.95,507.02,
300031,5,7.84,31.21,
300033,9,412.02,3201.97,
300033,3,18.94,56.82,
300033,4,61.49,216.01,
300033,4,143.22,570.93,
300033,3,209.72,544.11,
300033,8,46.08,337.44,
300033,8,178.11,1306.85,
300033,8,63.50,456.08,
300033,3,26.16,73.63,
300033,4,210.13,777.51,
300033,4,127.78,430.23,
300033,2,13.53,25.02,
300033,5,17.24,79.09,
300035,5,18.27,82.24,
300035,10,140.32,1324.46,
300035,3,12.46,33.31,
300035,5,19.17,95.85,
300035,5,81.25,388.32,
300035,4,502.86,1759.75,
300036,4,248.40,889.89,
300036,10,188.67,1568.23,
300036,6,18.65,94.45,
300036,3,493.17,1212.68,
300037,6,104.26,500.23,
300037,2,72.85,123.36,
300037,3,13.70,33.98,
300037,2,30.00,54.33,
300037,7,141.36,827.74,
300037,5,80.23,329.35,
300037,5,135.04,551.19,
300037,2,506.43,855.14,
300037,5,138.60,553.59,
300037,4,525.81,1715.68,
300039,4,471.75,1566.71,
300039,3,8.36,22.20,
300039,4,129.21,430.36,
300039,4,110.57,366.75,
300039,4,112.45,386.39,
300039,4,142.12,497.98,
300039,4,259.92,845.92,
300039,2,152.61,258.56,
300040,4,57.16,203.73,
300040,2,124.21,215.53,
300040,9,129.21,1113.39,
300040,3,164.31,448.31,
300040,5,123.29,527.00,
300040,6,66.00,345.21,
300040,4,43.70,154.65,
300040,1,383.46,354.82,
300041,4,7.82,29.62,
300041,3,155.65,401.30,
300041,8,291.69,2206.70,
300042,3,128.15,302.93,
300042,2,82.03,134.96,
300042,1,125.08,96.77,
300042,6,87.74,451.39,
300043,6,33.07,169.85,
300043,5,8.38,33.01,
300043,6,144.86,685.71,
300043,1,65.39,53.87,
300048,3,174.24,441.53,
300048,3,250.32,684.53,
300048,6,25.42,123.44,
300049,4,142.03,490.36,
300049,2,79.21,117.74,
300049,3,479.91,1132.57,
300049,4,192.91,603.62,
300049,2,65.45,104.36,
300049,3,110.57,248.50,
300049,8,193.52,1297.99,
300049,7,45.36,252.95,
300049,3,12.33,34.17,
300052,2,257.76,399.84,
300052,3,13.20,31.29,
300052,4,31.02,90.48,
300052,2,16.61,25.14,
300052,3,184.80,434.95,
300052,7,139.54,742.42,
300052,3,32.93,70.07,
300052,5,168.61,637.51,
300052,4,231.12,674.44,
300052,2,545.70,786.78,
300052,7,525.30,2725.53,
300052,2,142.56,211.06,
300055,2,177.41,269.02,
300055,2,186.35,265.26,
300055,3,219.35,470.68,
300055,6,225.09,1105.15,
300056,5,64.11,238.80,
300056,5,59.41,236.47,
300056,5,78.42,313.02,
300056,7,55.94,306.69,
300057,3,125.14,291.86,
300057,6,453.18,2231.48,
300057,4,142.16,476.94,
300057,4,91.49,346.22,
300057,2,11.56,20.55,
300057,6,22.42,114.35,
300062,5,222.24,805.93,
300062,8,241.68,1450.50,
300062,4,287.91,959.91,
300062,3,246.48,608.47,
300062,4,67.04,218.09,
300062,4,16.36,55.92,
300065,5,63.75,274.82,
300065,9,16.83,123.14,
300065,5,81.80,312.76,
300065,3,155.95,360.41,
300065,5,180.75,728.41,
300065,1,439.32,387.27,
300065,5,174.59,734.01,
300066,6,417.48,2183.03,
300066,3,134.38,334.00,
300066,3,140.32,354.08,
300066,4,190.86,650.50,
300069,3,77.87,182.73,
300069,3,166.44,399.25,
300069,3,142.58,354.76,
300069,2,66.06,99.58,
300069,3,200.70,497.84,
300072,6,79.91,449.11,
300072,5,533.97,2448.50,
300072,5,144.86,694.35,
300072,3,7.88,23.64,
300072,4,456.54,1826.16,
300072,5,22.34,99.05,
300072,7,101.86,666.83,
300072,2,91.97,171.26,
300072,3,87.07,230.81,
300073,2,35.31,65.92,
300073,4,11.68,40.94,
300073,6,187.17,997.86,
300073,7,104.45,652.38,
300073,1,235.92,208.55,
300073,1,121.31,105.57,
300073,3,129.10,361.64,
300073,4,17.01,62.12,
300073,2,7.81,14.10,
300073,5,159.46,723.40,
300073,4,161.27,564.11,
300073,5,59.23,259.72,
300073,2,401.52,780.98,
300073,3,19.58,49.49,
300073,3,12.86,36.42,
300074,6,135.17,598.45,
300074,4,122.01,398.32,
300074,2,399.84,626.29,
300074,6,218.88,1057.26,
300074,6,48.87,221.54,
300075,3,519.18,1389.37,
300075,3,40.95,113.53,
300075,4,13.05,47.97,
300076,8,474.30,3249.05,
300076,3,23.95,57.74,
300076,6,180.58,832.41,
300076,4,162.27,457.35,
300076,4,163.15,502.29,
300076,3,25.22,63.63,
300076,6,30.03,142.14,
300076,6,193.73,946.26,
300076,5,169.49,646.82,
300076,3,179.17,422.08,
300076,4,328.86,1052.35,
300076,8,72.85,487.28,
300076,4,44.19,141.29,
300077,4,145.46,441.68,
300077,5,131.60,507.51,
300077,4,305.24,940.55,
300077,6,91.97,387.60,
300077,6,185.68,925.29,
300077,2,491.13,773.88,
300077,5,60.15,220.28,
300078,5,465.12,2065.15,
300078,8,7.53,48.32,
300078,5,108.21,476.41,
300078,5,163.68,734.69,
300078,3,24.19,65.10,
300078,2,29.90,51.76,
300078,3,185.94,486.35,
300078,3,63.99,179.18,
300078,6,60.76,310.11,
300078,2,123.42,220.67,
300078,3,206.23,530.36,
300078,5,103.58,455.76,
300079,2,192.70,256.63,
300079,5,257.76,990.00,
300079,4,35.71,109.87,
300079,6,46.40,209.45,
300079,7,81.09,416.45,
300079,5,55.51,208.57,
300079,3,8.74,19.33,
300079,6,461.58,1979.69,
300079,3,208.28,462.90,
300079,3,100.13,217.89,
300080,4,22.92,84.99,
300080,6,492.15,2705.35,
300080,6,517.14,2808.21,
300080,3,86.88,229.02,
300081,2,7.48,12.97,
300081,3,300.20,764.55,
300081,4,13.60,44.19,
300081,8,74.73,514.08,
300081,5,172.48,758.01,
300081,1,193.25,151.63,
300081,5,110.21,467.13,
300081,4,252.00,855.62,
300082,3,47.12,114.58,
300082,3,79.83,212.68,
300082,5,193.32,879.65,
300082,5,196.39,870.61,
300082,4,12.00,42.69,
300082,4,162.94,577.24,
300082,1,194.96,166.04,
300083,3,430.08,1109.57,
300083,4,166.44,518.68,
300083,5,148.50,672.75,
300083,4,117.29,417.40,
300084,3,66.43,171.97,
300084,3,25.37,68.19,
300084,7,245.76,1498.75,
300084,5,83.29,371.59,
300092,6,31.68,142.76,
300092,1,204.59,166.64,
300092,4,124.87,384.12,
300092,6,432.60,1957.18,
300092,5,73.40,269.98,
300092,5,18.41,67.65,
300092,2,315.63,469.80,
300092,6,295.79,1462.44,
300092,3,164.21,379.48,
300092,6,74.42,348.64,
300092,5,7.74,28.81,
300092,3,119.06,287.96,
300092,4,74.65,215.64,
300092,2,339.89,548.80,
300093,5,225.12,1045.10,
300093,5,105.41,419.68,
300093,2,72.22,123.10,
300093,4,226.56,797.48,
300093,3,45.63,117.51,
300093,4,166.85,572.24,
300093,1,94.46,76.05,
300093,3,33.17,89.02,
300093,3,17.17,41.53,
300094,6,41.04,179.68,
300094,3,66.00,156.55,
300094,4,33.99,104.41,
300094,3,403.62,945.55,
300096,3,254.40,631.80,
300096,7,222.02,1216.40,
300096,4,174.94,577.93,
300096,5,131.60,552.59,
300096,3,54.96,139.51,
300096,3,336.74,769.56,
300099,4,163.10,568.79,
300099,8,91.10,685.06,
300099,5,241.92,1124.28,
300099,8,328.23,2472.96,
300099,6,7.99,41.08,
300099,6,49.14,269.73,
300099,4,71.44,261.92,
300099,1,74.81,71.83,
300099,5,13.35,61.20,
300102,1,63.93,56.70,
300102,5,31.28,133.42,
300105,3,22.82,64.43,
300105,6,141.36,717.93,
300105,6,18.81,98.08,
300105,5,140.98,608.64,
300105,5,18.45,82.75,
300112,3,166.90,406.75,
300112,2,13.21,20.94,
300112,3,484.50,1175.87,
300112,5,146.68,574.27,
300114,2,116.35,179.59,
300114,5,57.16,227.40,
300114,4,211.97,666.59,
300116,4,137.41,473.13,
300116,2,8.65,14.42,
300116,2,164.46,288.15,
300116,3,18.27,45.53,
300116,3,70.89,183.72,
300116,3,86.78,225.30,
300116,5,92.26,369.66,
300116,1,160.66,136.22,
300116,3,23.47,57.47,
300116,9,378.84,3179.19,
300117,1,217.92,173.00,
300117,3,77.56,200.71,
300117,4,103.68,359.35,
300117,2,118.59,195.90,
300117,4,133.98,469.60,
300117,5,314.06,1307.98,
300118,5,17.08,78.97,
300118,6,43.02,235.83,
300118,3,233.76,599.79,
300118,6,8.21,47.66,
300118,3,25.87,69.00,
300118,4,319.41,1129.39,
300118,1,31.71,29.28,
300118,4,422.52,1619.48,
300119,2,55.94,98.81,
300119,1,401.94,351.71,
300119,5,423.78,1730.96,
300119,1,499.29,469.37,
300119,3,315.95,813.85,
300119,3,129.76,348.60,
300121,3,30.03,86.17,
300121,1,208.90,196.88,
300121,5,516.63,2380.07,
300121,4,102.82,376.85,
300121,3,12.61,35.08,
300121,4,13.21,46.15,
300123,2,7.55,11.20,
300123,2,34.72,54.58,
300123,2,96.29,155.38,
300123,2,291.38,454.19,
300123,5,505.92,2077.04,
300123,7,60.02,321.78,
300123,6,152.76,651.67,
300123,2,24.17,35.93,
300123,5,13.31,49.49,
300124,6,262.80,1238.99,
300124,3,216.28,498.56,
300124,6,437.64,1944.32,
300124,5,328.86,1204.97,
300124,5,35.74,141.62,
300124,7,449.82,2195.84,
300124,3,79.05,184.97,
300124,2,89.57,133.64,
300124,3,109.98,236.82,
300124,4,41.90,123.44,
300124,4,34.22,99.79,
300124,4,83.92,241.17,
300128,4,191.88,637.07,
300128,3,561.00,1493.03,
300128,5,103.20,436.73,
300128,5,224.68,969.74,
300128,4,142.03,531.25,
300129,3,509.49,1366.73,
300129,1,223.20,187.85,
300129,3,334.53,810.41,
300131,2,508.47,836.13,
300131,2,7.85,12.45,
300131,5,399.00,1591.58,
300131,7,19.15,109.09,
300135,2,170.02,254.55,
300135,6,192.54,905.35,
300135,2,8.29,12.79,
300135,7,441.00,2411.19,
300135,3,13.60,32.40,
300135,2,24.26,37.30,
300135,4,76.69,234.32,
300135,3,313.11,805.23,
300135,2,143.64,250.36,
300135,3,12.24,28.57,
300141,5,396.90,1636.74,
300141,2,45.90,81.35,
300141,6,41.99,244.83,
300141,1,12.88,11.59,
300142,6,12.54,67.41,
300142,2,16.25,27.77,
300142,2,98.78,179.15,
300142,5,13.53,63.06,
300142,4,183.39,644.80,
300142,6,7.98,44.69,
300142,4,223.04,836.17,
300142,5,24.38,114.45,
300142,4,532.95,1973.17,
300143,3,308.07,725.97,
300143,5,209.51,836.20,
300143,3,98.30,228.11,
300143,7,106.32,562.80,
300143,7,7.48,39.87,
300143,5,143.49,537.68,
300143,2,12.56,20.27,
300143,6,94.46,428.17,
300143,6,145.31,656.01,
300145,6,79.21,385.83,
300145,8,556.92,3467.35,
300145,4,13.51,39.51,
300145,4,45.77,142.80,
300145,8,8.75,52.83,
300145,7,342.41,1784.41,
300146,2,328.23,572.20,
300146,4,11.31,39.53,
300146,4,243.84,919.62,
300146,6,16.25,96.24,
300146,7,140.14,890.58,
300146,3,16.78,45.83,
300146,4,212.38,764.79,
300146,3,62.46,170.85,
300148,8,13.29,94.09,
300148,4,40.86,137.18,
300148,4,227.28,760.41,
300148,3,531.93,1332.73,
300148,6,18.63,91.26,
300148,4,142.30,463.38,
300148,2,127.38,226.98,
300148,3,42.71,112.99,
300148,6,219.12,1064.98,
300149,4,7.74,24.68,
300149,3,18.67,43.97,
300149,4,82.27,257.67,
300149,5,332.33,1232.35,
300149,6,31.35,144.83,
300149,3,115.88,277.99,
300150,6,549.27,2392.81,
300150,3,17.35,41.06,
300150,3,48.47,108.63,
300150,3,13.39,29.22,
300150,6,72.77,333.19,
300150,6,73.40,327.93,
300152,3,43.92,101.60,
300152,3,12.51,29.07,
300152,4,293.58,869.24,
300152,6,130.68,608.69,
300152,4,292.95,975.00,
300152,2,427.14,690.52,
300153,1,395.22,294.75,
300153,5,183.92,695.95,
300153,2,13.54,20.91,
300153,4,345.56,1012.81,
300153,8,80.93,445.75,
300153,1,8.02,5.94,
300153,3,13.26,27.26,
300153,2,80.62,115.04,
300154,9,188.50,1326.42,
300154,6,550.29,2579.75,
300154,6,171.95,754.60,
300154,2,289.17,445.42,
300154,5,95.71,385.63,
300154,7,8.06,43.37,
300154,9,201.31,1456.39,
300154,4,307.76,911.47,
300155,7,199.06,1230.28,
300155,2,195.57,348.63,
300155,5,262.08,1078.18,
300155,3,11.71,32.03,
300155,5,36.14,148.63,
300155,6,307.76,1647.80,
300160,5,29.77,128.99,
300160,5,85.88,338.93,
300160,4,323.51,1073.61,
300160,1,103.68,86.87,
300160,4,17.30,54.54,
300160,4,73.24,238.26,
300160,4,168.26,524.29,
300161,1,8.20,7.33,
300161,4,109.15,379.78,
300161,3,30.86,82.51,
300161,1,60.33,51.36,
300161,5,161.39,662.40,
300161,5,25.01,109.00,
300161,7,133.85,868.31,
300161,3,47.48,117.91,
300161,4,44.51,151.48,
300161,2,222.00,362.39,
300161,2,90.34,145.87,
300161,10,32.27,254.70,
300161,7,135.30,806.48,
300161,5,96.38,412.03,
300161,3,191.14,474.84,
300163,5,62.71,242.42,
300163,6,11.70,61.99,
300163,4,207.87,642.80,
300163,5,240.24,893.05,
300163,4,222.22,689.34,
300163,4,102.24,335.08,
300164,3,13.38,35.68,
300164,2,241.68,446.59,
300164,4,138.60,503.47,
300164,3,522.75,1392.19,
300164,9,151.70,1152.70,
300164,4,7.94,28.34,
300164,4,89.66,302.79,
300164,1,193.52,168.67,
300164,2,8.75,15.13,
300164,5,8.70,36.23,
300164,4,54.96,196.40,
300164,4,17.69,63.07,
300164,4,7.90,27.28,
300164,6,338.94,1603.15,
300164,5,263.52,1127.28,
300168,10,7.76,57.90,
300168,4,35.18,122.86,
300168,6,49.46,256.51,
300168,4,95.62,309.63,
300168,3,41.94,98.09,
300168,3,553.86,1351.83,
300168,3,483.48,1170.03,
300168,2,79.68,128.76,
300168,6,8.71,42.88,
300168,3,7.39,17.81,
300168,6,122.13,599.11,
300168,6,406.98,1981.96,
300168,1,317.52,244.76,
300168,3,12.60,30.89,
300168,5,542.64,2184.51,
300169,4,450.66,1680.30,
300169,3,47.93,124.40,
300171,4,13.39,42.74,
300171,3,35.57,84.03,
300171,7,471.24,2718.10,
300171,2,152.15,251.05,
300172,3,463.59,1157.42,
300172,7,176.00,1152.85,
300172,5,72.53,310.17,
300172,3,23.76,64.64,
300172,5,7.91,31.67,
300172,5,412.44,1897.37,
300172,2,321.62,568.01,
300174,8,43.02,273.03,
300174,5,13.14,56.48,
300174,1,12.58,10.54,
300174,3,19.76,52.14,
300174,5,331.70,1313.01,
300174,3,225.84,586.62,
300174,5,185.86,823.67,
300175,3,72.14,158.16,
300175,5,45.72,182.56,
300175,3,128.38,302.88,
300176,3,32.47,80.59,
300176,5,65.33,249.06,
300176,2,176.88,294.17,
300176,6,425.88,1988.51,
300176,4,289.49,943.88,
300176,1,58.50,49.18,
300176,8,95.42,586.82,
300176,4,244.08,746.58,
300177,7,12.70,73.88,
300177,3,388.92,950.23,
300177,8,56.30,367.20,
300177,2,240.72,371.30,
300177,4,7.51,23.14,
300177,4,47.48,151.75,
300178,3,31.65,76.75,
300178,4,73.55,211.63,
300178,5,153.67,606.94,
300178,2,25.68,38.79,
300179,5,108.32,473.06,
300179,2,8.02,13.77,
300179,5,30.39,134.94,
300179,2,7.62,12.93,
300179,7,47.03,271.88,
300180,5,25.90,95.57,
300180,4,103.78,323.43,
300180,1,252.96,188.64,
300180,3,289.17,673.14,
300180,4,143.88,440.19,
300180,6,545.19,2613.60,
300183,5,35.51,149.31,
300183,2,35.64,63.74,
300183,3,298.62,813.02,
300183,5,174.42,777.37,
300183,5,120.91,517.69,
300183,6,184.45,908.68,
300183,4,32.97,112.11,
300183,6,325.40,1645.42,
300183,4,63.14,228.62,
300185,4,165.83,575.69,
300185,7,74.65,449.96,
300185,4,44.01,141.86,
300185,6,344.61,1860.54,
300185,2,191.84,336.30,
300185,4,43.65,152.05,
300185,6,183.22,1056.51,
300187,8,547.74,4128.36,
300187,7,79.36,490.30,
300187,6,129.36,713.11,
300187,4,438.48,1589.51,
300189,2,531.42,901.14,
300189,2,165.79,309.27,
300189,2,194.34,375.19,
300189,3,25.90,70.97,
300189,4,19.55,71.77,
300189,4,80.62,296.60,
300189,6,117.06,694.61,
300190,2,238.80,446.13,
300190,5,75.52,323.11,
300190,3,515.10,1481.43,
300190,2,11.99,21.73,
300190,5,221.20,1000.15,
300190,3,114.93,329.24,
300190,2,12.41,23.53,
300190,2,48.38,90.38,
300190,2,8.47,15.88,
300190,3,144.70,386.48,
300190,3,259.92,707.94,
300191,2,260.40,441.50,
300191,5,135.83,611.95,
300191,4,385.14,1415.35,
300191,2,243.36,404.34,
300191,8,35.01,238.09,
300191,4,312.48,1081.86,
300191,4,127.38,422.83,
300191,4,41.76,140.46,
300192,7,67.04,398.06,
300192,4,191.84,610.82,
300192,1,7.31,5.99,
300192,5,72.06,310.04,
300192,4,214.02,670.54,
300192,5,147.44,602.49,
300192,2,24.65,41.75,
300192,6,33.03,166.44,
300192,3,148.50,403.58,
300193,7,128.03,743.17,
300193,7,12.18,65.14,
300193,1,44.51,33.61,
300193,3,333.27,818.16,
300194,5,148.35,712.00,
300194,6,17.32,101.10,
300194,2,32.41,60.80,
300194,6,190.78,1060.38,
300194,3,112.10,319.35,
300194,3,65.27,182.76,
300194,2,474.81,894.84,
300195,5,217.30,931.28,
300195,2,238.80,415.18,
300195,4,22.54,77.99,
300195,4,7.77,28.13,
300195,5,513.57,2232.87,
300195,4,201.52,683.95,
300195,5,126.14,532.74,
300195,3,18.99,47.66,
300196,5,26.16,103.70,
300196,2,23.62,39.72,
300196,2,100.70,168.31,
300196,6,127.38,589.15,
300196,9,16.97,120.20,
300196,5,192.37,756.13,
300196,3,12.21,28.35,
300199,4,116.47,352.41,
300199,4,13.74,42.38,
300199,6,218.64,1008.97,
300200,2,8.02,13.13,
300200,4,188.14,650.34,
300200,6,22.49,115.49,
300200,2,217.71,347.74,
300200,2,11.96,19.38,
300200,2,425.88,721.45,
300200,1,18.43,16.50,
300200,4,257.28,886.03,
300201,3,95.90,278.05,
300201,6,89.76,526.96,
300201,4,151.09,593.65,
300201,3,322.56,900.40,
300201,6,122.10,649.79,
300201,5,186.38,797.85,
300202,5,113.04,528.64,
300202,3,13.45,34.41,
300202,3,235.20,608.13,
300202,5,417.48,1829.42,
300202,3,190.43,482.36,
300202,6,290.75,1533.67,
300202,6,30.95,162.84,
300202,2,61.55,108.30,
300202,4,167.55,621.25,
300204,3,48.83,121.29,
300204,5,481.95,1949.09,
300204,4,8.68,26.58,
300204,12,73.16,735.31,
300204,5,191.84,783.14,
300206,3,192.70,458.96,
300206,7,18.43,100.04,
300206,6,143.18,691.42,
300206,6,197.42,885.35,
300206,4,59.90,190.09,
300206,4,47.48,155.27,
300206,5,203.57,803.81,
300206,4,8.19,25.06,
300206,4,25.87,79.02,
300206,3,317.52,727.20,
300207,6,135.83,658.01,
300207,2,546.72,897.57,
300207,7,31.22,178.65,
300207,3,32.04,75.68,
300207,3,130.15,332.15,
300207,3,544.68,1360.12,
300207,5,430.08,1645.50,
300208,3,85.41,236.14,
300208,4,215.05,717.41,
300213,7,383.46,2590.85,
300213,4,36.17,131.26,
300213,2,79.36,152.40,
300213,5,313.74,1415.33,
300213,6,96.58,515.74,
300215,6,388.08,1840.19,
300215,3,403.62,916.96,
300215,6,77.01,355.80,
300215,6,125.91,590.26,
300215,6,74.81,352.98,
300215,6,461.04,2191.46,
300215,4,229.68,736.47,
300215,1,86.78,64.01,
300216,2,220.58,436.39,
300216,3,226.56,601.39,
300216,5,498.27,2166.19,
300216,4,152.30,514.08,
300216,1,23.11,21.11,
300216,5,26.16,113.30,
300216,2,16.97,30.93,
300216,2,437.22,780.36,
300216,4,61.18,218.56,
300217,5,11.48,53.04,
300217,5,116.23,538.88,
300217,3,125.91,347.96,
300220,3,292.64,673.73,
300220,7,531.93,2715.59,
300220,3,191.68,473.69,
300220,3,137.15,326.14,
300220,4,104.93,303.24,
300220,4,8.13,25.05,
300220,5,25.32,100.57,
300220,4,12.63,37.22,
300220,5,198.85,762.69,
300221,4,175.65,592.59,
300221,4,33.13,112.48,
300221,4,326.66,996.27,
300221,2,439.74,752.19,
300222,2,264.00,480.88,
300222,3,128.04,376.66,
300222,8,7.42,52.24,
300222,5,55.14,244.38,
300222,4,22.49,74.29,
300222,5,178.46,765.21,
300222,8,95.33,689.15,
300222,2,126.98,225.04,
300222,6,200.70,1024.76,
300222,3,384.72,1030.27,
300222,5,514.08,2400.46,
300223,2,58.99,86.75,
300223,2,133.72,210.30,
300223,3,23.42,54.71,
300223,3,113.87,261.37,
300223,1,206.85,170.18,
300223,4,314.06,951.81,
300223,6,98.02,497.57,
300223,4,11.96,37.84,
300224,3,404.88,1139.56,
300224,1,7.90,7.05,
300227,5,125.67,534.68,
300227,5,199.26,756.23,
300227,4,102.91,349.23,
300227,3,157.62,412.06,
300227,2,162.98,263.26,
300227,1,121.44,97.76,
300227,2,259.92,433.30,
300227,5,451.50,1920.88,
300227,4,44.55,144.68,
300228,2,7.29,13.49,
300228,4,81.01,285.21,
300228,4,87.26,296.44,
300228,3,26.33,70.24,
300228,7,92.74,567.42,
300228,4,48.29,167.09,
300228,3,18.02,46.00,
300228,2,22.61,40.38,
300228,6,149.72,784.45,
300228,5,240.96,1032.60,
300228,5,8.79,35.51,
300228,3,33.89,96.18,
300228,1,92.35,80.11,
300231,2,8.31,14.15,
300231,3,286.97,743.49,
300231,6,13.53,72.05,
300231,5,499.29,2222.55,
300232,3,7.63,16.56,
300232,6,167.05,870.46,
300232,6,30.82,144.76,
300232,5,257.52,1085.49,
300232,3,112.69,242.71,
300232,2,48.60,76.55,
300232,5,22.20,91.04,
300232,5,295.47,1164.73,
300234,2,46.40,84.02,
300234,2,167.20,287.26,
300234,4,223.04,739.69,
300234,5,237.84,1038.68,
300234,3,339.26,861.64,
300234,9,8.69,67.24,
300234,4,8.44,28.34,
300234,4,119.33,401.02,
300235,2,143.75,209.45,
300235,5,324.45,1215.00,
300235,4,61.37,190.33,
300235,2,88.13,142.23,
300235,5,56.24,227.28,
300236,3,25.54,56.65,
300236,3,230.88,522.21,
300236,6,191.66,809.68,
300236,3,8.29,17.75,
300236,3,338.31,732.92,
300236,4,225.36,726.03,
300239,4,24.89,78.66,
300239,4,41.54,132.89,
300239,4,237.60,665.77,
300239,2,159.30,233.97,
300239,3,150.94,323.60,
300239,5,12.79,46.37,
300239,2,44.06,71.90,
300239,2,205.00,297.43,
300241,4,19.67,64.92,
300241,2,175.30,285.82,
300241,3,163.86,439.73,
300241,8,144.41,1005.91,
300241,5,126.59,503.22,
300241,2,127.09,235.20,
300241,8,102.34,732.41,
300241,4,466.14,1619.94,
300242,3,335.79,878.34,
300242,6,18.38,96.37,
300242,1,12.38,10.23,
300242,5,21.89,95.55,
300242,4,45.05,160.42,
300242,7,127.64,773.87,
300242,3,17.03,45.67,
300242,5,8.49,37.87,
300242,3,140.30,385.21,
300242,3,126.59,339.22,
300242,3,76.15,199.38,
300242,6,33.30,168.89,
300242,5,143.22,644.60,
300244,2,495.72,890.14,
300244,7,7.50,44.94,
300244,4,253.20,878.90,
300244,3,21.77,57.43,
300245,2,24.10,36.56,
300245,2,261.84,427.46,
300245,5,426.30,1832.26,
300245,7,136.88,777.07,
300245,4,325.08,1106.60,
300245,6,85.88,421.75,
300245,3,46.04,103.03,
300245,4,130.68,416.94,
300245,4,158.93,543.12,
300246,4,526.32,1620.63,
300246,4,23.50,66.80,
300246,3,218.12,526.24,
300246,7,213.00,1100.83,
300246,5,48.78,201.10,
300247,3,401.52,943.34,
300247,6,421.68,2039.07,
300247,3,109.39,234.70,
300247,4,319.41,939.55,
300247,5,341.78,1267.46,
300251,4,40.55,148.70,
300251,5,327.92,1438.27,
300251,5,215.05,992.74,
300251,4,380.52,1411.89,
300251,7,125.43,795.40,
300254,1,42.21,39.28,
300254,4,12.54,46.44,
