invoice_id,customer_id,placed_at_utc,delivery_slot,grand_total,paid_total,declared_items,campaign_ref,order_status
300089,2289,2024-09-20T08:35:40Z,,1717.31,,5,NONE,pending_hold
300091,2289,2024-09-06T14:51:04Z,,7758.35,,11,LUX-R6,pending_hold
300095,2334,2024-09-05T09:32:40Z,,1103.19,,6,RAMADAN-BUNDLE,pending_hold
300098,2334,2024-09-17T11:01:11Z,,5917.2,,6,RAMADAN-BUNDLE,paid
300101,2399,2024-09-04T06:40:29Z,,3647.41,,4,WINTER-FLYER,shipped
300103,2422,2024-09-01T11:58:43Z,,3013.13,,7,LUX-R6,pending_hold
300104,2444,2024-09-16T08:11:52Z,,1374.26,,4,WINTER-FLYER,pending_hold
300108,2565,2024-09-10T08:42:35Z,,1579.74,,2,LUX-R6,paid
300109,2581,2024-09-14T13:34:31Z,,4364.75,4364.75,5,NONE,pending_hold
300110,2581,2024-09-11T09:21:48Z,,1109.86,,4,LUX-R6,shipped
300111,2591,2024-09-27T09:11:06Z,,2791.56,,6,NONE,paid
300113,2630,2024-09-16T09:11:12Z,,3045.15,,5,RAMADAN-BUNDLE,pending_hold
300115,2664,2024-09-25T06:56:46Z,,2439.42,2439.42,6,NONE,shipped
300120,2678,2024-09-03T10:38:18Z,,7654.88,7654.88,10,NONE,canceled
300127,2738,2024-09-12T09:55:46Z,,1740.04,,3,,paid
300130,2760,2024-09-16T09:42:43Z,,1903.05,1903.05,4,RAMADAN-BUNDLE,canceled
300133,2790,2024-09-05T10:29:04Z,,1001.52,1001.52,4,RAMADAN-BUNDLE,canceled
300134,2790,2024-09-26T12:16:52Z,,640.11,,3,LUX-R6,shipped
300137,1021,2024-10-24T07:13:38Z,,4508.72,4508.72,12,NONE,canceled
300139,1029,2024-10-20T12:04:58Z,,5763.97,,6,NONE,paid
300144,1084,2024-10-01T15:29:28Z,,689.33,689.33,4,,paid
300147,1115,2024-10-07T17:29:28Z,,1312.87,1312.87,3,NONE,paid
300156,1227,2024-10-24T10:23:53Z,,1800.42,1800.42,5,,canceled
300158,1243,2024/10/20 12:34,,1388.76,1388.76,4,RAMADAN-BUNDLE,paid
300162,1274,2024/10/11 12:15,,2518.32,2518.32,5,,paid
300165,1288,2024-10-13T09:32:16Z,,2521.37,2521.37,2,WINTER-FLYER,pending_hold
300170,1323,2024-10-16T17:26:36Z,,1996.56,,6,,paid
300173,1333,2024-10-19T12:39:55Z,,1172.89,,3,,pending_hold
300181,1364,2024-10-26T09:56:34Z,,2847.84,2847.84,5,RAMADAN-BUNDLE,canceled
300182,1364,2024-10-28T08:57:24Z,,1930.96,1930.96,7,RAMADAN-BUNDLE,paid
300184,1383,2024-10-20T10:25:48Z,,2978.63,,3,WINTER-FLYER,canceled
300186,1389,2024-10-16T06:54:53Z,,6993.93,,9,WINTER-FLYER,shipped
300188,1394,2024-10-06T07:26:40Z,,2955.37,2955.37,5,,shipped
300198,1449,2024-10-13T12:49:01Z,,6414.82,,5,NONE,canceled
300203,1472,2024-10-10T09:58:21Z,,3208.4,,6,,paid
300211,1513,2024-10-28T09:17:06Z,,2756.74,2756.74,9,NONE,paid
300212,1535,2024-10-17T14:57:03Z,,1711.76,1711.76,7,WINTER-FLYER,paid
300218,1573,2024-10-18T08:25:23Z,,5462.64,5462.64,7,NONE,paid
300225,1609,2024-10-16T07:01:17Z,,4235.51,4235.51,5,WINTER-FLYER,paid
300229,1629,2024-10-26T09:09:27Z,,2297.07,,6,LUX-R6,paid
300230,1629,2024-10-21T06:25:26Z,,2188.83,,4,NONE,paid
300233,1664,2024-10-06T11:44:36Z,,5146.37,,10,NONE,paid
300238,1671,2024-10-02T08:25:36Z,,2353.73,,9,LUX-R6,canceled
300243,1706,2024-10-15T15:05:32Z,,2800.32,,8,RAMADAN-BUNDLE,paid
300250,1813,2024-10-20T08:17:43Z,,1402.44,,6,NONE,pending_hold
300256,1846,2024-10-15T07:25:32Z,,3600.07,3600.07,4,RAMADAN-BUNDLE,pending_hold
300258,1848,2024-10-27T06:41:59Z,,3738.5,,4,RAMADAN-BUNDLE,shipped
300259,1865,2024-10-06T08:51:43Z,,1584.52,,6,RAMADAN-BUNDLE,shipped
300260,1872,2024-10-01T06:55:26Z,,4089.05,4089.05,4,,pending_hold
300264,1903,2024-10-12T13:05:56Z,,1729.48,1729.48,4,NONE,paid
300265,1908,2024-10-24T06:42:43Z,,2692.93,2692.93,5,RAMADAN-BUNDLE,paid
300267,1929,2024-10-25T11:23:23Z,,1414.99,,8,NONE,paid
300269,1938,2024-10-06T16:08:34Z,,2322.15,,6,,paid
300276,1975,2024-10-06T11:46:45Z,,847.8,847.80,4,,paid
300281,2000,2024-10-27T13:59:20Z,,5512.58,,8,NONE,canceled
300290,2036,2024-10-25T11:35:33Z,,3106.17,,8,NONE,pending_hold
300291,2057,2024-10-04T11:07:26Z,,3040.59,3040.59,8,,canceled
300292,2057,2024-10-16T07:29:49Z,,5583.77,5583.77,6,,paid
300294,2094,2024/10/06 08:25,,4179.47,4179.47,4,NONE,canceled
300297,2118,2024-10-10T07:35:41Z,,1875.04,,5,WINTER-FLYER,paid
300306,2183,2024-10-25T14:03:19Z,,4934.36,4934.36,8,NONE,paid
300309,2227,2024-10-28T06:30:07Z,,2262.1,2262.10,8,NONE,pending_hold
300310,2229,2024-10-26T13:07:35Z,,1428.68,1428.68,4,LUX-R6,canceled
300311,2229,2024-10-15T13:46:14Z,,6685.47,,7,NONE,paid
300313,2232,2024-10-09T09:44:30Z,,2720.22,,5,RAMADAN-BUNDLE,canceled
300318,2272,2024-10-10T07:12:28Z,,2187.18,,5,RAMADAN-BUNDLE,shipped
300319,2276,2024-10-26T15:13:36Z,,4548.47,,13,WINTER-FLYER,paid
300322,2333,2024-10-20T07:56:18Z,,6455.55,,15,WINTER-FLYER,canceled
300324,2334,2024-10-08T10:37:00Z,,4462.26,,11,RAMADAN-BUNDLE,paid
300325,2334,2024-10-23T11:52:13Z,,1555.28,1555.28,4,LUX-R6,paid
300326,2334,2024-10-19T08:56:50Z,,2637.6,,6,NONE,pending_hold
300327,2335,2024-10-03T08:36:33Z,,988.87,988.87,2,LUX-R6,paid
300329,2339,2024-10-27T09:01:32Z,,3338.91,3338.91,9,RAMADAN-BUNDLE,shipped
300330,2339,2024-10-18T13:15:14Z,,2690.9,,7,RAMADAN-BUNDLE,paid
300332,2362,2024-10-07T09:32:23Z,,1452.16,1452.16,3,RAMADAN-BUNDLE,paid
300333,2362,2024-10-10T13:01:27Z,,4299.49,,8,NONE,shipped
300334,2369,2024/10/20 08:54,,5024.6,,6,RAMADAN-BUNDLE,pending_hold
300335,2388,2024/10/21 09:57,,99.47,,2,NONE,paid
300343,2468,2024-10-01T11:12:10Z,,5595.11,,11,WINTER-FLYER,canceled
300345,2475,2024-10-16T14:37:00Z,,7122.54,7122.54,14,,shipped
300349,2518,2024-10-12T13:03:24Z,,2921.25,2921.25,9,LUX-R6,paid
300358,2609,2024-10-19T12:57:09Z,,3670.76,,7,LUX-R6,pending_hold
300366,2656,2024-10-05T13:48:21Z,,4074.57,,13,NONE,paid
300368,2662,2024-10-10T09:16:41Z,,4884.78,4884.78,7,RAMADAN-BUNDLE,paid
300369,2668,2024/10/10 15:53,,5164.26,,9,,paid
300373,2693,2024-10-20T09:12:52Z,,4224.93,4224.93,7,NONE,pending_hold
300378,2728,2024-10-03T12:18:03Z,,1192.32,,4,,paid
300386,2752,2024-10-23T07:45:44Z,,3080.77,3080.77,7,,paid
300388,2754,2024-10-22T08:33:45Z,,1440.61,1440.61,5,WINTER-FLYER,paid
300392,2769,2024-10-07T13:44:01Z,,6503.66,,13,NONE,paid
300394,2774,2024-10-15T12:13:05Z,,6209.62,,10,LUX-R6,pending_hold
300404,1019,2024-11-16T11:41:20Z,,1646.51,,3,NONE,paid
300408,1021,2024-11-03T07:03:58Z,,6192.04,,7,LUX-R6,shipped
300409,1021,2024/11/25 14:07,,3875.29,3875.29,9,NONE,paid
300431,1165,2024-11-18T13:59:39Z,,519.12,,2,RAMADAN-BUNDLE,paid
300434,1175,2024-11-17T14:50:53Z,,4100.8,,5,WINTER-FLYER,paid
300435,1175,2024-11-05T12:22:47Z,,2879.89,2879.89,7,,pending_hold
300438,1180,2024-11-21T06:24:02Z,,3419.73,3419.73,9,NONE,paid
300439,1181,2024/11/12 08:34,,4720.11,,10,NONE,paid
300441,1181,2024-11-05T08:45:25Z,,3511.12,,6,WINTER-FLYER,paid
300447,1206,2024/11/05 13:39,,2630.04,,3,,paid
300451,1228,2024-11-22T10:48:14Z,,2467.82,2467.82,4,LUX-R6,shipped
300460,1288,2024-11-06T10:44:42Z,,3367.33,3367.33,5,NONE,pending_hold
300461,1288,2024-11-06T13:40:26Z,,2439.39,2439.39,6,NONE,paid
300465,1306,2024-11-28T08:28:27Z,,2445.73,2445.73,4,NONE,paid
300474,1349,2024-11-14T09:37:05Z,,2190.52,,6,LUX-R6,shipped
300478,1383,2024/11/03 11:06,,4298.27,,7,NONE,paid
300479,1383,2024-11-11T13:33:44Z,,6071.04,,6,NONE,paid
300484,1411,2024-11-14T10:36:14Z,,3268.99,,9,,paid
300486,1419,2024-11-20T09:41:49Z,,4784.68,,11,LUX-R6,pending_hold
300489,1426,2024-11-12T09:17:54Z,,7704.8,,10,RAMADAN-BUNDLE,canceled
300495,1433,2024-11-05T12:25:27Z,,7286.6,,15,NONE,paid
300497,1433,2024-11-07T06:36:16Z,,1941.87,1941.87,8,WINTER-FLYER,paid
300498,1444,2024-11-16T10:14:56Z,,6386.78,,10,NONE,canceled
300499,1444,2024-11-24T09:23:23Z,,1709.28,,5,WINTER-FLYER,paid
300520,1563,2024-11-24T17:04:21Z,,3575.92,,5,NONE,pending_hold
300523,1564,2024-11-18T15:32:48Z,,4381.46,,11,NONE,paid
300526,1599,2024-11-24T10:51:56Z,,4249.24,,8,WINTER-FLYER,paid
300529,1599,2024-11-18T08:16:46Z,,4994.3,,8,LUX-R6,paid
300534,1620,2024/11/03 15:50,,909.73,909.73,4,,paid
300535,1620,2024-11-03T13:51:30Z,,5373.16,,9,WINTER-FLYER,paid
300539,1624,2024-11-17T09:21:24Z,,4316.79,,7,LUX-R6,pending_hold
300543,1671,2024-11-20T09:56:38Z,,4541.74,4541.74,7,,pending_hold
300545,1688,2024-11-07T10:39:11Z,,1313.21,1313.21,6,NONE,paid
300548,1699,2024-11-06T06:26:11Z,,1375.06,,4,RAMADAN-BUNDLE,shipped
300549,1702,2024-11-24T09:57:23Z,,5051.23,,8,,paid
300550,1702,2024/11/08 13:20,,959.77,959.77,7,WINTER-FLYER,paid
300552,1706,2024-11-21T09:27:31Z,,4269.91,,9,RAMADAN-BUNDLE,canceled
300556,1708,2024-11-09T10:13:28Z,,1759.57,1759.57,8,RAMADAN-BUNDLE,shipped
300558,1710,2024-11-16T14:50:04Z,,3839.52,3839.52,6,RAMADAN-BUNDLE,paid
300560,1711,2024-11-17T10:43:31Z,,2202.39,,6,NONE,pending_hold
300566,1756,2024-11-22T10:39:18Z,,1719.44,,8,NONE,paid
300572,1794,2024-11-27T11:52:09Z,,855.14,855.14,2,WINTER-FLYER,paid
300575,1817,2024-11-27T11:56:54Z,,5019.2,5019.20,5,NONE,shipped
300580,1851,2024-11-14T06:25:02Z,,3180.79,,8,WINTER-FLYER,paid
300582,1851,2024-11-17T10:28:45Z,,6578.58,6578.58,14,RAMADAN-BUNDLE,paid
300584,1856,2024-11-19T06:29:00Z,,2182.45,,5,NONE,paid
300587,1882,2024-11-11T11:10:05Z,,3937.37,,7,WINTER-FLYER,pending_hold
300592,1893,2024-11-06T06:29:53Z,,2802.05,2802.05,7,LUX-R6,paid
300595,1908,2024-11-01T11:30:04Z,,1309.36,,4,NONE,shipped
300596,1908,2024-11-16T11:25:02Z,,5308.17,,11,RAMADAN-BUNDLE,canceled
300597,1914,2024-11-09T11:40:12Z,,1732.64,1732.64,5,NONE,paid
300600,1915,2024-11-05T08:14:11Z,,6074.25,6074.25,5,NONE,paid
300602,1920,2024-11-18T09:31:35Z,,6380.02,,9,,shipped
300603,1929,2024-11-13T09:10:39Z,,2573.13,,8,,pending_hold
300606,1938,2024-11-03T14:38:31Z,,10162.6,,13,,paid
300608,1944,2024-11-15T08:43:38Z,,1935.1,,7,,paid
300611,1956,2024-11-22T09:15:30Z,,7349.66,,13,RAMADAN-BUNDLE,paid
300612,1957,2024-11-06T13:20:17Z,,1025.66,1025.66,3,LUX-R6,pending_hold
300615,1970,2024-11-18T06:07:10Z,,3075.21,,8,WINTER-FLYER,shipped
300616,1989,2024-11-11T14:06:43Z,,4673.0,4673.00,13,WINTER-FLYER,paid
300618,1989,2024-11-24T11:24:25Z,,3414.48,,8,NONE,paid
300631,2050,2024-11-23T09:06:38Z,,3282.81,3282.81,4,,shipped
300632,2057,2024-11-28T10:49:48Z,,4308.27,4308.27,8,NONE,shipped
300636,2078,2024-11-06T06:42:59Z,,7435.71,7435.71,11,NONE,pending_hold
300650,2178,2024-11-15T11:53:53Z,,4084.57,4084.57,6,,paid
300651,2180,2024-11-26T13:02:04Z,,6595.85,,9,NONE,shipped
300654,2180,2024-11-07T12:52:48Z,,5273.4,,10,WINTER-FLYER,pending_hold
300655,2180,2024-11-13T12:55:42Z,,1599.87,,6,RAMADAN-BUNDLE,paid
300656,2180,2024-11-14T12:46:10Z,,2675.87,2675.87,7,NONE,paid
300658,2183,2024-11-20T10:07:57Z,,3016.04,,3,,pending_hold
300659,2200,2024-11-09T13:53:11Z,,3771.93,3771.93,6,,paid
300664,2225,2024-11-04T09:19:40Z,,2208.06,,5,,paid
300669,2265,2024-11-22T07:10:56Z,,5121.35,5121.35,8,NONE,paid
300670,2270,2024-11-27T06:54:56Z,,4687.73,4687.73,10,RAMADAN-BUNDLE,canceled
300672,2270,2024-11-09T06:24:02Z,,1692.05,1692.05,4,NONE,pending_hold
300675,2274,2024-11-26T11:01:51Z,,3909.6,3909.60,15,WINTER-FLYER,paid
300681,2308,2024-11-19T11:26:46Z,,960.11,960.11,2,WINTER-FLYER,pending_hold
300688,2327,2024-11-05T08:03:18Z,,2037.82,,6,NONE,pending_hold
300693,2334,2024-11-08T09:11:27Z,,4459.9,4459.90,8,WINTER-FLYER,paid
300697,2362,2024-11-01T13:46:15Z,,650.28,,4,,shipped
300699,2362,2024-11-04T09:31:59Z,,3230.66,3230.66,6,WINTER-FLYER,paid
300700,2362,2024-11-03T09:36:20Z,,6838.43,6838.43,7,NONE,paid
300703,2375,2024-11-24T06:58:47Z,,2089.63,2089.63,6,WINTER-FLYER,shipped
300704,2378,2024-11-24T07:53:47Z,,326.82,326.82,5,NONE,pending_hold
300708,2387,2024-11-03T11:27:12Z,,2852.33,2852.33,5,WINTER-FLYER,paid
300709,2388,2024-11-28T06:11:39Z,,2120.68,2120.68,5,NONE,pending_hold
300712,2399,2024-11-16T06:25:31Z,,7687.13,7687.13,11,RAMADAN-BUNDLE,canceled
300714,2399,2024/11/28 12:13,,2257.87,2257.87,4,WINTER-FLYER,canceled
300717,2400,2024-11-09T12:05:38Z,,3348.65,,8,,paid
300718,2408,2024-11-23T07:58:49Z,,1963.74,1963.74,5,WINTER-FLYER,paid
300723,2426,2024-11-03T11:25:20Z,,2225.19,,6,NONE,pending_hold
300727,2442,2024-11-24T12:50:37Z,,3628.39,,4,RAMADAN-BUNDLE,pending_hold
300728,2444,2024-11-18T12:50:19Z,,1364.47,,4,NONE,paid
300735,2508,2024-11-24T08:25:17Z,,5907.96,,6,LUX-R6,pending_hold
300751,2554,2024-11-04T10:46:41Z,,1151.99,1151.99,7,,paid
300752,2554,2024/11/03 14:12,,4855.45,4855.45,9,WINTER-FLYER,shipped
300753,2562,2024-11-14T09:46:57Z,,7319.41,,11,RAMADAN-BUNDLE,paid
300756,2565,2024-11-03T08:11:49Z,,509.46,,4,,shipped
300758,2568,2024-11-12T12:25:28Z,,1692.68,1692.68,4,LUX-R6,canceled
300759,2568,2024-11-03T08:25:20Z,,3411.74,,7,LUX-R6,canceled
300767,2606,2024-11-07T12:42:28Z,,3282.12,3282.12,6,RAMADAN-BUNDLE,pending_hold
300768,2609,2024-11-18T12:52:44Z,,5600.25,,5,NONE,paid
300770,2609,2024-11-21T13:41:54Z,,1371.26,1371.26,4,WINTER-FLYER,canceled
300775,2638,2024-11-13T12:51:21Z,,5708.35,5708.35,9,,pending_hold
300776,2638,2024-11-07T09:10:43Z,,2937.49,2937.49,7,LUX-R6,pending_hold
300778,2649,2024-11-28T11:23:41Z,,7505.56,,9,NONE,paid
300780,2654,2024-11-11T12:34:45Z,,4468.33,,13,LUX-R6,canceled
300783,2656,2024-11-09T10:53:28Z,,3243.11,3243.11,6,WINTER-FLYER,shipped
300784,2656,2024-11-04T09:34:27Z,,4070.93,,5,LUX-R6,shipped
300791,2678,2024-11-02T12:52:29Z,,2399.53,,5,NONE,shipped
300792,2678,2024-11-07T12:04:12Z,,6127.15,,9,NONE,shipped
300795,2683,2024-11-01T14:52:55Z,,2690.2,,3,RAMADAN-BUNDLE,paid
300797,2693,2024-11-17T14:00:36Z,,1175.35,,4,NONE,pending_hold
300803,2709,2024-11-18T14:34:08Z,,5720.22,5720.22,11,WINTER-FLYER,paid
300808,2747,2024-11-08T09:50:43Z,,6019.83,6019.83,12,NONE,paid
300809,2747,2024/11/10 11:26,,5314.04,5314.04,9,,paid
300813,2752,2024-11-13T09:44:33Z,,5122.24,5122.24,10,NONE,paid
300820,2765,2024-11-07T12:08:38Z,,6214.87,6214.87,10,WINTER-FLYER,pending_hold
300822,2769,2024-11-21T09:16:06Z,,2714.92,,5,NONE,pending_hold
300824,2772,2024-11-23T06:03:40Z,,2954.68,2954.68,5,WINTER-FLYER,paid
300826,2783,2024-11-17T08:42:32Z,,3903.24,,6,NONE,paid
300829,2784,2024-11-03T12:15:59Z,,3158.17,3158.17,4,WINTER-FLYER,pending_hold
300830,2784,2024-11-27T10:27:07Z,,5980.06,5980.06,7,NONE,paid
300841,1029,2024-12-21T07:59:39Z,,1954.66,,5,RAMADAN-BUNDLE,paid
300845,1041,2024/12/28 12:53,,1892.72,1892.72,4,WINTER-FLYER,paid
300846,1049,2024/12/19 14:39,,3222.1,,8,NONE,paid
300851,1059,2024-12-07T08:21:25Z,,4863.64,,6,RAMADAN-BUNDLE,shipped
300853,1062,2024-12-28T07:55:15Z,,1266.19,1266.19,2,RAMADAN-BUNDLE,shipped
300860,1084,2024-12-28T11:22:29Z,,5434.24,,8,,paid
300865,1102,2024-12-17T08:07:16Z,,8053.7,8053.70,11,WINTER-FLYER,shipped
300870,1106,2024-12-15T08:40:48Z,,3302.96,3302.96,7,NONE,paid
300876,1135,2024-12-07T06:40:14Z,,1349.58,,6,NONE,paid
300879,1138,2024-12-17T07:57:48Z,,2186.28,,8,WINTER-FLYER,paid
300880,1144,2024-12-06T13:38:03Z,,1112.9,1112.90,3,WINTER-FLYER,pending_hold
300883,1144,2024-12-07T12:23:30Z,,3361.79,,8,WINTER-FLYER,paid
300886,1159,2024-12-13T17:08:18Z,,6719.86,6719.86,10,RAMADAN-BUNDLE,paid
300892,1178,2024-12-23T08:27:46Z,,2710.37,2710.37,6,WINTER-FLYER,canceled
300895,1178,2024-12-09T07:40:03Z,,5695.83,,11,WINTER-FLYER,paid
300898,1183,2024-12-18T10:55:07Z,,5827.11,5827.11,11,,canceled
300899,1183,2024-12-05T06:04:52Z,,5954.88,,9,RAMADAN-BUNDLE,paid
300901,1187,2024-12-11T14:47:26Z,,1422.18,1422.18,5,NONE,paid
300902,1187,2024-12-19T12:32:57Z,,4332.44,4332.44,12,NONE,paid
300910,1213,2024/12/28 14:50,,4152.21,4152.21,5,,paid
300916,1227,2024-12-06T11:02:46Z,,1081.01,1081.01,4,LUX-R6,paid
300919,1227,2024-12-19T06:55:46Z,,2735.77,,4,NONE,shipped
300924,1228,2024/12/08 16:04,,1351.26,1351.26,6,RAMADAN-BUNDLE,shipped
300926,1229,2024-12-15T06:33:08Z,,3692.72,,5,NONE,paid
300929,1230,2024-12-27T13:24:01Z,,619.27,,2,LUX-R6,paid
300931,1230,2024-12-01T13:15:24Z,,4428.51,4428.51,10,RAMADAN-BUNDLE,paid
300936,1263,2024-12-06T10:05:32Z,,2578.39,2578.39,4,,paid
300937,1263,2024-12-14T09:47:57Z,,1413.45,,3,NONE,paid
300942,1278,2024-12-18T06:32:21Z,,3042.27,,6,,paid
300945,1288,2024-12-11T16:32:40Z,,3319.78,3319.78,7,LUX-R6,canceled
300946,1288,2024-12-16T09:32:30Z,,1786.17,,3,LUX-R6,canceled
300947,1289,2024-12-24T09:24:49Z,,7565.17,,11,RAMADAN-BUNDLE,shipped
300949,1297,2024-12-15T10:04:36Z,,2766.61,,6,NONE,paid
300951,1305,2024-12-07T15:18:03Z,,4577.81,,15,RAMADAN-BUNDLE,paid
300954,1315,2024-12-12T12:00:26Z,,1371.81,,8,NONE,shipped
300956,1317,2024-12-08T10:47:29Z,,3850.87,,11,RAMADAN-BUNDLE,canceled
300957,1317,2024-12-18T12:33:48Z,,5405.38,,2,NONE,pending_hold
300962,1322,2024-12-12T15:36:33Z,,3583.54,3583.54,6,,paid
300965,1322,2024-12-24T10:40:39Z,,1655.18,,4,RAMADAN-BUNDLE,pending_hold
300967,1323,2024-12-11T08:20:01Z,,2295.82,2295.82,7,WINTER-FLYER,shipped
300968,1324,2024-12-04T06:48:58Z,,5018.07,,10,RAMADAN-BUNDLE,shipped
300969,1324,2024-12-09T17:12:01Z,,8757.17,8757.17,14,RAMADAN-BUNDLE,canceled
300971,1335,2024-12-02T13:34:30Z,,7284.98,,10,NONE,pending_hold
300979,1364,2024-12-22T17:56:00Z,,8987.4,,12,WINTER-FLYER,pending_hold
300981,1368,2024-12-21T10:19:08Z,,7721.72,,10,NONE,paid
300983,1370,2024-12-24T12:59:17Z,,2777.05,2777.05,9,,paid
300987,1383,2024-12-22T08:10:03Z,,4698.95,,15,WINTER-FLYER,pending_hold
300990,1394,2024-12-08T11:53:34Z,,3273.81,,8,WINTER-FLYER,shipped
300992,1413,2024-12-18T10:52:05Z,,3527.45,3527.45,5,LUX-R6,paid
300994,1418,2024/12/21 12:03,,7250.45,,11,,paid
300998,1427,2024-12-22T06:02:57Z,,10328.49,10328.49,14,RAMADAN-BUNDLE,paid
300999,1444,2024-12-23T07:25:07Z,,2805.29,,4,WINTER-FLYER,paid
301003,1449,2024-12-09T09:33:24Z,,1445.07,,5,NONE,shipped
301008,1457,2024-12-25T07:04:08Z,,5300.62,,7,,shipped
301009,1458,2024-12-23T10:52:52Z,,4246.85,4246.85,4,,pending_hold
301014,1472,2024-12-05T13:02:39Z,,2982.56,2982.56,7,WINTER-FLYER,paid
301020,1483,2024-12-19T12:48:05Z,,8080.29,,11,NONE,paid
301023,1498,2024-12-03T11:37:03Z,,814.01,814.01,2,RAMADAN-BUNDLE,shipped
301026,1513,2024-12-25T09:08:34Z,,3804.98,,4,,paid
301028,1538,2024-12-11T12:53:32Z,,1180.76,1180.76,6,LUX-R6,pending_hold
301029,1538,2024-12-23T11:58:13Z,,1426.17,1426.17,6,RAMADAN-BUNDLE,paid
301033,1551,2024-12-21T06:55:28Z,,3140.71,3140.71,8,WINTER-FLYER,pending_hold
301038,1565,2024-12-18T10:16:44Z,,1208.55,1208.55,6,,paid
301039,1571,2024-12-25T13:05:23Z,,3290.27,,5,RAMADAN-BUNDLE,shipped
301041,1573,2024-12-26T13:24:37Z,,3744.37,3744.37,9,,paid
301044,1577,2024-12-19T08:13:45Z,,1640.28,,2,RAMADAN-BUNDLE,paid
301053,1610,2024-12-26T13:54:53Z,,2571.9,,4,RAMADAN-BUNDLE,paid
301055,1614,2024-12-26T06:58:00Z,,2921.03,,8,,canceled
301057,1616,2024-12-16T10:47:48Z,,5312.59,5312.59,6,WINTER-FLYER,shipped
301061,1621,2024-12-27T13:53:19Z,,1009.52,1009.52,4,NONE,paid
301068,1637,2024-12-15T13:24:36Z,,2780.16,,9,WINTER-FLYER,pending_hold
301072,1651,2024/12/08 08:30,,4045.39,4045.39,5,WINTER-FLYER,shipped
301076,1672,2024-12-16T14:39:52Z,,3187.64,,5,WINTER-FLYER,paid
301077,1673,2024-12-05T15:57:20Z,,6030.65,,8,RAMADAN-BUNDLE,paid
301078,1675,2024-12-14T12:34:26Z,,862.33,,2,,shipped
301079,1675,2024-12-26T10:36:38Z,,2296.66,,7,NONE,canceled
301080,1675,2024-12-14T15:28:12Z,,2051.04,,8,LUX-R6,canceled
301086,1688,2024-12-09T14:50:05Z,,1317.62,,4,,canceled
301089,1706,2024-12-18T08:54:53Z,,1166.62,,5,NONE,shipped
301096,1720,2024/12/18 13:41,,3284.7,3284.70,5,,paid
301098,1733,2024-12-28T12:06:49Z,,2969.89,,4,NONE,canceled
301099,1733,2024-12-20T12:32:36Z,,1897.51,1897.51,2,LUX-R6,shipped
301100,1736,2024-12-18T07:40:17Z,,3028.68,3028.68,7,WINTER-FLYER,shipped
301102,1750,2024-12-23T06:43:32Z,,5922.99,,10,RAMADAN-BUNDLE,paid
301104,1756,2024-12-22T12:24:06Z,,6345.95,,7,NONE,pending_hold
301106,1762,2024-12-20T10:53:41Z,,3524.18,,8,WINTER-FLYER,shipped
301108,1767,2024-12-05T13:00:08Z,,1907.68,1907.68,5,LUX-R6,shipped
301115,1788,2024-12-27T10:51:26Z,,5522.5,,5,,shipped
301118,1788,2024-12-02T11:47:44Z,,3098.83,3098.83,4,NONE,canceled
