alias_id,account_name,branch_id,supplier_code
A50075,Ph/BETTER LIFE OBOUR (2),703,1
A50076,Ph/better life obour Mall,708,1
A50077,El-BETTER LIFE OBOUR,708,1
A50078,BETTER LIFE OBOUR792,719,3
A50079,El-better life obour Main Road357,738,3
A50080,Better Life Obour,739,1
A50081,better lie obour 04,740,2
A50082,el Better Life Obour Branch 2,740,2
A50083,Better Life Obour 011,752,4
A50084,BETTER LIFE OBOUR-A,752,4
A50085,EL ZAHRAA SMOUHA Station St.,703,2
A50086,el zahraa smouha Branch 1,703,2
A50087,PY/EL ZAHRAA SMOUHA,704,1
A50088,Ph/EL ZAHRAA SMOUHA 04,704,1
A50089,el El Zahraa Smouha-A,729,1
A50090,El Zahraa Smouha (2),729,1
A50091,Ph/el zahraa smouha,743,1
A50092,PH El Zahraa Smouha Station St.,743,1
A50093,EL ZAHRAA SMOUHA 011,764,1
A50094,el zahraa smouha 6th Zone,764,1
A50095,PY/GOLDEN CARE SMOUHA Branch 2,754,2
A50096,golden care smouha 6th Zone854,761,2
A50097,Ph/Golden Care Smouha Mall,763,2
A50098,metro smouha 6th Zone,719,4
A50099,el METRO SMOUHA,771,1
A50100,EL Metro Smouha br.2,775,1
A50101,PY/union pharm rehab view,709,1
A50102,PH Union Pharm Rehab View-A,757,1
A50103,Union Pharm Rehab iVew Branch 2,757,1
A50104,union pharm rehab view Branch 2,770,1
A50105,Omega Smouha (2)13,711,4
A50106,El-Omega Smouha Station St.,711,4
A50107,PH Omega Smouha Branch 1,733,2
A50108,PH Omega Smouha br.2976,753,1
A50109,omega smouha Station St.,760,1
A50110,EL mega Smouha Station St.,761,3
A50111,Ph/OMEGA SMOUHA Main Road,761,3
A50112,OMEGA SMOUHA Station St.,767,2
A50113,el Omega Smouha367,768,3
A50114,el omega smouha 04,773,2
A50115,PH al nozha msouha,708,2
A50116,PH Al Nozha Smouha Mall,708,2
A50117,PY/al nozha smouha,710,2
A50118,PH A lNozha Smouha Branch 2,710,2
A50119,El-al nozha smouha Main Road,739,2
A50120,PH Al Nozha Smouha 011,739,2
A50121,AL NOZHA SMOUHA Station St.,753,2
A50122,Ph/AL NOZHA SMOUHA,753,2
A50123,PH Al Nozha Smouha (2)769,754,3
A50124,PY/Al Nozha Smouha Station St.,754,3
A50125,AL NOZHA SMOUHA 04,770,2
A50126,el zahraa maadi-A,702,3
A50127,EL ZAHRAA MAADI br.2,702,3
A50128,EL el zahraa maadi br.2666,712,1
A50129,El-El Zahraa Maadi Mall,715,1
A50130,El Zahraa Maadi Main Road,731,1
A50131,EL el zahraa maadi,748,2
A50132,el El Zahraa Maadi Main Road,754,4
A50133,Ph/EL AZHRAA MAADI Branch 1,755,2
A50134,Ph/EL ZAHRAA MAADI Mall869,755,2
A50135,El-el zahraa maadi Branch 1,764,2
A50136,EL Metro Agami br.2,740,3
A50137,El-Metro Agami,740,3
A50138,PH Metro Agami 6th Zone,741,1
A50139,PH metro agami Mall,742,1
A50140,el METRO AGAMI Branch 1513,742,1
A50141,el metro agami 04,776,1
A50142,Care24 Seven,704,2
A50143,EL CARE 24 SEVEN231,713,2
A50144,care 24 seven (2),716,2
A50145,el Care 24 Seven Branch 1,716,2
A50146,PY/care 24 seven br.2,721,2
A50147,el Care 24 Seven-A,721,2
A50148,El-CARE 24 SEVEN Main Road,725,2
A50149,el Care 24 Seven Station St.,730,1
A50150,PY/CARE 24 SEVEN Main Road953,730,1
A50151,Care 24 Seven 04,763,3
A50152,el omega Station St.,727,1
A50153,omega Station St.,734,2
A50154,El-Omega br.2,734,2
A50155,EL omega Branch 2565,735,3
A50156,OMEGA,760,2
A50157,PY/EL NASR MARG740,723,1
A50158,El Nasr Marg Main Road,757,2
A50159,PH el nasr marg 6th Znoe952,757,2
A50160,EL NASR MARG Branch 2,765,1
A50161,Ph/El Nasr Marg br.2,777,2
A50162,PH EL ZAHRAA SMOUHA 011,715,2
A50163,el zahraa smouha (2),721,3
A50164,El Zahraa Smouha br.2,721,3
A50165,EL ZAHRAA SMOUHA 04,723,2
A50166,EL ZAHRAA SMOUHA,740,4
A50167,El Zahraa Smouha,740,4
A50168,El-el zahraa smouha br.2,749,2
A50169,EL ZAHRAA SMOUHA 6th one582,749,2
A50170,El Zahraa Smouha Main Road186,751,1
A50171,EL Al Amal-A,722,1
A50172,Al Amal Main Road,731,2
A50173,AL AMLA Main Road502,734,3
A50174,AL AMAL Main Road,748,3
A50175,Ph/AL AMAL 6th Zone,774,2
A50176,El-Al Amal br.2939,774,2
A50177,PH care 24 seven br.2,700,1
A50178,PY/Care 24 Seven Branch 2,700,1
A50179,Care 24 Seven 011457,740,5
A50180,Ph/care 24 seven Branch 2,740,5
A50181,Care 24 Seven-A,745,1
A50182,el Care 24 Seven (2)645,775,2
A50183,Ph/Elite Branch 1330,726,1
A50184,PY/Elite898,727,2
A50185,EL elite773,733,3
A50186,el Elite-A,758,2
A50187,PY/Elite 6th Zone,758,2
A50188,El-HOPE SMOUHA-A,714,1
A50189,HOPE SMOUHA 6th Zone,714,1
A50190,PY/hope smouha,715,3
A50191,EL Hope Smouha 6th Zone,717,1
A50192,Ph/HOPE SMOUHA,753,3
A50193,Hope Smuha 6th Zone,753,3
A50194,PY/HOPE SMUHA,762,2
A50195,Ph/Hope Smouha 04,777,3
A50196,EL Hope Smouha 6th Zone,777,3
A50197,Ph/El Tourath br.2,714,2
A50198,El Tourath Branch 1929,714,2
A50199,El Tourath,718,1
A50200,Ph/el tourath 6h Zone,729,2
A50201,PY/El Tourath,751,2
A50202,El-EL TOURATH Main Road,756,2
A50203,PH el tourath 04,767,3
A50204,el el tourath Branch 2,767,3
A50205,el el tourath Station St.,771,2
A50206,EL Health Gate-A,724,3
A50207,el Health Gate 6th Zone,724,3
A50208,Health Gate Mall,734,4
A50209,EL Health Gate,734,4
A50210,PY/HEALTH GATE Branch 2,758,3
A50211,El-Health Gate,771,3
A50212,el Healthh Gate (2)283,776,2
A50213,Health Gate 6th Zoone733,776,2
A50214,HEALTH GATE Branch 2,777,4
A50215,Ph/HEALTH GATE 04,777,4
A50216,el Al Nozha Smouha Station St.,743,2
A50217,el AL NOZHA SMOUHA th Zone,743,2
A50218,EL Al Nozha Smouha688,766,1
A50219,Al Nozha Smouha Branch 2,768,4
A50220,El-AL NOZHA SMOUHA Mall,773,3
A50221,Al Nozha Smouha,773,3
A50222,El-AL NOZHA SMOUHA786,777,5
A50223,Al Noza Smouha,777,5
A50224,el Blue Wave Smouha163,702,4
A50225,el Blue Wave Smouha Mai nRoad,702,4
A50226,BLUE WAVE SMOUHA,706,3
A50227,EL blue wave smouha (2),708,3
A50228,Ph/BLUE WAVE SMOUHA Braanch 2,728,1
A50229,el Blue Wave Smouha,728,1
A50230,blue wave smouha Branch 1,747,3
A50231,PH Blue Wave Smouha br.2,749,3
A50232,el BLUE WAVE SMOUHA,749,3
A50233,OMEGA,709,2
A50234,El-Omega 011,709,2
A50235,Omega 04,715,4
A50236,omega Station St.,719,5
A50237,PH Omega (2)596,724,4
A50238,PH omega,767,4
A50239,Ph/OMEGA 04,772,1
A50240,el oega,772,1
A50241,Silver Care 04,713,3
A50242,PH SILVER CARE,713,3
A50243,El-sillver care Mall,721,4
A50244,Ph/Silver Care Main Road,721,4
A50245,El-Silver Care Mall,722,2
A50246,PH Silver Care Main Road,722,2
A50247,EL Silver Carre 04,745,2
A50248,PH SILVER CARE Brach 1,757,3
A50249,Silver Care,757,3
A50250,PY/silver care br.2305,777,6
A50251,PY/silver crae,777,6
A50252,Blue Wave Banha,712,2
A50253,PH BLUE WAVE BANHA 04916,712,2
A50254,El-Blue Wave Banha-A,733,4
A50255,el Blue Wave Banha Station SSt.,747,4
A50256,Ph/Blue Wave Banha 04,747,4
A50257,BLUE WAVE BANHA Station St.,750,1
A50258,BLUE WAVE BANHA Mall,758,4
A50259,El-BLUE WAVE BANHA 011,758,4
A50260,Ph/Ell Shifa (2),728,2
A50261,El Shifa br.2,728,2
A50262,Ph/EL SHIFA 6th Zone,743,3
A50263,EL SHIFA 04,743,3
A50264,El hSifa,756,3
A50265,El-el shifa (2),756,3
A50266,al nozha-A,724,5
A50267,Al Nozha 6th Zone,735,4
A50268,Al Nozha br.2,737,1
A50269,PY/Al Nozha ain Road,737,1
A50270,al nozha br.2,738,4
A50271,Ph/Al Nozha Main Road,745,3
A50272,al nozha Brnch 2,758,5
A50273,PH Al Nozha 011,758,5
A50274,PY/AL NOZHA-A,769,1
A50275,EL al nozha 04,769,1
A50276,PH Al Nozha Station St.670,777,7
A50277,Ph/El Zahraa-A,700,2
A50278,PH Ell Zahraa 6th Zone,702,5
A50279,EL ZAHRAA 04,702,5
A50280,el El Zahraa-A,705,1
A50281,El Zahraa,705,1
A50282,El Zahraa 04,741,2
A50283,Ph/el zahraa Station St.,742,2
A50284,El Zahraa Mall,742,2
A50285,El-E lZahraa (2),757,4
A50286,PH El Zahraa 011465,762,3
A50287,EL El Zahraa 04,762,3
A50288,EL el ahraa,777,8
A50289,EL El Zahraaa (2),777,8
A50290,PH Star Care,709,3
A50291,star care,718,2
A50292,Ph/Star Care Branch 2,718,2
A50293,El-STAR CARE Branch 1,743,4
A50294,El-star care Station St.,743,4
A50295,el star ccare,748,4
A50296,PY/Star Care Station St.,753,4
A50297,el Star Care 04,753,4
A50298,PH STAR CARE,760,3
A50299,PH Star Care-A,760,3
A50300,Seha First Smouha,707,2
A50301,PH Seha First Smouha,707,2
A50302,el Seha First Smouha Branch 2,709,4
A50303,el SEHA FIRST SMOUHA,709,4
A50304,seha first smouha br.2,712,3
A50305,Seha First Smouha Mall,732,2
A50306,el seha first smouha Mall,743,5
A50307,EL Seeha First Smouha Station St.409,749,4
A50308,El-Seha First Smouha 011,749,4
A50309,Ph/UNION PHARM NOZHA Branch 2,701,1
A50310,PY/Union Pharm Nozha,737,2
A50311,Unio nPharm Nozha 6th Zone,737,2
A50312,UNION PHARM NOZHA,738,5
A50313,El-UNIONN PHARM NOZHA 04,740,6
A50314,union pharm nozha,740,6
A50315,PY/UNION PHARM NOZHA (2),754,5
A50316,EL Union Pharm Nozha 04821,761,4
A50317,PH union pharm nozha Branch 1,769,2
A50318,Union Pharm Nozha Branch 1,769,2
A50319,Ph/pharma plus imbaba,757,5
A50320,El-PHARMA PLUS IMBABA-A,757,5
A50321,EL pharma plsu imbaba,758,6
A50322,PY/Pharma Plus Imbaba Branch 2,758,6
A50323,Pharma Plus Imbaba Branch 2,762,4
A50324,EL Pharma Plus Imbaba 6th Zone,771,4
A50325,El-Elite,703,3
A50326,ELITE 04,742,3
A50327,EL Elite,742,3
A50328,EL Elite Branch 1,743,6
A50329,PY/eliteB ranch 1908,743,6
A50330,PY/Elite Station St.,766,2
A50331,elite,766,2
A50332,El-Elite 6th Zone,769,3
A50333,Ph/eelite,771,5
A50334,EL ELITE Branch 2,775,3
A50335,Ph/elite 6th Zone,775,3
A50336,PY/elite Main Road,777,9
A50337,Ph/elite (2),777,9
A50338,PY/SEHA FIRST OBOUR 04,705,2
A50339,El-Seha First Obour,705,2
A50340,seha first obur,733,5
A50341,seha first obour Main Road,733,5
A50342,Ph/SEHA FIRST OBOUR (2),755,3
A50343,seha first obour Main Road,755,3
A50344,FAMILY-A,722,3
A50345,Family Branch 2,744,2
A50346,PH Family ((2),744,2
A50347,el Family 04,745,4
A50348,El-FAMILY 6th Zone,745,4
A50349,El-mira maadi 04,713,4
A50350,PY/mira mmaadi Main Road,718,3
A50351,EL Mira Maadi Mall,770,3
A50352,EL hope Branch 1,729,3
A50353,el hope 6th Zone,729,3
A50354,EL Hope,746,1
A50355,PY/Hope (2)311,777,10
A50356,Hope Branch 2,777,10
A50357,el silver care smouha,702,6
A50358,Silver Care Smouha 04678,702,6
A50359,PH Silver Care Smouha 011,716,3
A50360,el Silver Care Smouha Branch 1,716,3
A50361,PY/SILVER CARE SMOUHA Station St.,741,3
A50362,PY/Silver Care Smouha,747,5
A50363,SILVER CARE SMOUHA,747,5
A50364,PY/Silver Care Smouha,751,3
A50365,PH Silver Care Smouha Main Road,767,5
A50366,silver care smouha br.2,767,5
A50367,Alpha Pharma (2),700,3
A50368,Ph/Alpha Pharma93,700,3
A50369,El-alpha pharma Station St.,754,6
A50370,EL ALPHA PHARMA (2),754,6
A50371,PH Alpha Phrma Mall,775,4
A50372,alpha pharma br.2,775,4
A50373,star care square Main Road,710,3
A50374,star care square Main Road,715,5
A50375,EL Star Care Square Branch 1,732,3
A50376,Star Care Square Station St.,732,3
A50377,Star Care Square 04,748,5
A50378,PY/Star Care Square 011,751,4
A50379,Star Care Square-A,769,4
A50380,Star Care Square 011,772,2
A50381,el star care square,772,2
A50382,el METRO OCT CITY 011,701,2
A50383,EL METRO OCT CITY Station St.,701,2
A50384,Metro Octt City 011,704,3
A50385,el Metr oOct City (2),719,6
A50386,Meto Oct City Mall,719,6
A50387,el metro oct city (2),735,5
A50388,EL Metro Oct City 011601,775,5
A50389,PYMetro Oct City-A,775,5
A50390,El-all amal,752,5
A50391,AL AMAL-A,762,5
A50392,AL AMAL 04,769,5
A50393,Ph/Al Ammal834,769,5
A50394,El-al aamal Branch 1,776,3
A50395,El-El Shifa Smouha-A,719,7
A50396,el El Shifa Smouha Mall,719,7
A50397,Ph/el shia smouha (2),750,2
A50398,El Shifa Smouha,758,7
A50399,PH Green Leaf br.2,700,4
A50400,PH Green Leaf,700,4
A50401,PH Green Leaf br.2,708,4
A50402,Green Leaf Station St.,727,3
A50403,Green LLeaf Branch 2,729,4
A50404,PH Green Leaf Branch 2105,729,4
A50405,EL GREEN LEAF (2),734,5
A50406,Greenn Leaf Mall,734,5
A50407,EL GREEN LEAF (2),744,3
A50408,el Green Leaf Main Road,748,6
A50409,Mira Smouha br.2,717,2
A50410,EL MIRA SMOUHA br.2,749,5
A50411,PY/Mira Smouha br.2,766,3
A50412,Mira Smouha,768,5
A50413,El-MIRA SMOUHA Branch 1,772,3
A50414,el mira smouha,772,3
A50415,El-Silver Care Obour361,703,4
A50416,Silver Care Obour Branch 1,706,4
A50417,Ph/Silver Care Obour-A,708,5
A50418,silver care obour 6th Zone,708,5
A50419,PH silver care obour,709,5
A50420,Silver Care Obour br.2,712,4
A50421,SilverC are Obour,729,5
A50422,Ph/Silver Care Obour 04,735,6
A50423,Al Amal Brach 1,706,5
A50424,El-AL AMAL Mall,706,5
A50425,el al amal Mall982,709,6
A50426,EL Al Amal,715,6
A50427,Al mAal (2),722,4
A50428,PY/AL AMAL Main Road,722,4
A50429,PY/AL AMAL Branch 1,752,6
A50430,El-Al Amal Mall,752,6
A50431,Ph/alpha pharma-A,706,6
A50432,Alpha Pharma 011,706,6
A50433,el alpha pharma br.2,711,5
A50434,el Alpha Pharrma 6th Zone,711,5
A50435,el alpha pharm Mall,712,5
A50436,Alpha Pharma Branch 1225,712,5
A50437,PY/alpha pharma-A804,725,3
A50438,PY/Alpha Pharma (2),729,6
A50439,PY/ALPHA PHARMA Station St.,729,6
A50440,AlphaPharma (2)535,751,5
A50441,PH Alpha Pharma (2)959,762,6
A50442,PH Alpha Pharma Branch 2,762,6
A50443,alpha pharma Branch 2,765,2
A50444,el Silver Care Branch 1,708,6
A50445,silver care (2),745,5
A50446,Silver Care Main Road,745,5
A50447,el SILVER CARE Main Road,751,6
A50448,silver care (2),751,6
A50449,el SILVER CARE 04,759,1
A50450,PH CITY CARE SMOUHA Mall,716,4
A50451,city care smouha Main Road,717,3
A50452,CITY CARE SMOUHA br.2,718,4
A50453,El-City Care Smouha,718,4
A50454,CITY CARE SMOUHA 04,728,3
A50455,el CITY CARE SMOUHA 04,728,3
A50456,City Care Smouha,754,7
A50457,PY/City Care Smouha 04450,754,7
A50458,Ph/City Care Smouha Branch 1,761,5
A50459,City Care Smouha br.2,762,7
A50460,El-city care smouha,771,6
A50461,PY/Misr Branch 1,704,4
A50462,Misr Branch 2329,704,4
A50463,misr,714,3
A50464,misr br.2,738,6
A50465,Misr Braanch 1,739,3
A50466,E-lmisr,746,2
A50467,EL Dr Medhat Smouha 6th Zone467,721,5
A50468,PH Dr Medhat Smouha,721,5
A50469,EL Dr Medhat Smuoha Station St.,723,3
A50470,EL D Medhat Smouha 04,741,4
A50471,Dr Medhat Smouha Branch 2,741,4
A50472,Dr Medhat Smouha,742,4
A50473,PY/Dr Medhat Smouha (2),742,4
A50474,DR MEDHAT SMOUHA Brnch 1578,747,6
A50475,el Dr MedhatSmouha Main Road,747,6
A50476,El-green leaf Main Road,722,5
A50477,EL green leaf br.2,750,3
A50478,PH green leaf Main Road,750,3
A50479,El-Green Leaf Mall635,772,4
A50480,Ph/green laef,772,4
A50481,Greenn Leaf,774,3
A50482,el zahraasmouha Mall,700,5
A50483,PY/el zahraa smouha,705,3
A50484,EL ZAHRAA SMOUHA 04,717,4
A50485,El Zahraa Smouha (2),717,4
A50486,El-el zahraa smouha Branch 2,731,3
A50487,EL EL ZAHRAA SMOUHA,764,3
A50488,Ph/El Zahraa Smouha,771,7
A50489,PY/GREENL EAF,737,3
A50490,PH GREEN LEAF Branch 2493,740,7
A50491,GREEN LEAF Station St.,741,5
A50492,El-Green Leaf (2)687,741,5
A50493,El-Green Leaf 0466,743,7
A50494,green leaf-A,747,7
A50495,Green Leaf Main Road,749,6
A50496,el Green Leaf bbr.2,749,6
A50497,el Green Leaf Main Road,755,4
A50498,El-GREEN LEAF (2)561,770,4
A50499,GREEN LEAF br.2,770,4
A50500,Alpha Pharma Smouha Branch 1,722,6
A50501,EL ALPHA PHARMA SMOUHA 04,731,4
A50502,EL alpha pharma smouha 6th Zone,743,8
A50503,ALPHA PHARMA SMOUHA Main Road,743,8
A50504,Ph/Alpha Pharma Smouha Mall,745,6
A50505,PH Allpha Pharma Smouha Station St.,775,6
A50506,El Hokama Haram,708,7
A50507,el hokama haram Main Road,708,7
A50508,El-el hokama haram (2),711,6
A50509,PH el hokama haram (2),711,6
A50510,EL El Hokama Haram Branch 2,733,6
A50511,el hokama haram961,740,8
A50512,EL HOKAMA HARAM br.2,740,8
A50513,El-SUNRISE NOZHA Main Road479,708,8
A50514,Ph/Sunrise Nozha-A905,749,7
A50515,PY/SUNRISE NZHA-A,751,7
A50516,El-SUNRISE NOZHA,751,7
A50517,Sunrise Nozha (2)844,764,4
A50518,Ph/Salamek-A,714,4
A50519,El-SALAMTEK,721,6
A50520,el Salamtek Mall,721,6
A50521,EL Salamtek-A,725,4
A50522,PH Salamtek,725,4
A50523,Salamtek Main Road,774,4
A50524,Better Life Station St.,702,7
A50525,Ph/Better Life Branch 1,704,5
A50526,BETTER LIFE,704,5
A50527,BETTER LIFE Branh 2,710,4
A50528,PH better life-A,710,4
A50529,PY/BETTER LIFE Branch 1,720,3
A50530,PY/better life-A,720,3
A50531,PH bette rlife 04,755,5
A50532,El-Better Life,756,4
A50533,Ph/Better Life-A,756,4
A50534,EL BETTER LIFE 04,777,11
A50535,PY/Ebn Sina Rehab View-A,706,7
A50536,PY/EBN SINA REHAB VIEW 011,706,7
A50537,Ph/Ebn Sina Rehab View Main Road,727,4
A50538,EBN SINA REHAB VIEW Branch 1,728,4
A50539,el ebn sina rehab view134,738,7
A50540,PH Ebn Snia Rehab View Branch 1,748,7
A50541,Ph/Ebn Sina Rehab View-A,752,7
A50542,el EBN SINA REHAB VIEW 6th Zone368,752,7
A50543,Ebn Sina Rehab View,759,2
A50544,EL ebn sina rehab view Branch 2,759,2
A50545,el star care square 6th Zone,706,8
A50546,Ph/Star Care Square,723,4
A50547,Star Care Square Branch 1,723,4
A50548,El-star care square Main Road,732,4
A50549,STAR CARE SQUARE br.2971,735,7
A50550,El-STAR CRAE SQUARE 6th Zone,764,5
A50551,PY/Star Care Square Branch 1,764,5
A50552,El-BETTER LIFE SMOUHA 04,717,5
A50553,BETTER LIFE SMOUHA,717,5
A50554,El-Better Life Smouha,768,6
A50555,El-Better Life Smouha Main Road208,775,7
A50556,El-better life smouha,775,7
A50557,EL NILE CARE HELWAN Branch 1,704,6
A50558,Nile CCare Helwan546,704,6
A50559,El-Nile Care Helwan,722,7
A50560,PH nile care helwan-A,722,7
A50561,PY/Nile Care Helwan 011,732,5
A50562,Ph/Nile Care Helwan 6th Zone,732,5
A50563,nile care helwan 011,736,1
A50564,El-NILE CARE HELWAN-A,736,1
A50565,PH nile care helwan Mall,737,4
A50566,NILE CAR EHELWAN Branch 2,737,4
A50567,PH Nile Caare Helwan Main Road,756,5
A50568,Ph/NILE CARE HELWAN Mall,766,4
A50569,NILE CARE HELWAN,766,4
A50570,EL NILE CARE HELWAN,774,5
A50571,Nile Care Helwan Mall,774,5
A50572,El-Hpe Obour Branch 1266,711,7
A50573,PH ope Obour 011,730,2
A50574,el HOPE OBOUR (2),735,8
A50575,PH Hope Obour Mlal,735,8
A50576,el Hope Obour br.2,742,5
A50577,PH Hope Obour br.2,742,5
A50578,Hope Obuor634,743,9
A50579,el hope obour-A,749,8
A50580,El-HOE OBOUR-A,771,8
A50581,HOPE OBOUR 011534,771,8
A50582,el Goden Care Branch 2,710,5
A50583,EL Golden Care Station St.,732,6
A50584,El-golden care br.2,733,7
A50585,PH golden care 011,739,4
A50586,EL GOLDEN CARE Brannch 1,739,4
A50587,Ph/Golden Care Branch 1,750,4
A50588,Ph/Golden Care 6th Zone,769,6
A50589,Angel Dokki 04,711,8
A50590,Angel Dokki 04,716,5
A50591,Ph/angel dokki Branch 2,720,4
A50592,ANGEL DOKKI333,720,4
A50593,EL ANGEL DOKKI Branch 1330,741,6
A50594,El-ANGEL DOKKI 6th Zone,741,6
A50595,El-ANGEL DOKKI Main Road,760,4
A50596,el angel dkoki Mall,760,4
A50597,ANGEL DOKKI (2),762,8
A50598,Angel Dokki Branch 2973,762,8
A50599,PY/Angel Dokki Main Road,765,3
A50600,PY/ANGEL DOKKI Branch 2,765,3
A50601,PY/Angel Dokki Main Road,769,7
A50602,salamtek (2),716,6
A50603,PY/SALAMTEK br.2,716,6
A50604,Salamtek673,739,5
A50605,Ph/Salamtek (2),771,9
A50606,golden care haram 6th Zone,701,3
A50607,PH Golden Care Haram (2),735,9
A50608,GOLDEN CARE HARAM 6th Zone,735,9
A50609,golden care haram Station St.,737,5
A50610,EL Golden Care Haram (2),737,5
A50611,Golden Care Haram br.2,750,5
A50612,Golden Care Haram Station St.712,750,5
A50613,El-glden care haram 6th Zone,762,9
A50614,El-Golden Care Haram 0473,762,9
A50615,El-Golden Care Haram Main Road,765,4
A50616,Golden Care Haram 6th Zone24,765,4
A50617,SALAMTEK IMBABA,707,3
A50618,Ph/Salamtek Imbaba,722,8
A50619,SALAMTEK IMBABA 04,736,2
A50620,El-Salamtek Imbaba Branch 1,766,5
A50621,PH Salamtek Imbaba Main Road,766,5
A50622,PY/BLUE WAVE REHAB VIEW,723,5
A50623,Blue Wave Rehab View (2),750,6
A50624,El-Blue Wave Rehab View Branch 2844,765,5
A50625,El-Blue Wave Rehab View 6th Zone,765,5
A50626,el Nile Care 6th Zone,720,5
A50627,el Nile Care Mall,738,8
A50628,El-nile care 04,749,9
A50629,EL Nile Care 011,749,9
A50630,El-nile care 04,753,5
A50631,Ph/Nile CareStation St.933,773,4
A50632,Dr Medhat Station St.,701,4
A50633,Dr Medhat-A633,742,6
A50634,el dr medhat br.2,742,6
A50635,El-Dr Medhat Branch 1244,753,6
A50636,PH DR MEDHAT b.r2,761,6
A50637,Ph/DR MEDHAT,761,6
A50638,Ph/Dr Medhat (2),765,6
A50639,el El Shifa Zayed br.2,709,7
A50640,EL EL SHIFA ZAYED-A,720,6
A50641,Ell Shifa Zayed,720,6
A50642,PY/El Shifa Zayed Mall,740,9
A50643,el El Shifa Zayed 011,740,9
A50644,PY/EL SIHFA ZAYED,763,4
A50645,union pharm smouha-A,708,9
A50646,el UNION PHARM SMOUHA Main Road,708,9
A50647,union phharm smouha 6th Zone,720,7
A50648,El-Union Pharm Smouha-A,720,7
A50649,PY/Union Pharm Smouha-A,726,2
A50650,el union pharm smouha-A,731,5
A50651,Union Pharm Smouha519,771,10
A50652,el Unio Pharm Smouha 011,771,10
A50653,El-Care 24 Seven,711,9
A50654,EL Care 24 Seven 04,711,9
A50655,el care 24 sevenn (2),720,8
A50656,el care 24 seven 011,720,8
A50657,Care 24 Seven,722,9
A50658,PY/CARE 24 SEVEN Station St.746,746,3
A50659,Care 24 Seven Mall,761,7
A50660,elC are 24 Seven 04,761,7
A50661,PY/care 24 seven (2),769,8
A50662,care 24 seven 011,777,12
A50663,PY/El Tourath Branch 1,706,9
A50664,EL TOOURATH Mall,731,6
A50665,Ph/EL TOURATH (2),741,7
A50666,EL el tourath,745,7
A50667,El-El Tourath 04,745,7
A50668,El Tourath 6th Zone,748,8
