invoice_line_id,invoice_id,quantity,unit_price_input,line_total,tax_regime_flag
100,300051,4,229.92,835.13,
101,300051,8,463.08,3166.40,
102,300055,3,125.14,315.23,
103,300055,6,453.18,2332.28,
104,300055,4,142.16,548.78,
105,300055,4,91.49,332.22,
106,300055,2,11.56,20.09,
107,300055,6,22.42,117.60,
108,300057,5,19.06,87.93,
109,300057,2,163.70,297.58,
110,300057,5,261.60,1172.43,
111,300057,2,183.04,311.94,
112,300057,5,63.20,289.50,
113,300057,7,440.16,2947.34,
114,300057,5,29.90,136.34,
115,300057,7,205.21,1346.16,
116,300057,8,163.55,1190.87,
117,300057,3,107.14,296.62,
118,300061,5,25.46,114.51,
119,300061,2,532.44,915.76,
120,300061,5,16.65,72.45,
121,300061,3,83.68,213.93,
122,300061,1,165.09,146.61,
123,300061,6,139.66,760.20,
124,300061,1,171.07,142.97,
125,300061,2,19.40,32.39,
126,300061,3,71.20,178.26,
127,300067,3,77.87,216.18,
128,300067,3,166.44,424.26,
129,300067,3,142.58,394.74,
130,300067,2,66.06,122.19,
131,300067,3,200.70,556.91,
132,300070,6,79.91,408.81,
133,300070,5,533.97 EGP,2483.82,
134,300070,5,144.86 EGP,656.68,
135,300070,3,7.88,18.46,
136,300070,4,456.54,1514.27,
137,300070,5,22.34,92.16,
138,300070,7,101.86,554.45,
139,300070,2,91.97,151.95,
140,300070,3,87.07,218.59,
141,300073,3,519.18,1211.81,
142,300073,3,40.95,99.53,
143,300073,4,13.05,42.02,
144,300076,5,465.12,1895.38,
145,300076,8,7.53,43.93,
146,300076,5,108.21,436.91,
147,300076,5,163.68,674.95,
148,300076,3,24.19,59.81,
149,300076,2,29.90,47.40,
150,300076,3,185.94,445.63,
151,300076,3,63.99,165.16,
152,300076,6,60.76,283.50,
153,300076,2,123.42,202.65,
154,300076,3,206.23,485.20,
155,300076,5,103.58,417.95,
156,300078,4,22.92,88.20,
157,300078,6,492.15,2808.70,
158,300078,6,517.14,2916.81,
159,300078,3,86.88,238.14,
160,300080,3,47.12,115.00,
161,300080,3,79.83,213.39,
162,300080,5,193.32 EGP,882.55,
163,300080,5,196.39,873.56,
164,300080,4,12.00,42.83,
165,300080,4,162.94,579.20,
166,300080,1,194.96,167.31,
167,300081,3,430.08,1154.73,
168,300081,4,166.44 EGP,541.98,
169,300081,5,148.50,698.74,
170,300081,4,117.29,433.82,
171,300096,5,120.38,542.99,
172,300096,1,63.93,56.82,
173,300096,4,169.31,571.36,
174,300096,5,153.52 EGP,684.74,
175,300096,4,13.05,41.56,
176,300096,4,17.91,64.75,
177,300096,6,7.56,40.93,
178,300098,2,547.23,874.91,
179,300098,5,17.84,72.73,
180,300098,1,26.18,21.37,
181,300098,7,42.39,252.34,
182,300098,3,143.18,387.79,
183,300098,2,185.73,308.74,
184,300098,3,459.48,1163.60,
185,300099,3,46.17,119.13,
186,300099,1,12.09,10.54,
187,300099,3,57.83,147.78,
188,300099,5,258.48,1123.59,
189,300100,3,22.82,50.73,
190,300100,6,141.36,623.77,
191,300100,6,18.81,86.79,
192,300100,5,140.98,584.61,
193,300100,5,18.45,71.09,
194,300103,4,420.00,1299.52,
195,300103,3,81.88,191.91,
196,300104,4,110.68,402.20,
197,300104,4,144.01,516.68,
198,300104,4,23.71,84.00,
199,300104,4,122.36,418.87,
200,300104,7,529.38,3328.51,
201,300105,8,33.30,218.41,
202,300105,5,13.21,59.36,
203,300105,6,185.32,915.64,
204,300105,3,12.76,32.65,
205,300109,2,116.35,197.02,
206,300109,5,57.16,239.27,
207,300109,4,211.97,716.96,
208,300113,5,17.08,64.87,
209,300113,6,43.02,181.01,
210,300113,3,233.76,570.54,
211,300113,6,8.21,36.21,
212,300113,3,25.87,56.65,
213,300113,4,319.41,983.15,
214,300113,1,31.71,25.50,
215,300113,4,422.52,1262.46,
216,300114,2,55.94,81.23,
217,300114,1,401.94 EGP,268.46,
218,300114,5,423.78 EGP,1676.22,
219,300114,1,499.29,354.31,
220,300114,3,315.95,707.58,
221,300114,3,129.76,293.53,
222,300115,4,16.40,50.84,
223,300115,3,83.68,192.79,
224,300115,6,547.23,2455.48,
225,300115,4,18.86,53.21,
226,300115,2,257.04,384.92,
227,300115,2,7.74,11.11,
228,300115,5,522.24,1751.51,
229,300115,7,33.66,155.27,
230,300115,9,154.58,1140.89,
231,300115,5,64.29,245.55,
232,300120,4,212.38,760.24,
233,300120,5,135.30,596.01,
234,300122,5,75.60,289.40,
235,300122,4,7.84,23.51,
236,300122,4,8.73,27.17,
237,300130,2,8.69,13.69,
238,300130,5,115.88,462.77,
239,300130,3,48.33,116.37,
240,300130,3,210.33,514.02,
241,300133,5,43.65 EGP,172.89,
242,300133,4,445.62,1305.01,
243,300133,5,8.18,31.36,
244,300133,3,536.01,1303.06,
245,300133,6,178.46,807.28,
246,300133,8,201.93,1268.12,
247,300133,5,47.75,174.40,
248,300133,4,188.81,593.89,
249,300133,2,237.60,344.36,
250,300133,3,139.99,321.81,
251,300133,2,80.93,123.74,
252,300133,4,209.10,607.00,
253,300133,8,234.48,1503.35,
254,300138,3,308.07,827.65,
255,300138,5,209.51,919.97,
256,300138,3,98.30,260.54,
257,300138,7,106.32,648.56,
258,300138,7,7.48,48.63,
259,300138,5,143.49,629.54,
260,300138,2,12.56,21.97,
261,300138,6,94.46,488.15,
262,300138,6,145.31,801.78,
263,300140,2,328.23,463.57,
264,300140,4,11.31,33.61,
265,300140,4,243.84,727.08,
266,300140,6,16.25,71.69,
267,300140,7,140.14,732.57,
268,300140,3,16.78,36.71,
269,300140,4,212.38,612.22,
270,300140,3,62.46,144.06,
271,300147,9,188.50,1327.37,
272,300147,6,550.29,2711.29,
273,300147,6,171.95,884.00,
274,300147,2,289.17,474.05,
275,300147,5,95.71,409.08,
276,300147,7,8.06,44.65,
277,300147,9,201.31,1524.25,
278,300147,4,307.76,980.65,
279,300151,5,29.77,126.50,
280,300151,5,85.88,343.58,
281,300151,4,323.51,1067.93,
282,300151,1,103.68,82.01,
283,300151,4,17.30,61.61,
284,300151,4,73.24,232.84,
285,300151,4,168.26,589.35,
286,300152,1,8.20,6.17,
287,300152,4,109.15,315.17,
288,300152,3,30.86,71.53,
289,300152,1,60.33,49.94,
290,300152,5,161.39,588.09,
291,300152,5,25.01,94.02,
292,300152,7,133.85,671.97,
293,300152,3,47.48,100.89,
294,300152,4,44.51,122.90,
295,300152,2,222.00,334.12,
296,300152,2,90.34,136.60,
297,300152,10,32.27,235.28,
298,300152,7,135.30,714.24,
299,300152,5,96.38 EGP,353.64,
300,300152,3,191.14,450.00,
301,300165,3,72.14,185.01,
302,300165,5,45.72,205.35,
303,300165,3,128.38 EGP,321.01,
304,300166,3,32.47,78.87,
305,300166,5,65.33,240.98,
306,300166,2,176.88,259.55,
307,300166,6,425.88,1917.04,
308,300166,4,289.49,894.64,
309,300166,1,58.50,43.46,
310,300166,8,95.42,566.00,
311,300166,4,244.08 EGP,722.28,
312,300167,7,12.70,83.12,
313,300167,3,388.92,1056.37,
314,300167,8,56.30,436.90,
315,300167,2,240.72,461.36,
316,300167,4,7.51,26.11,
317,300167,4,47.48,178.51,
318,300168,3,31.65,82.79,
319,300168,4,73.55,263.44,
320,300168,5,153.67,676.50,
321,300168,2,25.68,46.74,
322,300170,4,11.25 EGP,35.49,
323,300170,2,25.58,40.94,
324,300170,1,122.37 EGP,95.38,
325,300170,3,71.75,167.55,
326,300170,6,558.96,2518.44,
327,300176,8,547.74,3482.38,
328,300176,7,79.36,461.04,
329,300176,6,129.36,607.96,
330,300176,4,438.48,1450.58,
331,300178,2,531.42,1036.23,
332,300178,2,165.79,293.45,
333,300178,2,194.34,331.88,
334,300178,3,25.90,71.72,
335,300178,4,19.55,66.06,
336,300178,4,80.62,305.60,
337,300178,6,117.06,628.72,
338,300179,2,238.80,422.74,
339,300179,5,75.52,328.92,
340,300179,3,515.10,1350.84,
341,300179,2,11.99,19.84,
342,300179,5,221.20,934.46,
343,300179,3,114.93,295.91,
344,300179,2,12.41,20.13,
345,300179,2,48.38,80.09,
346,300179,2,8.47,14.93,
347,300179,3,144.70,390.14,
348,300179,3,259.92,632.18,
349,300183,5,217.30,785.17,
350,300183,2,238.80,376.75,
351,300183,4,22.54,66.41,
352,300183,4,7.77,23.30,
353,300183,5,513.57,2051.16,
354,300183,4,201.52,638.96,
355,300183,5,126.14,459.06,
356,300183,3,18.99,42.39,
357,300186,3,262.08,573.51,
358,300186,5,93.02 EGP,346.07,
359,300186,8,392.28,2328.96,
360,300186,3,122.76,275.37,
361,300186,8,457.38,2671.17,
362,300192,3,48.83,130.94,
363,300192,5,481.95,2025.44,
364,300192,4,8.68,29.13,
365,300192,12,73.16,766.06,
366,300192,5,191.84,811.68,
367,300193,3,216.24,500.75,
368,300193,6,103.30,447.66,
369,300193,7,93.70,477.51,
370,300193,7,95.04,497.88,
371,300193,3,185.12,422.58,
372,300193,2,12.68 EGP,18.83,
373,300193,2,109.74,169.40,
374,300195,6,135.83,743.56,
375,300195,2,546.72,924.18,
376,300195,7,31.22,187.39,
377,300195,3,32.04 EGP,87.09,
378,300195,3,130.15,374.28,
379,300195,3,544.68,1423.25,
380,300195,5,430.08,1816.13,
381,300196,8,83.13,574.04,
382,300196,4,89.18,304.83,
383,300196,5,63.44,288.90,
384,300196,5,223.04,1010.91,
385,300196,4,13.74 EGP,47.40,
386,300197,4,237.84,859.55,
387,300197,2,508.98,927.11,
388,300197,5,43.79,199.65,
389,300197,5,23.26,103.57,
390,300197,2,47.88,89.39,
391,300197,3,134.64,365.37,
392,300197,3,7.31,20.25,
393,300197,3,204.59,550.00,
394,300197,7,21.84,135.84,
395,300205,1,217.68,201.00,
396,300205,3,47.61,138.15,
397,300205,4,11.51,39.14,
398,300205,4,153.98,590.74,
399,300205,5,327.92,1532.00,
400,300205,4,33.76,126.96,
401,300205,6,119.46,663.02,
402,300205,4,499.29,1726.27,
403,300205,3,487.05,1342.64,
404,300205,3,77.95,218.51,
405,300205,3,160.86,432.54,
406,300205,2,262.08,519.31,
407,300214,4,35.74,128.47,
408,300214,5,19.10,83.65,
409,300214,4,417.48,1428.36,
410,300214,6,175.47,934.53,
411,300214,3,109.27,288.64,
412,300214,2,66.55,117.92,
413,300214,4,191.31,697.85,
414,300214,2,141.90,232.73,
415,300215,5,125.67,535.76,
416,300215,5,199.26,846.88,
417,300215,4,102.91,361.63,
418,300215,3,157.62,423.63,
419,300215,2,162.98,279.32,
420,300215,1,121.44,99.96,
421,300215,2,259.92,436.28,
422,300215,5,451.50,2029.89,
423,300215,4,44.55,152.21,
424,300221,6,430.50,1831.92,
425,300221,3,8.06,17.49,
426,300221,3,161.73,367.08,
427,300221,7,101.57,544.13,
428,300221,2,101.47,155.95,
429,300221,7,119.53,593.73,
430,300221,3,47.16,103.52,
431,300221,2,12.19,20.06,
432,300221,5,16.61,66.14,
433,300221,3,289.80 EGP,652.08,
434,300227,4,24.89 EGP,69.95,
435,300227,4,41.54,118.48,
436,300227,4,237.60,764.07,
437,300227,2,159.30,227.30,
438,300227,3,150.94,363.70,
439,300227,5,12.79,47.48,
440,300227,2,44.06,74.41,
441,300227,2,205.00,299.53,
442,300230,3,335.79,747.47,
443,300230,6,18.38,83.73,
444,300230,1,12.38,9.10,
445,300230,5,21.89,83.50,
446,300230,4,45.05,137.15,
447,300230,7,127.64,700.68,
448,300230,3,17.03,38.94,
449,300230,5,8.49 EGP,31.49,
450,300230,3,140.30,300.64,
451,300230,3,126.59,292.10,
452,300230,3,76.15,172.86,
453,300230,6,33.30,142.72,
454,300230,5,143.22,502.03,
455,300232,2,495.72,840.38,
456,300232,7,7.50,44.54,
457,300232,4,253.20,775.51,
458,300232,3,21.77,54.02,
459,300234,4,526.32,1674.83,
460,300234,4,23.50,63.37,
461,300234,3,218.12,524.18,
462,300234,7,213.00,1146.79,
463,300234,5,48.78 EGP,193.15,
464,300238,4,18.09 EGP,64.24,
465,300238,1,17.28,16.21,
466,300238,4,32.37,122.80,
467,300238,4,31.38,114.07,
468,300238,3,16.38,42.71,
469,300238,7,188.14,1208.31,
470,300239,4,40.55,126.56,
471,300239,5,327.92,1147.68,
472,300239,5,215.05,720.25,
473,300239,4,380.52,1146.38,
474,300239,7,125.43,646.32,
475,300240,3,43.02,112.50,
476,300240,5,429.66,1933.82,
477,300240,7,8.41 EGP,51.47,
478,300240,4,160.06,593.20,
479,300240,3,306.81,794.25,
480,300246,7,77.56,430.91,
481,300246,5,45.05,176.34,
482,300246,4,90.72,282.35,
483,300246,6,542.13,2698.31,
484,300248,3,161.42,460.57,
485,300248,6,163.25,860.14,
486,300248,1,123.29,99.44,
487,300248,7,100.80,644.47,
488,300248,3,138.02,339.97,
489,300248,4,84.39,302.87,
490,300248,3,109.15,280.12,
491,300248,2,490.62,856.60,
492,300249,5,119.42,440.70,
493,300249,1,59.66,44.84,
494,300249,5,145.07,527.27,
495,300249,2,12.16,17.52,
496,300249,3,12.79,29.64,
497,300249,6,248.40,1028.97,
498,300249,5,430.50,1694.20,
499,300250,5,391.02,1536.62,
500,300250,3,41.04,99.93,
501,300250,6,446.04,2197.11,
502,300250,4,257.52,842.28,
503,300250,5,42.30,155.12,
504,300250,4,11.83,36.72,
505,300253,5,165.53,595.98,
506,300253,4,34.45,98.91,
507,300253,6,8.74,36.23,
508,300253,6,168.96,764.34,
509,300253,7,164.56,810.80,
510,300256,3,465.12,1110.24,
511,300256,3,8.67,22.25,
512,300256,4,223.66,690.38,
513,300256,2,92.64,146.38,
514,300256,4,8.32,28.31,
515,300256,7,25.10,142.77,
516,300257,3,33.56,92.97,
517,300257,3,36.00,93.60,
518,300257,3,427.14,1005.35,
519,300257,4,439.32,1474.68,
520,300257,4,45.90,163.46,
521,300257,4,217.20,705.15,
522,300257,9,33.66,270.24,
523,300257,2,77.48,144.69,
524,300257,6,152.15,802.55,
525,300257,5,22.30,90.56,
526,300260,4,67.04,229.13,
527,300260,9,227.76,1869.73,
528,300260,1,448.14,384.89,
529,300260,3,7.35,19.79,
530,300260,1,482.46,436.31,
531,300260,2,16.42,30.48,
532,300264,8,12.03,85.04,
533,300264,4,498.78,1964.36,
534,300270,5,7.50 EGP,32.75,
535,300270,4,160.86,562.54,
536,300270,7,158.23,910.30,
537,300270,4,104.45,328.63,
538,300274,5,58.87,281.35,
539,300274,3,22.01,59.09,
540,300274,5,262.08,1101.78,
541,300274,3,65.76,181.04,
542,300274,4,13.01,47.17,
543,300276,4,194.34,587.29,
544,300276,7,144.67,743.78,
545,300276,4,45.27,137.56,
546,300276,5,241.44,864.08,
547,300276,4,35.71,102.46,
548,300276,5,11.33,43.70,
549,300276,6,35.34,151.90,
550,300276,4,126.26,368.90,
551,300282,2,223.44,385.76,
552,300282,3,196.60,534.24,
553,300282,6,24.46,122.48,
554,300282,7,341.46,2054.29,
555,300282,6,238.56,1297.90,
556,300282,4,464.61,1707.72,
557,300282,7,43.92,287.17,
558,300284,5,113.40,474.67,
559,300284,6,7.98,42.06,
560,300284,4,318.47,1122.85,
561,300284,3,120.24,325.20,
562,300284,2,85.33,149.98,
563,300296,6,12.39,56.98,
564,300296,5,7.94,31.07,
565,300296,5,190.86,719.89,
566,300296,2,263.76,395.61,
567,300296,2,141.50,219.37,
568,300296,3,19.31,42.76,
569,300296,2,456.12,732.66,
570,300296,1,73.55,56.46,
571,300298,4,343.67,1207.70,
572,300298,6,330.44,1723.35,
573,300298,5,83.76,371.22,
574,300298,5,528.36,2401.91,
575,300298,3,108.09,279.05,
576,300298,3,134.77,355.58,
577,300298,3,142.43,372.78,
578,300299,5,30.00,140.00,
579,300299,4,165.53,590.89,
580,300299,4,122.48,401.35,
581,300299,2,56.43 EGP,104.20,
582,300299,2,91.30,155.68,
583,300299,4,45.54,167.50,
584,300299,4,262.08,933.10,
585,300303,5,333.90,1195.96,
586,300303,4,152.76,468.63,
587,300307,3,338.63,769.08,
588,300307,3,16.54,35.63,
589,300307,1,101.86,74.88,
590,300307,3,111.04,260.31,
591,300319,6,12.61,65.23,
592,300319,1,474.81,398.97,
593,300319,2,47.12,84.91,
594,300319,8,62.40,427.23,
595,300319,6,11.46,62.40,
596,300319,1,81.95 EGP,70.21,
597,300320,4,146.83,457.42,
598,300320,6,238.32,1084.86,
599,300320,4,13.40,39.08,
600,300320,4,215.46,641.89,
601,300323,4,109.39,370.16,
602,300323,7,221.04,1378.67,
603,300323,5,234.72,1075.28,
604,300323,6,255.12,1334.50,
605,300323,3,13.40,36.27,
606,300323,3,527.85,1494.08,
607,300325,4,95.23,286.39,
608,300325,5,495.21,1812.71,
609,300325,5,13.14,46.30,
610,300325,4,17.48,54.85,
611,300325,5,331.07,1147.78,
612,300325,4,342.72 EGP,1030.55,
613,300325,2,16.81,25.78,
614,300326,3,492.15,1094.17,
615,300326,5,43.79,173.13,
616,300326,3,83.37,185.52,
617,300326,4,22.85,70.43,
618,300326,5,7.53,30.05,
619,300326,4,72.06,224.18,
620,300326,2,18.47,27.02,
621,300326,6,304.92,1468.76,
622,300332,4,45.23,152.31,
623,300332,9,165.07,1213.60,
624,300332,5,166.59,697.54,
625,300332,4,41.85,133.36,
626,300332,5,90.43,332.47,
627,300332,3,8.75,20.04,
628,300332,3,73.48,178.22,
629,300332,2,118.12,168.71,
630,300332,6,48.96,252.25,
631,300332,3,175.30,428.13,
632,300332,7,162.80,943.73,
633,300332,3,223.66,549.02,
634,300332,4,140.75,458.08,
635,300332,7,442.26,2447.16,
636,300334,8,47.70,312.16,
637,300334,2,11.64,19.76,
638,300334,6,289.17,1358.12,
639,300334,7,70.89,404.43,
640,300334,5,21.98,94.13,
641,300334,8,85.41,586.24,
642,300334,6,17.55,88.80,
643,300334,2,43.56,71.70,
644,300336,1,412.86,324.47,
645,300336,3,17.10,41.97,
646,300336,5,119.59,514.60,
647,300336,2,247.20,381.24,
648,300340,3,24.98,56.90,
649,300340,7,7.84,42.08,
650,300340,2,399.84,593.05,
651,300340,5,240.72,867.41,
652,300340,3,26.06,58.57,
653,300345,3,25.42,57.57,
654,300345,3,98.59,243.40,
655,300345,2,185.15 EGP,289.94,
656,300345,5,104.35,401.29,
657,300345,4,160.86,524.51,
658,300345,6,157.62 EGP,722.88,
659,300345,3,392.70,933.09,
660,300349,4,226.56,753.83,
661,300349,4,216.48,709.39,
662,300349,4,196.60,550.34,
663,300349,4,193.73 EGP,576.79,
664,300349,6,185.68,847.61,
665,300349,3,413.28,979.57,
666,300349,6,104.93,547.94,
667,300349,4,34.19,105.78,
668,300349,2,8.53,13.50,
669,300349,5,18.61,82.59,
670,300349,4,84.86,279.66,
671,300349,7,173.18,990.44,
672,300349,3,57.52,138.85,
673,300349,3,231.36,572.57,
674,300349,3,162.27,390.91,
675,300351,8,235.92,1677.80,
676,300351,4,154.89,561.06,
677,300351,6,17.75,91.05,
678,300351,5,460.53,2024.08,
679,300352,3,131.21,335.35,
680,300352,5,221.52 EGP,886.67,
681,300352,2,185.73,307.66,
682,300352,8,261.36,1655.56,
683,300352,5,132.13 EGP,554.79,
684,300352,2,154.13,245.61,
685,300352,4,140.90,450.86,
686,300352,4,46.35,151.91,
687,300352,5,11.56,44.60,
688,300352,2,19.73,30.60,
689,300352,6,70.65,332.43,
690,300354,2,23.64,39.65,
691,300354,9,19.55,158.74,
692,300358,4,128.96,452.71,
693,300358,4,418.74,1466.98,
694,300358,2,420.00,779.05,
695,300358,4,74.97,258.39,
696,300358,4,257.52,855.71,
697,300358,3,11.31,30.69,
698,300358,2,458.22,778.29,
699,300358,4,33.53,123.06,
700,300358,5,35.81,161.17,
701,300359,4,34.06,117.74,
702,300359,3,151.39,403.21,
703,300359,6,48.42,244.34,
704,300359,2,44.96,78.74,
705,300359,3,132.26,327.63,
706,300359,3,103.10,270.33,
707,300359,4,30.62,95.37,
708,300360,7,77.87,431.42,
709,300360,4,13.41,40.85,
710,300360,2,99.55,158.98,
711,300360,4,450.24,1534.22,
712,300360,4,46.40,153.81,
713,300360,4,139.00,454.09,
714,300362,1,219.36,191.09,
715,300362,7,63.68,387.21,
716,300362,3,123.78,316.21,
717,300362,3,186.35,510.90,
718,300362,2,11.26,18.81,
719,300362,2,125.93,229.11,
720,300362,3,334.85,918.57,
721,300362,5,34.68,147.56,
722,300362,5,123.29 EGP,569.44,
723,300364,5,34.42,156.42,
724,300364,4,108.44,371.33,
725,300364,2,17.82,33.59,
726,300364,4,64.17,224.68,
727,300364,2,100.90,182.90,
728,300364,8,334.85,2388.85,
729,300367,3,31.58,85.06,
730,300367,8,25.10,172.51,
731,300367,3,31.91,81.25,
732,300367,5,30.39,129.22,
733,300367,9,18.09,144.83,
734,300367,5,49.28,216.88,
735,300367,3,159.60,397.44,
736,300367,4,521.73,1763.40,
737,300377,3,468.18,1041.72,
738,300377,2,13.24,21.59,
739,300377,4,89.66,266.24,
740,300377,5,284.13,1054.91,
741,300377,3,224.68,477.26,
742,300377,4,44.37,143.95,
743,300377,6,34.88,158.17,
744,300379,3,45.63,110.25,
745,300379,2,87.94,142.85,
746,300379,3,12.21,27.74,
747,300380,3,287.60,629.57,
748,300380,5,148.66,606.23,
749,300380,3,148.66 EGP,355.09,
750,300380,5,503.88,1931.55,
751,300380,2,23.35,36.63,
752,300380,4,172.48,553.31,
753,300380,5,34.95,138.93,
754,300380,3,408.24,933.22,
755,300380,3,66.19,158.82,
756,300380,8,17.17,110.05,
757,300381,3,141.97,376.75,
758,300381,2,35.51,55.06,
759,300381,5,72.38,298.15,
760,300381,3,115.64,280.66,
761,300381,3,78.89,189.42,
762,300381,6,122.37,616.65,
763,300381,4,33.59,114.31,
764,300381,5,416.22,1706.20,
765,300381,2,183.74,309.19,
766,300381,4,219.84,687.66,
767,300385,3,31.58,81.74,
768,300385,3,229.20,555.78,
769,300385,5,190.61,761.89,
770,300385,4,548.76,1827.72,
771,300385,6,442.26,2127.53,
772,300385,5,8.42,38.10,
773,300385,4,111.98,360.91,
774,300386,3,174.42,424.95,
775,300386,9,441.00 EGP,3464.25,
776,300388,1,250.80,207.12,
777,300388,5,215.25,802.55,
778,300392,6,124.21,619.40,
779,300392,2,16.38,27.63,
780,300392,2,17.86,28.69,
781,300392,6,483.99,2158.75,
782,300392,4,219.97,685.17,
783,300392,2,21.94,33.88,
784,300392,4,13.41,42.93,
785,300395,9,400.26,2982.80,
786,300395,8,34.52,199.78,
787,300395,4,113.04,339.68,
788,300395,3,140.84,303.61,
789,300395,6,326.34,1349.86,
790,300395,4,155.95,510.87,
791,300395,5,86.78,308.33,
792,300399,6,163.86,908.27,
793,300399,5,19.15,83.95,
794,300399,1,91.10 EGP,85.75,
795,300399,5,137.26,649.20,
796,300399,4,46.94,169.22,
797,300399,5,241.44,1136.80,
798,300399,5,12.86,63.10,
799,300399,6,8.02 EGP,44.16,
800,300399,7,12.25,77.70,
801,300399,6,233.52,1189.10,
802,300400,3,87.94,201.60,
803,300400,4,242.64,841.27,
804,300400,8,111.63,790.52,
805,300400,4,423.36,1449.61,
806,300400,4,473.79,1730.96,
807,300400,4,97.92,317.85,
808,300400,3,63.20,164.81,
809,300400,1,192.19,170.21,
810,300400,8,293.27,2064.77,
811,300400,2,23.11,40.00,
812,300400,6,84.39,435.09,
813,300400,8,44.37,302.91,
814,300400,4,344.61,1326.57,
815,300405,2,101.47,146.11,
816,300405,3,321.93,683.30,
817,300405,5,89.09,344.00,
818,300405,3,153.22,309.47,
819,300405,5,56.43,203.92,
820,300405,5,220.56,785.95,
821,300405,1,192.29,140.46,
822,300405,4,35.31 EGP,97.65,
823,300408,7,223.04,1213.19,
824,300408,5,35.94,136.61,
825,300408,2,17.12,29.20,
826,300408,8,152.91,982.12,
827,300411,4,156.41,515.13,
828,300411,4,23.57,75.23,
829,300411,8,194.14,1205.09,
830,300411,5,173.18,670.43,
831,300411,8,22.87 EGP,145.06,
832,300414,2,58.44 EGP,92.74,
833,300414,4,101.18,360.60,
834,300414,3,47.16,117.09,
835,300414,4,490.62 EGP,1520.29,
836,300414,2,156.71,247.00,
837,300414,3,71.51,178.02,
838,300414,5,18.14,71.59,
839,300416,6,204.39,983.01,
840,300416,3,23.86 EGP,54.47,
841,300416,4,284.76,873.03,
842,300416,6,218.40,985.60,
843,300416,2,229.44,329.11,
844,300417,4,89.18,269.75,
845,300417,3,417.48,870.65,
846,300417,5,16.40,60.14,
847,300417,4,93.31,267.92,
848,300417,7,30.99,155.00,
849,300417,2,109.86 EGP,156.80,
850,300417,9,48.92,339.82,
