invoice_no,account_name_raw,branch_code,entry_date_text,entry_time,account_address,governorate,area,gross_value,total_discount,total_after_discount,stated_line_count,record_state
300159,PY/Better Life Ain 011,705,16102024,12:26:36,ASH/25,,,1946.43,402.72,1543.71,2,CLSD
300161,EL Better Life Ain 6th Zone,758,18102024,13:41:49,,,,3763.25,1082.96,2680.29,4,
300169,Ph/Metro El329,756,15102024,16:30:04,,,,5511.75,468.85,5042.90,6,
300171,EL BARAKA WH-232,741,25102024,10:27:01,,,,2248.67,393.65,1855.02,7,
300174,PY/Snrise El br.2447,745,12102024,08:22:01,"Salah Salem 167, MRG zone",,,5087.17,302.30,4784.87,7,
300181,EL el nasr heliopolis Mall,704,27-Oct-2024,09:20:17,,,,3890.51,938.09,2952.42,9,CLSD
300182,Ph/Mira Obour,714,20102024,14:17:06,,,,3536.90,905.56,2631.34,7,
300184,el Blue Wave 6th Zone,758,13102024,12:17:57,,,,2294.93,524.98,1769.95,7,
300204,PH green leaf 04,768,08102024,10:14:33,"62 Gamet Dewal st., near school, MAD",,,6810.58,727.24,6083.34,7,
300207,PH Sunrise Haram b.2207,715,04102024,11:08:56,,,,954.36,82.40,871.96,5,CLSD
300208,SLIVER CARE 04962,718,23-Oct-2024,09:26:36,,,,3021.24,454.46,2566.78,4,
300211,El-Al Nozha Branch 2,734,26102024,16:09:18,MAD/75,,,2896.34,593.67,2302.67,8,
300213,el SALAMTEK MAADI,761,22102024,09:23:17,,,,4831.51,779.87,4051.64,5,
300216,PY/Seeha First Maadi Station St.188,745,05102024,08:12:08,Maadi 163  Industrial Zone,,,4049.36,408.09,3641.27,13,CLSD
300223,Hope Agami Mall,749,20102024,08:54:26,"199 Horreya st., near mosque, MKT",,,2612.69,351.38,2261.31,5,CLSD
300231,EL STAR CARE Branch 2,765,05-Oct-2024,17:59:26,"Autostrad 12, NSC zone",,,3091.11,349.82,2741.29,8,CLSD
300235,PH el nasr montaza Station St.,768,17102024,14:19:36,,,,7049.35,804.16,6245.19,5,CLSD
300254,el al amal haram Branch 2268,768,25102024,10:23:23,Shuba 203 Nile,,,1475.45,168.85,1306.60,5,
300255,PY/seha first agami Mall,731,15102024,15:56:38,,,,7509.17,827.70,6681.47,15,
300265,El-SEHA FIRST 6TH-A,701,14102024,09:36:16,"Haram 176, OCT zone",,,4822.22,896.74,3925.48,5,CLSD
300273,El Baraka 6th 6th Zone296,738,26102024,09:14:00,,,,2942.32,725.14,2217.18,5,CLSD
300281,PH green leaf 04,707,25-Oct-2024,08:46:16,,,,4505.71,583.58,3922.13,4,CLSD
300285,el Metro Ard,737,20102024,09:01:06,AEL/238,,,1693.82,424.48,1269.34,3,
300287,el Ctiy Care Boulak Main Road,722,13102024,12:56:27,Boulak Dakrour 13 aZyed,,,1028.15,102.23,925.92,5,CLSD
300290,PH SALAMTEK BOULAK,755,13102024,13:51:44,"Sudan 195, BLD zone",Qalyubia,Banha,4227.06,900.43,3326.63,10,
300293,SALAMTEK DOKKI br.2,700,11102024,16:34:51,,,,6180.52,1050.98,5129.54,8,
300295,El-Star Care Main Road,701,03102024,12:45:52,,,,1081.94,188.14,893.80,3,
300302,EL Union Pharm Banha br.2,754,03102024,10:17:06,"Faisal 86, DKK zone",,,5333.69,1133.70,4199.99,12,
300306,PY/star care marg 04,711,07102024,17:25:32,,,,4989.19,917.67,4071.52,13,CLSD
300308,PY/Star Care Faisal,708,10-Oct-2024,11:28:48,"150 Industrial Zone st., near bridge, FSL",,,369.09,78.74,290.35,2,CLSD
300314,EL Ebn Sina,721,01102024,10:40:05,FSL/48,,,2989.95,288.76,2701.19,6,CLSD
300315,El-elite banha Main Road,747,28102024,10:50:42,,,,1232.44,292.61,939.83,2,
300333,silver care,761,19102024,08:18:41,blk 1 - HRM - bridge,,,1554.21,220.75,1333.46,6,CLSD
300339,EL el nasrr shubra,729,28-Oct-2024,15:02:49,IMB/143,,,4207.12,453.29,3753.83,6,CLSD
300341,Sunrise Maadi (2),700,11102024,11:00:47,,,,2998.49,464.95,2533.54,10,CLSD
300347,PH Al Amal Mohanedssin Statio nSt.,704,10102024,18:31:05,"Zayed 183, MHS zone",Giza,Mohandessin,2401.22,615.00,1786.22,8,
300357,PY/ANGEL MOHANDESSIN 011,707,28102024,11:58:18,"128 Tahrir st., near mosque, MHS",,,6372.70,764.69,5608.01,7,CLSD
300363,El Zahraa BBranch 1,721,24102024,17:56:34,,,,1275.45,134.22,1141.23,2,CLSD
300371,El-Eltie,718,19102024,12:13:36,,,,6153.27,1172.63,4980.64,12,
300383,Al Nozha Shubra 6th Zone543,704,25102024,11:02:09,SHK/106,,,3831.78,905.42,2926.36,7,
300387,METRO AGMAI Mall,761,13112024,12:32:39,blk 12 - AGM - mosque,Alexandria,Borg El Arab,2116.50,274.22,1842.28,7,
300389,El-Al Nozha Agami Branch 1880,752,12112024,08:12:11,"Mustafa Nahhas 129, AGM zone",,,2734.99,662.35,2072.64,7,CLSD
300393,PY/Care 24 Seven Station St.,749,01112024,10:45:00,,,,4215.24,642.07,3573.17,7,
300396,PY/el nassr marg Barnch 2,730,16112024,14:25:37,"42 Mustafa Nahhas st., near park, AGM",,,4353.24,448.19,3905.05,9,
300403,El-Metro Oct City br.2,716,06112024,16:11:47,Asafra 24 Faiisal,,,3183.49,300.90,2882.59,10,CLSD
300410,EL Family Dokki Main Road,730,28-Nov-2024,10:34:58,blk 8 - MDR - school,,,3234.13,289.50,2944.63,6,
300418,care 24 seven square Mall,727,28112024,11:00:15,,,,4475.87,271.45,4204.42,10,CLSD
300430,el faraby smouh Branch 2349,728,11112024,14:29:37,,Cairo,Downtown,2526.37,224.87,2301.50,4,
300431,El-EL TOURATH 04,707,01-Nov-2024,12:14:00,"Gamet Dewal 232, SMH zone",,,3639.00,524.16,3114.84,8,
300439,Misr Dokki 04872,738,21112024,13:15:19,,,,6105.11,1623.08,4482.03,8,CLSD
300441,EL El NNasr Branch 2,749,11112024,13:19:17,blk 14 - SMH - school,,,3100.75,334.10,2766.65,9,
300446,Nle Care,743,24112024,10:04:12,Smoua 154 Mustafa Nahhas,,,6085.50,1061.85,5023.65,7,CLSD
300458,el el nasr Main Road,729,06112024,11:05:51,,,,4762.74,627.53,4135.21,8,CLSD
300473,Ph/GREEN LEAF DOKKI,747,09112024,12:00:40,,,,4299.22,870.63,3428.59,9,CLSD
300480,Ph/Beetter Life,702,25112024,15:40:55,"Industrial Zone 142, HLPL zone",,,2671.86,490.19,2181.67,4,
300485,Ph/El Tourath Oct City Station St.,741,07112024,13:07:27,,,,2518.74,447.61,2071.13,5,
300488,el mira obour Mall,734,27112024,11:25:07,HLPL/125,,,2141.64,392.70,1748.94,5,
300490,Ph/LIFE LINE MAADI Station St.842,710,06112024,14:13:35,"Port Said 169, HLPL zone",,,4880.03,748.16,4131.87,8,CLSD
300491,Ph/Pharma Plus Station St.,734,09112024,17:51:15,HLPL/92,Cairo,Heliopolis,4122.07,708.77,3413.30,5,
300492,PY/Angel Dokki Main Road,714,26112024,13:37:34,,,,2901.44,789.83,2111.61,5,
300504,EL Hope rb.2,709,12112024,15:09:52,,,,8286.54,1837.09,6449.45,9,CLSD
300509,star care dokki  Station St.223,734,24112024,14:27:27,,,,1369.26,257.65,1111.61,4,
300510,PY/EL TOURATH-A,738,24112024,13:19:53,"Industrial Zone 146, MAD zone",Cairo,Nasr City,4452.09,1093.37,3358.72,6,CLSD
300513,EL Sunrise Oct City,761,22-Nov-2024,14:40:28,"147 Abbas st., near hospital, MAD",,,4619.52,717.51,3902.01,4,CLSD
300514,Ph/SUNRISE OCT CITY 6th Zone,722,20112024,08:58:11,,,,3624.94,365.72,3259.22,5,
300516,Mira,760,19112024,12:42:30,MAD/174,,,3016.76,486.03,2530.73,8,CLSD
300524,EL SEHA WH-585,768,18112024,11:18:32,,,,2997.82,348.14,2649.68,4,CLSD
300527,PH pharma plus maadi 6th Zone801,727,14-Nov-2024,08:58:04,,,,4382.86,413.79,3969.07,5,
300543,el El Tourath,747,13112024,08:38:29,blk 28 - NSC - square,,,3442.67,794.11,2648.56,10,
300562,el El Zahraa Faisal 6th Zoen923,725,27112024,10:52:09,"228 Autostrad st., near market, NC",,,9044.31,2197.95,6846.36,8,CLSD
300572,PH Sallamtek-A,734,19112024,14:30:54,NC/135,,,6109.68,1058.91,5050.77,13,
300577,Ph/STAR CARE Branch 2,769,20112024,09:48:07,,,,1776.23,174.23,1602.00,5,CLSD
300582,EL sunrise shubra Station St.,744,12112024,13:00:05,,,,1475.44,115.86,1359.58,4,CLSD
300583,Ph/sunris shubra (2),733,04112024,13:54:01,blk 16 - SHB - gas station,,,6873.63,944.67,5928.96,11,CLSD
300600,El-Dr Medhat Nozha Branch 2,732,14112024,11:10:11,"57 Geish st., near school, ZMK",Cairo,Zamalek,651.72,92.14,559.58,2,
300603,Ph/Golden Care 6th 011,731,14112024,15:21:32,,,,2635.88,382.89,2252.99,5,CLSD
300606,Fmaily,736,09112024,16:34:54,,,,5509.47,913.80,4595.67,13,CLSD
300610,El-EL BARKA br.2,748,15-Nov-2024,11:52:14,OCT/101,,,2100.92,201.81,1899.11,2,
300612,Pharma Plus,762,16112024,15:11:05,,,,2093.97,256.48,1837.49,5,
300616,PH el zahraa340,762,19112024,16:38:40,,,,4993.07,483.86,4509.21,4,CLSD
300619,Omega 6t Branch 1,738,04112024,10:13:17,"55 Corniche st., near school, OCT",,,2152.80,596.40,1556.40,7,CLSD
300621,PYY/NIL CARE,751,02112024,11:45:45,OCT/198,,,2335.12,642.48,1692.64,8,
300635,el Life Line Boulak,721,18112024,14:01:00,"Zayed 226, BLD zone",,,889.34,104.39,784.95,4,
300638,salamtek boulak Main Rad,722,27112024,12:00:42,Boulak Dakrour 18 Mustaf Nahhas,,,8660.44,993.01,7667.43,11,
300648,El Nasr Dokki,709,22-Nov-2024,15:24:42,,,,4664.88,788.76,3876.12,6,CLSD
300652,El-Star Care Main Road,709,09-Nov-2024,08:12:24,"Salah Salem 150, DKK zone",,,2913.83,515.73,2398.10,5,CLSD
300660,EL omega rehab view,764,18-Nov-2024,11:40:48,Dokki 12 Horreya,,,2025.84,212.34,1813.50,4,CLSD
300663,PY/star care marg,736,04112024,14:47:52,Dokki 122  Nile,,,9711.63,1565.02,8146.61,8,CLSD
300664,Ph/EL BARAKA br.2,711,18112024,11:02:40,Dokki 211 oCrniche,,,4282.00,829.92,3452.08,7,
300665,Star Care Square,767,09112024,14:45:09,,,,3152.83,696.17,2456.66,4,CLSD
300666,PH Star Care 6th Zone,701,23112024,11:08:17,"71 Corniche st., near hospital, FSL",,,5431.47,856.74,4574.73,6,CLSD
300668,PH Al Amal 6th Zone,704,22112024,09:00:59,,,,3488.80,1039.20,2449.60,9,
300669,P/YAl Amal,736,02112024,15:46:24,FSL/26,Cairo,Downtown,8809.93,1210.66,7599.27,7,CLSD
300675,PH golden care Branch 1,763,04112024,15:58:51,"39 Mustafa Nahhas st., near square, FSL",,,1949.45,142.41,1807.04,5,CLSD
300677,Ph/star carre faisal br.2,756,23112024,08:32:52,"6 Port Said st., near park, FSL",,,3574.55,363.49,3211.06,6,CLSD
300680,el El Baraka Faisal 011,724,02112024,12:53:45,Faisal 168 Corrniche,,,1186.92,173.59,1013.33,5,CLSD
300682,PH Silve Care Haram Main Road,767,06112024,13:57:05,"Industrial Zone 219, FSL zone",,,4113.05,795.89,3317.16,7,
300684,El-GREEN LEAF,723,02112024,12:47:39,"9th District 184, FSL zone",,,7562.99,1282.97,6280.02,5,CLSD
300686,Ph/green leaf,738,18112024,11:23:52,,Alexandria,Sidi Gaber,8187.06,1953.87,6233.19,7,CLSD
300691,silver care faisal108,737,23112024,14:39:31,,,,1380.67,421.39,959.28,5,
300694,PH al nozhaa 011771,767,17112024,13:28:36,,,,3129.32,799.85,2329.47,5,CLSD
300699,El-City Care Rehab View,759,20112024,08:26:55,"Salah Salem 210, HOC zone",,,1714.77,461.63,1253.14,4,
300706,PY/El Baraka 011,728,13112024,14:44:22,HOC/212,,,4416.42,304.42,4112.00,6,CLSD
300715,silver care,745,25112024,15:28:43,HRM/108,,,2514.82,63.45,2451.37,3,
300719,EL MISR WH-780,747,28-Nov-2024,11:28:43,"Nile 75, HRM zone",,,3124.64,843.55,2281.09,6,
300720,PY/AL AMAL 04,763,02112024,11:42:13,HRM/89,,,5439.28,543.21,4896.07,7,CLSD
300723,better lifee (2),763,23112024,13:02:45,,,,3828.58,307.15,3521.43,7,CLSD
300724,Dr Medhat Haram-A,703,19112024,18:24:44,,,,1448.28,326.51,1121.77,2,CLSD
300753,El-Al Aal Mohandessin 011,722,14112024,14:27:20,,,,5846.70,707.43,5139.27,6,
300755,EL HOKAAMA MONTAZA br.2,769,21112024,12:41:54,,,,1881.66,301.92,1579.74,6,
300784,PH Misr br.2,741,05112024,09:24:11,"58 Gamet Dewal st., near bridge, SZ",,,1592.51,290.68,1301.83,4,CLSD
300788,better life sheikh 011,706,15112024,14:41:25,Sheihk Zayed 184 Salah Salem,,,817.00,135.35,681.65,3,CLSD
300791,PH HEALTH GAE MAADI Branch 1,741,15-Nov-2024,08:08:04,,,,6173.55,1109.24,5064.31,5,CLSD
300792,PH GREEN LEAF,767,20112024,11:21:02,,,,295.92,65.69,230.23,2,CLSD
300796,Ange 04,770,13112024,12:56:09,,,,2533.46,266.85,2266.61,4,
300811,el El Shifa,723,26112024,11:08:33,,Qalyubia,Shubra El Kheima,5306.54,541.33,4765.21,9,CLSD
300817,Silver Care Marg br.2,748,27122024,08:40:10,blk 24 - AGM - mosque,,,2834.55,334.76,2499.79,4,CLSD
300823,Ph/OMEGA Mall676,745,21122024,13:04:45,blk 13 - AGM - school,,,7058.77,766.16,6292.61,15,CLSD
300825,AL NOZHA AGAMI (2),716,23122024,09:59:39,,,,2147.45,184.62,1962.83,5,CLSD
300829,EL Elite (2)77,762,15-Dec-2024,12:36:12,ASF/5,,,2102.04,167.19,1934.85,4,CLSD
300837,E LEl Zahraa Borg 011993,735,22122024,10:54:05,Borg El Arab 152Sudan,,,3417.21,596.57,2820.64,4,CLSD
300838,PY/EL ZAHRAA BORG (2),752,28122024,09:24:52,BOA/72,Alexandria,Borg El Arab,1480.56,392.48,1088.08,2,
300855,silver care mandara Branch 1727,750,14122024,14:53:23,,,,7770.83,1887.38,5883.45,7,
300857,EL care 244 seven obour (2),733,02122024,13:11:11,Montzaa 48 Zayed,,,2880.10,359.16,2520.94,5,
300862,al amal 011,726,01122024,08:59:57,,,,3244.77,710.70,2534.07,5,CLSD
300865,Ph/AL NOZHA (2),767,28122024,09:19:34,,,,2732.63,589.17,2143.46,8,CLSD
300868,FAMILY 04,703,17122024,18:42:43,,,,3245.08,714.03,2531.05,7,CLSD
300870,Blue Wvae,721,22122024,11:24:02,MTZ/178,,,3651.81,360.10,3291.71,9,
300871,Star Care 011,736,02122024,17:19:13,SDG/75,,,6980.66,1131.00,5849.66,7,CLSD
300875,EL Sunrise Station St.,729,24122024,11:51:33,,,,3080.93,380.01,2700.92,6,CLSD
300881,El Faraby Imbaba Main Road546,716,09122024,09:40:03,,,,7268.08,620.13,6647.95,11,
300887,el Pharma Plus Nozha br.2,756,11122024,16:47:26,"168 Horreya st., near school, SMH",,,1692.20,75.42,1616.78,5,CLSD
300888,el Pharma lus Nozha br.2,706,19122024,14:32:57,"22 Zayed st., near square, SMH",,,5401.78,939.69,4462.09,12,CLSD
300891,El-el tourath Mall,763,19122024,18:41:26,Smouha 104  Faisal,,,5508.80,461.79,5047.01,7,CLSD
300895,EL OMEGA br.2,710,16122024,14:04:11,,Giza,Haram,3200.59,625.27,2575.32,5,CLSD
300901,Better Life Smouha Brranch 1,755,26122024,10:37:36,"Geish 202, SMH zone",,,5235.51,1386.42,3849.09,6,
300920,El-Ebn Sina Smouha Mall,753,10122024,08:44:12,,,,11614.29,1777.25,9837.04,12,
300923,elE lite Agami 6th Znoe,756,08122024,11:24:29,,Alexandria,Smouha,1529.72,76.97,1452.75,3,
300924,PY/EL HOKAMA SMOUHA-A,770,12122024,15:44:42,,,,3584.67,514.45,3070.22,5,CLSD
300925,El Hokama Smouha Mall,710,01122024,12:08:42,Smoha 185 Faisal,,,2298.90,447.00,1851.90,4,CLSD
300929,El-mira marg Branch 2,759,04122024,18:54:10,Ain hams 153 Haram,,,3887.01,901.49,2985.52,7,
300937,El-Al Amal Maadi Branch 2,717,25122024,14:00:38,blk 20 - ASH - hospital,,,5193.51,617.46,4576.05,6,
300940,EL Omega Ain Station St.,753,04122024,12:24:20,,Giza,Faisal,5068.37,818.10,4250.27,11,CLSD
300952,el el nasr Main Road,738,09122024,19:50:54,DNT/212,,,9866.81,2608.31,7258.50,14,
300959,PY/metro el,706,14122024,14:05:04,,,,1582.15,201.10,1381.05,2,CLSD
300963,EL BARAKA (2),758,15122024,19:30:43,,,,9769.11,2706.71,7062.40,12,CLSD
300965,El-MMISR,734,15-Dec-2024,12:24:39,,,,9777.98,1912.53,7865.45,10,
300966,EL Better Life El Branch 1,769,13-Dec-2024,11:38:05,,,,2082.11,308.35,1773.76,5,CLSD
300987,e lBlue Wave 6th Zone,712,24122024,11:46:42,blk 25 - HLPL - park,,,1892.77,207.20,1685.57,5,
300989,Ph/LIFE LINE MAADI Station St.842,735,14122024,13:30:37,"204 Mustafa Nahhas st., near police st., HLPL",Cairo,Heliopolis,6056.60,1105.35,4951.25,5,
300995,EL Angel Montaza br.2,713,09122024,12:13:35,"Faisal 56, HLPL zone",Cairo,Heliopolis,2530.08,419.73,2110.35,5,
300998,EL BARAKA HELIOPOLIS 6th Zone,768,19122024,15:52:07,,,,2698.48,264.57,2433.91,8,CLSD
301008,Mis r04,742,11122024,15:46:10,,Giza,Faisal,7903.25,1457.76,6445.49,10,CLSD
301009,PH Salamtek Heelwan,716,27122024,15:13:00,blk 11 - HLWN - school,Cairo,New Cairo,776.80,90.70,686.10,3,CLSD
301014,Ph/Sar Care br.2,768,09122024,13:08:28,"Zayed 116, HLWN zone",Cairo,Helwan,1882.45,291.80,1590.65,6,
301019,MISR Mall,754,26122024,08:17:37,"21 Salah Salem st., near hospital, MAD",,,3581.55,881.18,2700.37,8,CLSD
301022,EL el tourath,743,01122024,11:38:05,"227 Mustafa Nahhas st., near park, MAD",,,2320.56,419.35,1901.21,5,CLSD
301028,EL seha first helwan (2)722,727,27-Dec-2024,08:07:25,,,,4422.22,455.69,3966.53,9,CLSD
301032,AL AMAL IBABA-A,729,24122024,14:18:40,MAD/223,,,3408.84,290.91,3117.93,4,
301034,EL AL WH-118,723,22122024,11:10:17,,,,617.53,75.16,542.37,3,
301044,Ph/City Care Haram766,761,23122024,12:04:03,MAD/194,Alexandria,Borg El Arab,6027.28,877.52,5149.76,6,
301048,EL union pharm banha Mall,770,04122024,09:11:44,,,,8241.80,1175.39,7066.41,15,
301053,Geren Leaf Maadi,753,18122024,11:58:06,"151 Geish st., near gas station, MAD",,,3119.32,363.82,2755.50,7,CLSD
301059,el LIFE LINE 04,720,19122024,08:05:20,Mokattam 178G eish,,,4726.94,563.76,4163.18,5,CLSD
301064,HEALTH GATE NASR,710,04122024,17:22:16,,,,7479.00,1413.98,6065.02,8,
301065,EL EL SHIFA NASR-A,761,19122024,12:27:24,NSC/133,,,2893.30,365.30,2528.00,7,
301066,EL EL SHIFA NASR-A,759,18122024,17:08:44,,,,2366.66,551.26,1815.40,8,CLSD
301076,El-El Baraka Nasr Station St.,727,03122024,14:15:40,,,,1363.95,81.98,1281.97,5,
301078,E-Nile Care Nasr Mall,743,01122024,11:21:37,"210 Geish st., near police st., NSC",Cairo,Helwan,4573.14,1019.74,3553.40,6,CLSD
301080,el angel elwan-A,736,26122024,14:32:29,,,,2150.58,337.17,1813.41,2,CLSD
301083,el baraka,728,23-Dec-2024,18:39:46,,,,3874.41,258.86,3615.55,6,
301085,Ph/BTETER LIFE,722,24122024,12:37:39,Nasr City 111 Mustafa Nahhas,,,7149.21,670.16,6479.05,8,
301086,EL ZAHRAA NASR50,708,15-Dec-2024,12:23:33,NSC/173,,,4121.91,1006.63,3115.28,8,
301090,el nasr montaza,755,16122024,12:16:39,,,,2735.76,708.04,2027.72,6,CLSD
301094,SUNRISE NASR Station St.,737,24122024,12:54:12,,,,6630.94,1729.52,4901.42,5,
301096,Sunrise Nasr 66th Zone,736,13122024,13:15:46,,,,3312.47,570.78,2741.69,4,
301097,PY/sunrise nasr Main Road,713,08122024,13:40:14,,,,4049.66,686.06,3363.60,4,CLSD
301098,El-Al Amal New 04,738,16122024,15:12:31,"236 Mustafa Nahhas st., near bridge, NC",,,5032.98,1266.23,3766.75,4,
301101,el AL AMAL NEW Branch 1,747,02122024,13:05:32,blk 24 - NC - gas station,,,1640.68,322.47,1318.21,2,CLSD
301104,EL GOLDEN WH-188,712,07122024,15:21:18,"48 Zayed st., near hospital, NC",,,3183.84,377.66,2806.18,9,CLSD
301122,El-R MEDHAT Branch 1115,762,19122024,13:28:38,Obour 8F aisal,Giza,Hadayek October,3941.42,312.26,3629.16,7,
301125,EL Nile Care Shubra 011,704,15122024,10:55:13,SHB/1,,,9866.60,2442.30,7424.30,13,
301127,EL sunrsie shubra 011,743,23122024,14:49:48,,,,2484.14,441.78,2042.36,6,CLSD
301128,EL sunrise shubbra 011,734,08122024,08:02:52,SHB/167,,,3121.85,591.78,2530.07,6,CLSD
301137,Ph/Lief Line Shubra 6h Zone,734,04122024,08:00:12,,,,2114.53,293.20,1821.33,4,
301148,Ph/Green Leaf Square,719,09122024,09:34:53,,Cairo,Maadi,2935.63,533.95,2401.68,6,
301151,FAMILY839,751,17122024,10:28:14,,,,2240.71,428.29,1812.42,4,CLSD
301155,Ph/el faraby Branch 1,739,28122024,20:16:19,,Cairo,Heliopolis,2419.61,640.58,1779.03,4,
301156,PY/lE Faraby  04,759,27122024,13:21:16,,,,2362.64,572.91,1789.73,6,CLSD
301174,EL Care 24 Seven 04,713,11122024,09:05:12,,,,3390.12,814.86,2575.26,2,
301176,El Baraka Marg,732,26122024,10:06:27,,,,3944.92,447.99,3496.93,4,
301179,PH gren leaf 04,738,22122024,19:06:16,,Giza,Agouza,2452.98,689.83,1763.15,3,CLSD
301182,EL Green Leaf Mall,761,06122024,16:38:29,,Giza,Agouza,13329.05,1259.86,12069.19,13,
301190,PH Star Care 0011,754,07-Dec-2024,11:45:33,"9th District 221, AEL zone",Giza,Ard El Lewa,4062.52,965.00,3097.52,7,CLSD
301194,PY/rd medhat nozha-A,733,17122024,13:16:13,,,,3947.02,610.69,3336.33,5,CLSD
301199,Sunrie Boulak Branch 1,748,25122024,13:00:37,,,,1374.62,98.16,1276.46,4,
301200,el Life Line Boulak Mall,728,05122024,11:10:11,BLD/44,,,2687.20,306.58,2380.62,2,
301205,El-E Zahraa Mall359,713,25122024,09:34:00,,,,2151.49,336.99,1814.50,4,CLSD
301206,elel zahraa 04,745,03122024,08:37:11,"Nile 147, BLD zone",,,1948.89,141.44,1807.45,7,
301218,nile care maadi Main Road,770,18122024,10:01:32,,,,2772.04,346.21,2425.83,5,
301222,EL STAR CARE Mall,708,20122024,11:14:44,,,,8085.31,2018.34,6066.97,11,
301227,Ph/Nile Care Dokki 011,719,21-Dec-2024,11:01:04,,,,4751.08,941.77,3809.31,11,
301234,El-El Zahhraa Mall,750,15122024,09:56:43,,,,6104.94,1423.56,4681.38,7,
301237,El Baraka Smouha,711,04122024,15:19:57,,Giza,Dokki,1482.33,230.77,1251.56,4,CLSD
301238,PY/star care marg 04,737,20122024,10:27:18,"Autostrad 181, DKK zone",,,4066.22,1197.00,2869.22,8,
301242,Ph/EL BARAKA br.2,707,27122024,12:47:53,,,,4613.98,747.66,3866.32,10,CLSD
301244,EL El Baraka-A,707,11122024,16:06:06,DKK/216,,,11727.06,2029.06,9698.00,15,
301245,EL El Baraka-A,741,16122024,16:41:38,blk 8 - DKK - police st.,,,3405.69,616.06,2789.63,6,CLSD
301258,el Star Care Faisal-A,748,22122024,11:38:39,,,,4567.72,486.59,4081.13,5,CLSD
301268,PY/GREEN LEAF Main Road,702,16122024,17:36:34,,,,3247.58,633.12,2614.46,7,
301270,EL BARAKA,736,15122024,11:47:32,blk 20 - FSL - square,,,2029.65,276.91,1752.74,4,
301275,PY/Seha Firs Faisal 011,716,14122024,10:10:53,,,,1725.73,268.48,1457.25,3,
301279,el el faraby (2)194,730,19122024,14:14:23,"195 Salah Salem st., near gas station, HOC",,,3737.24,407.05,3330.19,10,
301284,PHH SUNRSIE br.2,761,19122024,14:22:07,,,,1689.03,217.84,1471.19,2,CLSD
301291,PY/seha first,769,22122024,11:57:02,"Abbas 162, HOC zone",,,4173.81,499.71,3674.10,7,CLSD
301292,el Seha First Station St.,708,10122024,08:56:21,,,,1691.16,476.76,1214.40,3,CLSD
301293,AL AMAL SQUARE,727,16122024,16:06:40,"Abbas 222, HOC zone",,,6553.45,610.43,5943.02,7,CLSD
