branch_id,parent_company,branch_tag,governorate,area,min_order_value_egp,payment_terms_days,standard_discount_pct,fill_rate_gap_pct,merged_into_branch_id
737,Karnak Medical Trading,A737,Giza,Faisal,3000.0,0,17.9,9.0,
738,Karnak Medical Trading,B738,Alexandria,Smouha,3300.0,0,17.9,9.0,
739,Karnak Medical Trading,C739,Cairo,Nasr City,2790.0,0,17.9,9.0,
740,Pearl Route Agencies,A740,Cairo,Nasr City,3000.0,7,23.3,4.9,
741,Falcon Wholesale Co.,A741,Alexandria,Smouha,3500.0,7,22.5,8.3,
742,Falcon Wholesale Co.,B742,Giza,Mohandessin,3010.0,7,22.5,8.3,
743,October Central Supply,A743,Cairo,Nasr City,3500.0,30,10.2,0.8,705
744,October Central Supply,B744,Giza,Mohandessin,4060.0,30,10.2,0.8,705
745,Al Wadi Medical Providers,A745,Giza,Faisal,2500.0,30,10.8,0.9,
746,Al Wadi Medical Providers,B746,Cairo,Nasr City,2425.0,30,10.8,0.9,
747,Two Rivers Distribution,A747,Giza,Mohandessin,3500.0,0,21.9,3.1,705
748,Two Rivers Distribution,B748,Giza,Mohandessin,4305.0,0,21.9,3.1,705
749,Two Rivers Distribution,C749,Alexandria,Smouha,3675.0,0,21.9,3.1,705
750,Supreme Shelf Logistics,A750,Giza,Faisal,2500.0,7,14.0,3.5,
751,Supreme Shelf Logistics,B751,Cairo,Nasr City,2400.0,7,14.0,3.5,
752,Saqqara Trade House,A752,Giza,Mohandessin,4500.0,15,20.8,4.5,
753,Saqqara Trade House,B753,Cairo,Nasr City,4860.0,15,20.8,4.5,
754,Saqqara Trade House,C754,Giza,Mohandessin,5220.0,15,20.8,4.5,
755,Basil Corner Providers,A755,Giza,Mohandessin,2500.0,0,14.8,0.5,
756,Basil Corner Providers,B756,Giza,Faisal,2575.0,0,14.8,0.5,
757,Basil Corner Providers,C757,Alexandria,Smouha,2225.0,0,14.8,0.5,
758,Khufu Line Agencies,A758,Giza,Mohandessin,3500.0,30,16.2,6.4,
759,Ocean Front Distributors,A759,Giza,Faisal,1500.0,0,21.8,4.8,
760,Ocean Front Distributors,B760,Alexandria,Smouha,1605.0,0,21.8,4.8,
761,Ocean Front Distributors,C761,Alexandria,Smouha,1635.0,0,21.8,4.8,
762,Marina Bay Trade,A762,Giza,Mohandessin,2000.0,0,19.8,8.4,
763,Marina Bay Trade,B763,Giza,Mohandessin,1720.0,0,19.8,8.4,
764,Marina Bay Trade,C764,Giza,Faisal,2060.0,0,19.8,8.4,
765,Desert Bloom Suppliers,A765,Giza,Mohandessin,2000.0,45,8.2,6.1,
766,Desert Bloom Suppliers,B766,Giza,Faisal,2440.0,45,8.2,6.1,
767,Corner Stone Medical,A767,Giza,Faisal,3000.0,45,12.6,1.8,
768,Corner Stone Medical,B768,Giza,Faisal,3330.0,45,12.6,1.8,
769,Corner Stone Medical,C769,Alexandria,Smouha,2760.0,45,12.6,1.8,
770,Seven Palms Distribution,A770,Giza,Mohandessin,2500.0,15,8.0,4.9,
771,Seven Palms Distribution,B771,Alexandria,Smouha,2575.0,15,8.0,4.9,
772,Iron Gate Wholesale,A772,Giza,Mohandessin,3500.0,15,12.1,8.4,
773,Alex Marine Providers,A773,Giza,Faisal,1500.0,45,23.3,5.5,
774,Alex Marine Providers,B774,Giza,Mohandessin,1815.0,45,23.3,5.5,
775,Alex Marine Providers,C775,Giza,Mohandessin,1620.0,45,23.3,5.5,
776,Summit Crest Trading,A776,Giza,Faisal,2500.0,0,12.7,3.4,
777,Summit Crest Trading,B777,Cairo,Nasr City,2625.0,0,12.7,3.4,
